corruption,severity,raw_auc,raw_ece,raw_rho,raw_rho_pval,ts_auc,ts_ece,ts_rho,ts_rho_pval,qcts_auc,qcts_ece,qcts_rho,qcts_rho_pval,n
clean,0,0.6908333333333333,0.2183852177237471,-0.12149988894316086,0.03542616962098953,0.6908333333333333,0.2280092412481705,-0.12153523620063919,0.035372363010509375,0.6913888888888888,0.22013705131908257,-0.13026910431050176,0.024037364912720013,300
gaussian_noise,1,0.6188888888888889,0.049245293426016974,-0.32382518325505444,9.421610086666867e-09,0.6188888888888889,0.07964886749784153,-0.32382518325505444,9.421610086666867e-09,0.6202083333333334,0.05618073493242264,-0.3354859885557432,2.5201142029513606e-09,300
gaussian_noise,2,0.598125,0.07647475319604077,-0.3168190999605065,2.0264670050366915e-08,0.598125,0.09326913302143414,-0.3168190999605065,2.0264670050366915e-08,0.6003472222222221,0.07866389200091363,-0.3324621748281791,3.566561460187066e-09,300
gaussian_noise,3,0.5533333333333335,0.07627202078700066,-0.23048474020753662,5.5815933321969724e-05,0.5533333333333335,0.10295019591848056,-0.23048474020753662,5.5815933321969724e-05,0.5565277777777778,0.07703548097362121,-0.2484453981842536,1.338653673727642e-05,300
gaussian_noise,4,0.5549305555555556,0.07423647257188956,-0.22404244139353768,9.070431175299541e-05,0.5549305555555556,0.0882905512303114,-0.22404244139353768,9.070431175299541e-05,0.5581944444444444,0.07878159652153652,-0.24277777524695693,2.1257770127698395e-05,300
gaussian_noise,5,0.5944444444444443,0.042111338227987294,-0.37007395532380305,3.601570811066642e-11,0.5944444444444443,0.050008570104837426,-0.37007395532380305,3.601570811066642e-11,0.5963888888888889,0.03000393398106099,-0.3872714931167575,3.5776940437701706e-12,300
shot_noise,1,0.6100694444444444,0.07654384955763816,-0.30273982146241346,8.906385330353246e-08,0.6100694444444444,0.0708097087095181,-0.30273982146241346,8.906385330353246e-08,0.6116666666666667,0.05854810240368049,-0.31795666904049474,1.7918923888125604e-08,300
shot_noise,2,0.5688194444444444,0.05399517398327589,-0.23929062267747533,2.8100356904150262e-05,0.5688194444444444,0.08195925349990528,-0.23929062267747533,2.8100356904150262e-05,0.5726388888888888,0.06897961623966695,-0.25968775406559913,5.174762226846437e-06,300
shot_noise,3,0.553125,0.0813469286262989,-0.1874560064214664,0.0011053361212965385,0.553125,0.10389892227947713,-0.1874560064214664,0.0011053361212965385,0.5554861111111111,0.0820488986869653,-0.2052022174042023,0.0003468785152727077,300
shot_noise,4,0.5588194444444444,0.057408758004506434,-0.15981078886164926,0.0055320491069107535,0.5588194444444444,0.08305334119747083,-0.15981078886164926,0.0055320491069107535,0.5609722222222222,0.08554107081145047,-0.1774101092091298,0.0020388819664918004,300
