feature,auc,ci_lo,ci_hi,mi_loc_dx,mde_threshold,verdict
position-only,0.6460626068462764,0.6292364912560097,0.6610965575786686,0.13151509336382597,0.55,PASS/FIND — 位置-only AUC >= 0.55 但未碾压 age/sex → 泄漏真但非最强 → 维持 FIND/MAIN 偏 FIND
age-only,0.670730332463121,0.654238075753612,0.6864620164854554,0.13151509336382597,0.55,PASS/FIND — 位置-only AUC >= 0.55 但未碾压 age/sex → 泄漏真但非最强 → 维持 FIND/MAIN 偏 FIND
sex-only,0.5416476667266187,0.525202211728905,0.558436204029944,0.13151509336382597,0.55,PASS/FIND — 位置-only AUC >= 0.55 但未碾压 age/sex → 泄漏真但非最强 → 维持 FIND/MAIN 偏 FIND
age+sex,0.6735847138947142,0.6569825850508566,0.688570391388721,0.13151509336382597,0.55,PASS/FIND — 位置-only AUC >= 0.55 但未碾压 age/sex → 泄漏真但非最强 → 维持 FIND/MAIN 偏 FIND
