version,fst_group,group_auc,gap
v1,FST_1,0.8866,0.0792
v1,FST_2,0.9106,0.0792
v1,FST_3,0.9261,0.0792
v1,FST_4,0.9333,0.0792
v1,FST_5,0.9374,0.0792
v1,FST_6,0.8582,0.0792
v2,FST_1,0.889,0.0937
v2,FST_2,0.923,0.0937
v2,FST_3,0.9324,0.0937
v2,FST_4,0.9402,0.0937
v2,FST_5,0.9251,0.0937
v2,FST_6,0.8465,0.0937
v3,FST_1,0.8753,0.0808
v3,FST_2,0.9129,0.0808
v3,FST_3,0.9397,0.0808
v3,FST_4,0.9527,0.0808
v3,FST_5,0.9561,0.0808
v3,FST_6,0.902,0.0808
