metric,value,ci_lo,ci_hi,n_total,n_patients,max_imgs_per_patient,multi_img_pct,img_test_leak_pct,proxy_delta,mde_delta,cpu_verdict,proxy_verdict
image_level_auc_proxy,0.7622012880924989,0.7215129853987695,0.8022906118837898,33126,2056,115,100.0,99.86415094339623,0.2622012880924989,0.02,PASS-DIRECTION — 100% 多图患者 + image-level test 中 99.9% 图属同患者泄漏路径 → H1 定性成立，进 GPU 步做定量 AUC delta（MDE=0.02）,Proxy delta=0.2622 >= MDE(0.02) → 方向符合预期
patient_level_auc_proxy,0.5,0.5,0.5,33126,2056,115,100.0,99.86415094339623,0.2622012880924989,0.02,PASS-DIRECTION — 100% 多图患者 + image-level test 中 99.9% 图属同患者泄漏路径 → H1 定性成立，进 GPU 步做定量 AUC delta（MDE=0.02）,Proxy delta=0.2622 >= MDE(0.02) → 方向符合预期
