# Q2_rank_corr_matrix_pooled.csv — 全体 pooled 版 (130 肽当一个池子, 对照病人内均值版)
# 输入=pooled_clean_9mer.csv; SURV6 max 维=['PredIG_max', 'IMPROVE_max', 'pTuneos_max', 'PRIME_max', 'ImmuneApp_max', 'deepHLApan_max']
,geomean,mean_rank,median,powmean,max,min,weighted_mean_rank,softmax_rank
geomean,1.0,0.972144,0.944945,0.922787,0.654896,0.825724,0.97161,0.627008
mean_rank,0.972144,1.0,0.96294,0.983895,0.769428,0.709273,0.999892,0.742814
median,0.944945,0.96294,1.0,0.932237,0.658628,0.64116,0.962797,0.627714
powmean,0.922787,0.983895,0.932237,1.0,0.851314,0.619948,0.984167,0.828482
max,0.654896,0.769428,0.658628,0.851314,1.0,0.36623,0.769848,0.996276
min,0.825724,0.709273,0.64116,0.619948,0.36623,1.0,0.707274,0.346003
weighted_mean_rank,0.97161,0.999892,0.962797,0.984167,0.769848,0.707274,1.0,0.743359
softmax_rank,0.627008,0.742814,0.627714,0.828482,0.996276,0.346003,0.743359,1.0
