# Q2_fusion_kinship_paired.csv — §3.3.4 geomean/mean_rank/median 三近亲融合法配对显著性
# 口径: 官方 130 肽 / 9 患者 / 9mer; 输入=pooled_clean_9mer.csv; SURV6 max 维=['PredIG_max', 'IMPROVE_max', 'pTuneos_max', 'PRIME_max', 'ImmuneApp_max', 'deepHLApan_max'] (★TODO 待袁/朱确认)
# dz_raw/dz_lenctrl=配对病人「两法 per-patient Fisher-z 差」均值 (裸/控肽长); p=双侧符号置换(K<=20 精确 2^K);
# rho_bar_a/b=各法 per-patient Fisher-z ρ̄; ci_lo_raw/ci_hi_raw=裸 Δz̄ 的 cluster-bootstrap-over-patients 95%CI;
# K=配对病人数; driver_patient=|该病人两法 Fisher-z 差| 最大的病人。
method_a,method_b,rho_bar_a,rho_bar_b,dz_raw,p_raw,dz_lenctrl,p_lenctrl,K,ci_lo_raw,ci_hi_raw,driver_patient
geomean,mean_rank,0.365746,0.347786,0.020581,0.539062,-0.016163,0.75,9,-0.043233,0.073807,106
geomean,median,0.365746,0.251831,0.126137,0.007812,0.072165,0.277344,9,0.061662,0.201651,105
mean_rank,median,0.347786,0.251831,0.105556,0.007812,0.088328,0.011719,9,0.055483,0.157147,105
