seed,jobid,epoch,train_loss
42,1436781,1,4.330254538492723
42,1436781,2,4.760546543381431
42,1436781,3,5.125442351613726
42,1436781,4,4.453367764299566
42,1436781,5,6.0802060257304795
42,1436781,6,5.0183750932866875
42,1436781,7,5.421563296090989
42,1436781,8,5.233838319778442
42,1436781,9,5.456318551843816
42,1436781,10,5.166304860796247
42,1436781,11,5.019428632476113
42,1436781,12,4.925460696220398
42,1436781,13,4.8152124448256055
42,1436781,14,4.648794244636189
42,1436781,15,5.479736685752869
43,1436782,1,1.5002327398820356
43,1436782,2,1.17807659777728
43,1436782,3,1.0809319967573339
43,1436782,4,1.0055118582465432
43,1436782,5,1.0764602503993295
43,1436782,6,0.9508043310858987
43,1436782,7,0.8860758285630833
43,1436782,8,0.9963398873806
43,1436782,9,0.8811643584208055
43,1436782,10,0.8621674884449352
43,1436782,11,0.8949095823548057
43,1436782,12,0.8532702353867617
43,1436782,13,0.8000331493941221
43,1436782,14,0.729837107387456
43,1436782,15,0.8065530264919455
43,1436782,16,0.8749729123982516
43,1436782,17,0.735496621240269
43,1436782,18,0.7331739826635881
43,1436782,19,0.7410202649506655
43,1436782,20,0.7740423801270399
43,1436782,21,4.864796798853647
43,1436782,22,0.7763253138823942
43,1436782,23,0.707491239363497
43,1436782,24,0.7878655723550103
43,1436782,25,0.6493954252112996
43,1436782,26,0.8136926157908007
43,1436782,27,0.6893033602020957
43,1436782,28,0.8650592213327234
43,1436782,29,0.6652147363532673
43,1436782,30,0.7926243191415613
43,1436782,31,0.7518242475661364
43,1436782,32,0.6477968029000543
43,1436782,33,0.7773242836648767
43,1436782,34,0.7678696628321301
43,1436782,35,0.8101608380675316
43,1436782,36,0.7740295326167886
43,1436782,37,0.8335515748370778
43,1436782,38,0.7736547088081186
43,1436782,39,0.6655646074901928
43,1436782,40,0.7403186031363227
43,1436782,41,0.7705749815160577
43,1436782,42,0.955121171745387
43,1436782,43,0.7169405939904127
43,1436782,44,0.7350502420555461
43,1436782,45,0.7368292483416471
43,1436782,46,0.6446539542891763
43,1436782,47,1.0553744475949893
43,1436782,48,0.6979870782012031
43,1436782,49,0.6919812079180371
43,1436782,50,0.6766224070028826
43,1436782,51,0.7304285669868643
43,1436782,52,0.6140806462083545
43,1436782,53,0.6869922876358032
43,1436782,54,0.6851370334625244
43,1436782,55,0.7987674881111492
43,1436782,56,0.7642510668797926
43,1436782,57,0.7174055779522116
43,1436782,58,0.6459757597608999
43,1436782,59,0.6708666980266571
43,1436782,60,0.7657960070805117
43,1436782,61,3.901481891220266
43,1436782,62,4.817017674446106
43,1436782,63,5.513935804367065
43,1436782,64,4.811748558824712
43,1436782,65,5.939275302670219
43,1436782,66,5.262934489683672
43,1436782,67,5.059764710339633
43,1436782,68,4.771625768054616
43,1436782,69,4.7529941472140225
