step,tag,value
25,Dice/test/mask0,0.8223018050193787
50,Dice/test/mask0,0.8368335366249084
75,Dice/test/mask0,0.8564271330833435
100,Dice/test/mask0,0.8601306676864624
125,Dice/test/mask0,0.8620355129241943
150,Dice/test/mask0,0.8651533126831055
175,Dice/test/mask0,0.8657200932502747
200,Dice/test/mask0,0.8669005036354065
225,Dice/test/mask0,0.8663027882575989
250,Dice/test/mask0,0.8637451529502869
275,Dice/test/mask0,0.866945743560791
300,Dice/test/mask0,0.8656458258628845
1,Loss/train/0,0.9470569491386414
2,Loss/train/0,0.5718802809715271
3,Loss/train/0,0.42614778876304626
4,Loss/train/0,0.3801359236240387
5,Loss/train/0,0.34789493680000305
6,Loss/train/0,0.3173481225967407
7,Loss/train/0,0.3057102560997009
8,Loss/train/0,0.2761665880680084
9,Loss/train/0,0.2735587954521179
10,Loss/train/0,0.2560749351978302
11,Loss/train/0,0.26636677980422974
12,Loss/train/0,0.2521530091762543
13,Loss/train/0,0.24770566821098328
14,Loss/train/0,0.2501135468482971
15,Loss/train/0,0.24829664826393127
16,Loss/train/0,0.24763646721839905
17,Loss/train/0,0.24123522639274597
18,Loss/train/0,0.2322499305009842
19,Loss/train/0,0.23144079744815826
20,Loss/train/0,0.22780795395374298
21,Loss/train/0,0.22408345341682434
22,Loss/train/0,0.21416738629341125
23,Loss/train/0,0.21193678677082062
24,Loss/train/0,0.2126065045595169
25,Loss/train/0,0.21345922350883484
26,Loss/train/0,0.20585495233535767
27,Loss/train/0,0.20951256155967712
28,Loss/train/0,0.20393048226833344
29,Loss/train/0,0.2032090276479721
30,Loss/train/0,0.20898768305778503
31,Loss/train/0,0.1969163864850998
32,Loss/train/0,0.2010866403579712
33,Loss/train/0,0.20676051080226898
34,Loss/train/0,0.20520229637622833
35,Loss/train/0,0.19251912832260132
36,Loss/train/0,0.19672474265098572
37,Loss/train/0,0.19153867661952972
38,Loss/train/0,0.1971980184316635
39,Loss/train/0,0.202394038438797
40,Loss/train/0,0.19197966158390045
41,Loss/train/0,0.19233275949954987
42,Loss/train/0,0.1875339150428772
43,Loss/train/0,0.19342538714408875
44,Loss/train/0,0.1891815960407257
45,Loss/train/0,0.18683409690856934
46,Loss/train/0,0.1887424737215042
47,Loss/train/0,0.19516639411449432
48,Loss/train/0,0.18070635199546814
49,Loss/train/0,0.18618863821029663
50,Loss/train/0,0.1808265894651413
51,Loss/train/0,0.17950794100761414
51,Loss/train/0,0.17123249173164368
52,Loss/train/0,0.18100611865520477
52,Loss/train/0,0.18259596824645996
53,Loss/train/0,0.19030532240867615
53,Loss/train/0,0.1859474629163742
54,Loss/train/0,0.1845678836107254
54,Loss/train/0,0.1888505071401596
55,Loss/train/0,0.1796322762966156
55,Loss/train/0,0.17225974798202515
56,Loss/train/0,0.1796860694885254
56,Loss/train/0,0.17737047374248505
57,Loss/train/0,0.18437674641609192
57,Loss/train/0,0.18005457520484924
58,Loss/train/0,0.17302526533603668
58,Loss/train/0,0.1782098114490509
59,Loss/train/0,0.17367081344127655
59,Loss/train/0,0.18562103807926178
60,Loss/train/0,0.18022508919239044
60,Loss/train/0,0.1791308969259262
61,Loss/train/0,0.175073504447937
61,Loss/train/0,0.17600363492965698
62,Loss/train/0,0.18633152544498444
62,Loss/train/0,0.17526237666606903
63,Loss/train/0,0.1680106669664383
63,Loss/train/0,0.1744062900543213
64,Loss/train/0,0.17090250551700592
64,Loss/train/0,0.16928240656852722
65,Loss/train/0,0.1736408919095993
65,Loss/train/0,0.17283043265342712
66,Loss/train/0,0.18100383877754211
66,Loss/train/0,0.1750083714723587
67,Loss/train/0,0.18131668865680695
67,Loss/train/0,0.18050207197666168
68,Loss/train/0,0.1755075603723526
68,Loss/train/0,0.17503760755062103
69,Loss/train/0,0.17190054059028625
69,Loss/train/0,0.18068565428256989
70,Loss/train/0,0.1752643883228302
70,Loss/train/0,0.17512306571006775
71,Loss/train/0,0.18284006416797638
71,Loss/train/0,0.17422258853912354
72,Loss/train/0,0.16960009932518005
73,Loss/train/0,0.174498051404953
74,Loss/train/0,0.17006325721740723
75,Loss/train/0,0.16662339866161346
76,Loss/train/0,0.17254020273685455
77,Loss/train/0,0.1747443974018097
78,Loss/train/0,0.17363913357257843
79,Loss/train/0,0.17734099924564362
80,Loss/train/0,0.1665857434272766
81,Loss/train/0,0.16293253004550934
82,Loss/train/0,0.16915981471538544
83,Loss/train/0,0.1665744185447693
84,Loss/train/0,0.16369760036468506
85,Loss/train/0,0.1680048257112503
86,Loss/train/0,0.17356017231941223
87,Loss/train/0,0.16727080941200256
88,Loss/train/0,0.16504375636577606
89,Loss/train/0,0.17001250386238098
90,Loss/train/0,0.16632282733917236
91,Loss/train/0,0.16058361530303955
92,Loss/train/0,0.16623026132583618
93,Loss/train/0,0.16352376341819763
94,Loss/train/0,0.1630200743675232
95,Loss/train/0,0.16868335008621216
96,Loss/train/0,0.16427356004714966
97,Loss/train/0,0.1654077023267746
98,Loss/train/0,0.16433650255203247
99,Loss/train/0,0.16832344233989716
100,Loss/train/0,0.16688272356987
101,Loss/train/0,0.16244234144687653
102,Loss/train/0,0.1664523333311081
103,Loss/train/0,0.16129446029663086
104,Loss/train/0,0.16689974069595337
105,Loss/train/0,0.161866694688797
106,Loss/train/0,0.15839482843875885
107,Loss/train/0,0.16003979742527008
108,Loss/train/0,0.16081157326698303
109,Loss/train/0,0.15946142375469208
110,Loss/train/0,0.15904490649700165
111,Loss/train/0,0.16750702261924744
112,Loss/train/0,0.15791310369968414
113,Loss/train/0,0.16104988753795624
114,Loss/train/0,0.15525609254837036
115,Loss/train/0,0.15587201714515686
116,Loss/train/0,0.16677993535995483
117,Loss/train/0,0.157825767993927
118,Loss/train/0,0.15332604944705963
119,Loss/train/0,0.15892793238162994
120,Loss/train/0,0.1591501086950302
121,Loss/train/0,0.15347008407115936
122,Loss/train/0,0.15974292159080505
123,Loss/train/0,0.15793976187705994
124,Loss/train/0,0.1582327038049698
125,Loss/train/0,0.15390577912330627
126,Loss/train/0,0.1584119349718094
127,Loss/train/0,0.16126017272472382
128,Loss/train/0,0.15927071869373322
129,Loss/train/0,0.15855902433395386
130,Loss/train/0,0.15429627895355225
131,Loss/train/0,0.15488408505916595
132,Loss/train/0,0.1518031805753708
133,Loss/train/0,0.1574040800333023
134,Loss/train/0,0.15931206941604614
135,Loss/train/0,0.15268681943416595
136,Loss/train/0,0.1551777720451355
137,Loss/train/0,0.1608189195394516
138,Loss/train/0,0.15669488906860352
139,Loss/train/0,0.15355758368968964
140,Loss/train/0,0.15854206681251526
141,Loss/train/0,0.15593944489955902
142,Loss/train/0,0.15259501338005066
143,Loss/train/0,0.15314680337905884
144,Loss/train/0,0.15638183057308197
145,Loss/train/0,0.15344148874282837
146,Loss/train/0,0.15483732521533966
147,Loss/train/0,0.15460006892681122
148,Loss/train/0,0.1518562138080597
