steps,pid,dice,seed,git_commit
1,182,0.08998632431030273,42,9d844b58
1,183,0.09288710355758667,42,9d844b58
1,184,0.10286509990692139,42,9d844b58
1,185,0.09493851661682129,42,9d844b58
1,186,0.10635292530059814,42,9d844b58
1,187,0.11519837379455566,42,9d844b58
1,188,0.1022757887840271,42,9d844b58
1,189,0.09287267923355103,42,9d844b58
1,190,0.10609906911849976,42,9d844b58
1,191,0.10573935508728027,42,9d844b58
1,192,0.11983257532119751,42,9d844b58
1,193,0.11852651834487915,42,9d844b58
1,194,0.10376566648483276,42,9d844b58
1,195,0.10812681913375854,42,9d844b58
1,196,0.11392700672149658,42,9d844b58
1,197,0.09854769706726074,42,9d844b58
1,198,0.10396957397460938,42,9d844b58
1,199,0.10830038785934448,42,9d844b58
1,200,0.09485697746276855,42,9d844b58
1,201,0.09073030948638916,42,9d844b58
1,202,0.09911412000656128,42,9d844b58
1,203,0.11139428615570068,42,9d844b58
1,204,0.10998356342315674,42,9d844b58
1,205,0.08987462520599365,42,9d844b58
1,206,0.09273123741149902,42,9d844b58
1,207,0.10699796676635742,42,9d844b58
1,208,0.10221588611602783,42,9d844b58
1,209,0.10391324758529663,42,9d844b58
1,210,0.10828638076782227,42,9d844b58
1,211,0.12954181432724,42,9d844b58
1,212,0.12169820070266724,42,9d844b58
1,213,0.11961013078689575,42,9d844b58
1,214,0.12293988466262817,42,9d844b58
1,215,0.10388588905334473,42,9d844b58
1,216,0.10754340887069702,42,9d844b58
1,217,0.09004044532775879,42,9d844b58
1,218,0.09229820966720581,42,9d844b58
1,219,0.0821765661239624,42,9d844b58
1,220,0.07512235641479492,42,9d844b58
1,221,0.10571837425231934,42,9d844b58
1,222,0.10565078258514404,42,9d844b58
1,223,0.10437297821044922,42,9d844b58
1,224,0.08911293745040894,42,9d844b58
1,225,0.09659421443939209,42,9d844b58
1,226,0.12104183435440063,42,9d844b58
1,227,0.09117686748504639,42,9d844b58
1,228,0.10197389125823975,42,9d844b58
1,229,0.11529922485351562,42,9d844b58
1,230,0.10619711875915527,42,9d844b58
1,231,0.1063849925994873,42,9d844b58
1,232,0.1008264422416687,42,9d844b58
1,233,0.11114531755447388,42,9d844b58
1,234,0.1020355224609375,42,9d844b58
1,235,0.09765493869781494,42,9d844b58
1,236,0.08865141868591309,42,9d844b58
1,237,0.09365677833557129,42,9d844b58
1,238,0.10185366868972778,42,9d844b58
1,239,0.09918379783630371,42,9d844b58
1,240,0.12859272956848145,42,9d844b58
1,241,0.10665827989578247,42,9d844b58
1,242,0.10367536544799805,42,9d844b58
1,243,0.10704290866851807,42,9d844b58
1,244,0.11241555213928223,42,9d844b58
1,245,0.1205359697341919,42,9d844b58
1,246,0.10800129175186157,42,9d844b58
1,247,0.10452133417129517,42,9d844b58
1,248,0.09866005182266235,42,9d844b58
1,249,0.09072178602218628,42,9d844b58
1,250,0.10204839706420898,42,9d844b58
1,251,0.10290151834487915,42,9d844b58
1,252,0.12221521139144897,42,9d844b58
1,253,0.10061925649642944,42,9d844b58
1,254,0.09737586975097656,42,9d844b58
1,255,0.11127865314483643,42,9d844b58
1,256,0.10676997900009155,42,9d844b58
1,257,0.1004784107208252,42,9d844b58
1,258,0.12331748008728027,42,9d844b58
1,259,0.12298965454101562,42,9d844b58
2,182,0.10239219665527344,42,9d844b58
2,183,0.10493087768554688,42,9d844b58
2,184,0.11221212148666382,42,9d844b58
2,185,0.10667085647583008,42,9d844b58
2,186,0.1190606951713562,42,9d844b58
2,187,0.1293184757232666,42,9d844b58
2,188,0.11352986097335815,42,9d844b58
2,189,0.10410672426223755,42,9d844b58
2,190,0.11909222602844238,42,9d844b58
2,191,0.11744844913482666,42,9d844b58
2,192,0.1313776969909668,42,9d844b58
2,193,0.13006269931793213,42,9d844b58
2,194,0.11745500564575195,42,9d844b58
2,195,0.12224036455154419,42,9d844b58
2,196,0.1237173080444336,42,9d844b58
2,197,0.11091983318328857,42,9d844b58
2,198,0.11489599943161011,42,9d844b58
2,199,0.12230801582336426,42,9d844b58
2,200,0.10668623447418213,42,9d844b58
2,201,0.10226374864578247,42,9d844b58
2,202,0.11263102293014526,42,9d844b58
2,203,0.12450873851776123,42,9d844b58
2,204,0.12342244386672974,42,9d844b58
2,205,0.10187304019927979,42,9d844b58
2,206,0.10667270421981812,42,9d844b58
2,207,0.11808538436889648,42,9d844b58
2,208,0.11324316263198853,42,9d844b58
2,209,0.11281400918960571,42,9d844b58
2,210,0.12082135677337646,42,9d844b58
2,211,0.1412624716758728,42,9d844b58
2,212,0.1327277421951294,42,9d844b58
2,213,0.13026195764541626,42,9d844b58
2,214,0.13622939586639404,42,9d844b58
2,215,0.11545008420944214,42,9d844b58
2,216,0.1217690110206604,42,9d844b58
2,217,0.10044527053833008,42,9d844b58
2,218,0.10428649187088013,42,9d844b58
2,219,0.09316480159759521,42,9d844b58
2,220,0.0832449197769165,42,9d844b58
2,221,0.12128674983978271,42,9d844b58
2,222,0.12027060985565186,42,9d844b58
2,223,0.1176295280456543,42,9d844b58
2,224,0.0973019003868103,42,9d844b58
2,225,0.11021792888641357,42,9d844b58
2,226,0.13391822576522827,42,9d844b58
2,227,0.10384589433670044,42,9d844b58
2,228,0.11691737174987793,42,9d844b58
2,229,0.1277286410331726,42,9d844b58
2,230,0.1173548698425293,42,9d844b58
2,231,0.11887472867965698,42,9d844b58
2,232,0.11268311738967896,42,9d844b58
2,233,0.12370020151138306,42,9d844b58
2,234,0.11639261245727539,42,9d844b58
2,235,0.11102169752120972,42,9d844b58
2,236,0.09926789999008179,42,9d844b58
2,237,0.10583257675170898,42,9d844b58
2,238,0.11120384931564331,42,9d844b58
2,239,0.10942202806472778,42,9d844b58
2,240,0.1427934169769287,42,9d844b58
2,241,0.11650770902633667,42,9d844b58
2,242,0.1160973310470581,42,9d844b58
2,243,0.12065374851226807,42,9d844b58
2,244,0.12791657447814941,42,9d844b58
2,245,0.13259798288345337,42,9d844b58
2,246,0.1226813793182373,42,9d844b58
2,247,0.11408579349517822,42,9d844b58
2,248,0.10924971103668213,42,9d844b58
2,249,0.10340166091918945,42,9d844b58
2,250,0.11722421646118164,42,9d844b58
2,251,0.11613011360168457,42,9d844b58
2,252,0.13423120975494385,42,9d844b58
2,253,0.11182153224945068,42,9d844b58
2,254,0.1106598973274231,42,9d844b58
2,255,0.1250278353691101,42,9d844b58
2,256,0.11830335855484009,42,9d844b58
2,257,0.11255842447280884,42,9d844b58
2,258,0.13899308443069458,42,9d844b58
2,259,0.13591092824935913,42,9d844b58
4,182,0.16815721988677979,42,9d844b58
4,183,0.16966336965560913,42,9d844b58
4,184,0.16079849004745483,42,9d844b58
4,185,0.16961729526519775,42,9d844b58
4,186,0.18416404724121094,42,9d844b58
4,187,0.21053355932235718,42,9d844b58
4,188,0.1707388162612915,42,9d844b58
4,189,0.15290606021881104,42,9d844b58
4,190,0.18756330013275146,42,9d844b58
4,191,0.18268191814422607,42,9d844b58
4,192,0.1915740966796875,42,9d844b58
4,193,0.18961173295974731,42,9d844b58
4,194,0.19221776723861694,42,9d844b58
4,195,0.19960719347000122,42,9d844b58
4,196,0.17193901538848877,42,9d844b58
4,197,0.1847163438796997,42,9d844b58
4,198,0.1693282127380371,42,9d844b58
4,199,0.1864863634109497,42,9d844b58
4,200,0.16733622550964355,42,9d844b58
4,201,0.1664104461669922,42,9d844b58
4,202,0.18032169342041016,42,9d844b58
4,203,0.19107776880264282,42,9d844b58
4,204,0.1852298378944397,42,9d844b58
4,205,0.1687653660774231,42,9d844b58
4,206,0.18458157777786255,42,9d844b58
4,207,0.17366677522659302,42,9d844b58
4,208,0.16810822486877441,42,9d844b58
4,209,0.1552063226699829,42,9d844b58
4,210,0.18757641315460205,42,9d844b58
4,211,0.18808317184448242,42,9d844b58
4,212,0.18500536680221558,42,9d844b58
4,213,0.18081623315811157,42,9d844b58
4,214,0.18953144550323486,42,9d844b58
4,215,0.17866629362106323,42,9d844b58
4,216,0.18808013200759888,42,9d844b58
4,217,0.1516563892364502,42,9d844b58
4,218,0.16198718547821045,42,9d844b58
4,219,0.14673078060150146,42,9d844b58
4,220,0.12816894054412842,42,9d844b58
4,221,0.20274806022644043,42,9d844b58
4,222,0.20127040147781372,42,9d844b58
4,223,0.1892337203025818,42,9d844b58
4,224,0.14279437065124512,42,9d844b58
4,225,0.19092154502868652,42,9d844b58
4,226,0.19071733951568604,42,9d844b58
4,227,0.1700182557106018,42,9d844b58
4,228,0.19536978006362915,42,9d844b58
4,229,0.19213634729385376,42,9d844b58
4,230,0.17553496360778809,42,9d844b58
4,231,0.17524194717407227,42,9d844b58
4,232,0.17914843559265137,42,9d844b58
4,233,0.19293636083602905,42,9d844b58
4,234,0.19141387939453125,42,9d844b58
4,235,0.18457281589508057,42,9d844b58
4,236,0.15872228145599365,42,9d844b58
4,237,0.1699965000152588,42,9d844b58
4,238,0.15881413221359253,42,9d844b58
4,239,0.1657942533493042,42,9d844b58
4,240,0.22600442171096802,42,9d844b58
4,241,0.16567444801330566,42,9d844b58
4,242,0.1800140142440796,42,9d844b58
4,243,0.1957988739013672,42,9d844b58
4,244,0.20725059509277344,42,9d844b58
4,245,0.20478951930999756,42,9d844b58
4,246,0.19234603643417358,42,9d844b58
4,247,0.16923373937606812,42,9d844b58
4,248,0.16778123378753662,42,9d844b58
4,249,0.1754956841468811,42,9d844b58
4,250,0.2030247449874878,42,9d844b58
4,251,0.18418222665786743,42,9d844b58
4,252,0.18478089570999146,42,9d844b58
4,253,0.17283284664154053,42,9d844b58
4,254,0.18119287490844727,42,9d844b58
4,255,0.18780583143234253,42,9d844b58
4,256,0.17664027214050293,42,9d844b58
4,257,0.16259127855300903,42,9d844b58
4,258,0.21178144216537476,42,9d844b58
4,259,0.2106947898864746,42,9d844b58
8,182,0.6959764957427979,42,9d844b58
8,183,0.6818501949310303,42,9d844b58
8,184,0.5908584594726562,42,9d844b58
8,185,0.6563920378684998,42,9d844b58
8,186,0.7007389068603516,42,9d844b58
8,187,0.7247880697250366,42,9d844b58
8,188,0.654482901096344,42,9d844b58
8,189,0.555500328540802,42,9d844b58
8,190,0.6930387020111084,42,9d844b58
8,191,0.6811738610267639,42,9d844b58
8,192,0.6625198125839233,42,9d844b58
8,193,0.7015727162361145,42,9d844b58
8,194,0.7138075828552246,42,9d844b58
8,195,0.7496147751808167,42,9d844b58
8,196,0.5820773839950562,42,9d844b58
8,197,0.7276464700698853,42,9d844b58
8,198,0.6685613989830017,42,9d844b58
8,199,0.6557214260101318,42,9d844b58
8,200,0.6827024221420288,42,9d844b58
8,201,0.6910195350646973,42,9d844b58
8,202,0.6924248337745667,42,9d844b58
8,203,0.6860241889953613,42,9d844b58
8,204,0.6589652299880981,42,9d844b58
8,205,0.6920462846755981,42,9d844b58
8,206,0.7436273097991943,42,9d844b58
8,207,0.6531468033790588,42,9d844b58
8,208,0.6624286770820618,42,9d844b58
8,209,0.6432725191116333,42,9d844b58
8,210,0.6749815940856934,42,9d844b58
8,211,0.6246883869171143,42,9d844b58
8,212,0.6031116247177124,42,9d844b58
8,213,0.5907729268074036,42,9d844b58
8,214,0.5273979306221008,42,9d844b58
8,215,0.6984869837760925,42,9d844b58
8,216,0.7337419986724854,42,9d844b58
8,217,0.5785964131355286,42,9d844b58
8,218,0.6051111221313477,42,9d844b58
8,219,0.5739426016807556,42,9d844b58
8,220,0.5423984527587891,42,9d844b58
8,221,0.7359902262687683,42,9d844b58
8,222,0.7349281311035156,42,9d844b58
8,223,0.7290332317352295,42,9d844b58
8,224,0.6511527895927429,42,9d844b58
8,225,0.7099987864494324,42,9d844b58
8,226,0.6251419186592102,42,9d844b58
8,227,0.6827191114425659,42,9d844b58
8,228,0.7287124395370483,42,9d844b58
8,229,0.6709954142570496,42,9d844b58
8,230,0.6683836579322815,42,9d844b58
8,231,0.6425461173057556,42,9d844b58
8,232,0.6841047406196594,42,9d844b58
8,233,0.6715905070304871,42,9d844b58
8,234,0.722437858581543,42,9d844b58
8,235,0.7089172601699829,42,9d844b58
8,236,0.6573755145072937,42,9d844b58
8,237,0.7296984791755676,42,9d844b58
8,238,0.6405470967292786,42,9d844b58
8,239,0.6813889741897583,42,9d844b58
8,240,0.7184345722198486,42,9d844b58
8,241,0.6665166020393372,42,9d844b58
8,242,0.6719606518745422,42,9d844b58
8,243,0.7230263352394104,42,9d844b58
8,244,0.7565422058105469,42,9d844b58
8,245,0.7491359114646912,42,9d844b58
8,246,0.7454650402069092,42,9d844b58
8,247,0.6388762593269348,42,9d844b58
8,248,0.6690331697463989,42,9d844b58
8,249,0.7171890735626221,42,9d844b58
8,250,0.738199770450592,42,9d844b58
8,251,0.7377142310142517,42,9d844b58
8,252,0.6539299488067627,42,9d844b58
8,253,0.6840274930000305,42,9d844b58
8,254,0.7105286717414856,42,9d844b58
8,255,0.6777466535568237,42,9d844b58
