perturb_type,level,pid,dice,seed,commit
scale,1.10,182,0.861387,42,9d844b58
scale,1.10,183,0.856736,42,9d844b58
scale,1.10,184,0.843243,42,9d844b58
scale,1.10,185,0.874622,42,9d844b58
scale,1.10,186,0.86758,42,9d844b58
scale,1.10,187,0.85801,42,9d844b58
scale,1.10,188,0.844583,42,9d844b58
scale,1.10,189,0.736934,42,9d844b58
scale,1.10,190,0.843074,42,9d844b58
scale,1.10,191,0.854035,42,9d844b58
scale,1.10,192,0.868853,42,9d844b58
scale,1.10,193,0.873659,42,9d844b58
scale,1.10,194,0.865671,42,9d844b58
scale,1.10,195,0.869007,42,9d844b58
scale,1.10,196,0.785037,42,9d844b58
scale,1.10,197,0.909507,42,9d844b58
scale,1.10,198,0.817486,42,9d844b58
scale,1.10,199,0.76885,42,9d844b58
scale,1.10,200,0.880938,42,9d844b58
scale,1.10,201,0.842321,42,9d844b58
scale,1.10,202,0.851469,42,9d844b58
scale,1.10,203,0.844397,42,9d844b58
scale,1.10,204,0.857372,42,9d844b58
scale,1.10,205,0.875299,42,9d844b58
scale,1.10,206,0.871223,42,9d844b58
scale,1.10,207,0.843817,42,9d844b58
scale,1.10,208,0.863442,42,9d844b58
scale,1.10,209,0.868315,42,9d844b58
scale,1.10,210,0.847429,42,9d844b58
scale,1.10,211,0.887209,42,9d844b58
scale,1.10,212,0.871308,42,9d844b58
scale,1.10,213,0.749293,42,9d844b58
scale,1.10,214,0.648592,42,9d844b58
scale,1.10,215,0.846819,42,9d844b58
scale,1.10,216,0.870724,42,9d844b58
scale,1.10,217,0.826634,42,9d844b58
scale,1.10,218,0.830507,42,9d844b58
scale,1.10,219,0.83174,42,9d844b58
scale,1.10,220,0.81447,42,9d844b58
scale,1.10,221,0.868074,42,9d844b58
scale,1.10,222,0.868104,42,9d844b58
scale,1.10,223,0.865241,42,9d844b58
scale,1.10,224,0.856205,42,9d844b58
scale,1.10,225,0.858434,42,9d844b58
scale,1.10,226,0.846424,42,9d844b58
scale,1.10,227,0.853877,42,9d844b58
scale,1.10,228,0.857259,42,9d844b58
scale,1.10,229,0.868031,42,9d844b58
scale,1.10,230,0.881065,42,9d844b58
scale,1.10,231,0.843813,42,9d844b58
scale,1.10,232,0.874927,42,9d844b58
scale,1.10,233,0.860837,42,9d844b58
scale,1.10,234,0.864406,42,9d844b58
scale,1.10,235,0.859736,42,9d844b58
