seed,jobid,val_idx,val_dice
43,1436782,0,0.49716799789004856
43,1436782,1,0.27203001578648883
43,1436782,2,0.0034894943237304688
43,1436782,3,0.0037927296426561144
44,1436783,0,0.0
46,1436785,0,0.3709913161065843
46,1436785,1,0.5596838328573439
46,1436785,2,0.5229158600171407
46,1436785,3,0.6183284786012437
46,1436785,4,0.0
46,1436785,5,0.0
