feature_set,auroc_mean,auroc_std,n_samples
all_43dim,0.9213,0.0091,1000
hist32,0.8174,0.0327,1000
edge_ratio,0.6003,0.0321,1000
glcm,0.8315,0.0267,1000
stats,0.7801,0.0279,1000
fft_ratio,0.5411,0.0437,1000
