pair,subset,method,rank,auroc,n_matched
NIH_vs_VinDr,cleanC,ViM,1,0.7557,128
NIH_vs_VinDr,cleanC,Residual,2,0.7557,128
NIH_vs_VinDr,cleanC,MSP,3,0.5975,128
NIH_vs_VinDr,cleanC,ODIN,4,0.5974,128
NIH_vs_VinDr,cleanC,KNN,5,0.5964,128
NIH_vs_VinDr,cleanC,NNGuide,6,0.5741,128
NIH_vs_VinDr,cleanC,DICE,7,0.5579,128
NIH_vs_VinDr,cleanC,Energy,8,0.554,128
NIH_vs_VinDr,cleanC,ASH,9,0.5487,128
NIH_vs_VinDr,cleanC,SHE,10,0.5187,128
NIH_vs_VinDr,cleanC,GradNorm,11,0.4702,128
NIH_vs_VinDr,cleanC,MDS,12,0.4234,128
NIH_vs_VinDr,cleanC,fDBD,13,0.4122,128
NIH_vs_RSNA_normal,cleanC,DICE,1,0.648,222
NIH_vs_RSNA_normal,cleanC,ASH,2,0.6459,222
NIH_vs_RSNA_normal,cleanC,NNGuide,3,0.6404,222
NIH_vs_RSNA_normal,cleanC,Energy,4,0.64,222
NIH_vs_RSNA_normal,cleanC,MSP,5,0.6298,222
NIH_vs_RSNA_normal,cleanC,ODIN,6,0.6298,222
NIH_vs_RSNA_normal,cleanC,MDS,7,0.5124,222
NIH_vs_RSNA_normal,cleanC,ViM,8,0.443,222
NIH_vs_RSNA_normal,cleanC,Residual,9,0.443,222
NIH_vs_RSNA_normal,cleanC,SHE,10,0.384,222
NIH_vs_RSNA_normal,cleanC,KNN,11,0.3816,222
NIH_vs_RSNA_normal,cleanC,fDBD,12,0.3783,222
NIH_vs_RSNA_normal,cleanC,GradNorm,13,0.3671,222
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,MSP,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,ODIN,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,Energy,-1,nan,8
