pair,subset,method,rank,auroc
NIH_vs_VinDr,cleanA,ViM,1,0.663
NIH_vs_VinDr,cleanA,Residual,2,0.663
NIH_vs_VinDr,cleanA,KNN,3,0.6069
NIH_vs_VinDr,cleanA,MSP,4,0.5553
NIH_vs_VinDr,cleanA,ODIN,5,0.5553
NIH_vs_VinDr,cleanA,fDBD,6,0.5473
NIH_vs_VinDr,cleanA,SHE,7,0.5363
NIH_vs_VinDr,cleanA,NNGuide,8,0.5328
NIH_vs_VinDr,cleanA,Energy,9,0.52
NIH_vs_VinDr,cleanA,ASH,10,0.5146
NIH_vs_VinDr,cleanA,DICE,11,0.5142
NIH_vs_VinDr,cleanA,GradNorm,12,0.4956
NIH_vs_VinDr,cleanA,MDS,13,0.4845
NIH_vs_RSNA_normal,cleanA,Energy,1,0.6243
NIH_vs_RSNA_normal,cleanA,ASH,2,0.624
NIH_vs_RSNA_normal,cleanA,NNGuide,3,0.6203
NIH_vs_RSNA_normal,cleanA,DICE,4,0.616
NIH_vs_RSNA_normal,cleanA,ODIN,5,0.6108
NIH_vs_RSNA_normal,cleanA,MSP,6,0.6064
NIH_vs_RSNA_normal,cleanA,MDS,7,0.5168
NIH_vs_RSNA_normal,cleanA,fDBD,8,0.5097
NIH_vs_RSNA_normal,cleanA,ViM,9,0.4789
NIH_vs_RSNA_normal,cleanA,Residual,10,0.4789
NIH_vs_RSNA_normal,cleanA,KNN,11,0.432
NIH_vs_RSNA_normal,cleanA,GradNorm,12,0.3948
NIH_vs_RSNA_normal,cleanA,SHE,13,0.3918
BraTS_normal_vs_BrainTumor_normal,cleanA,GradNorm,1,0.5391
BraTS_normal_vs_BrainTumor_normal,cleanA,fDBD,2,0.5085
BraTS_normal_vs_BrainTumor_normal,cleanA,MSP,3,0.4958
BraTS_normal_vs_BrainTumor_normal,cleanA,DICE,4,0.4946
BraTS_normal_vs_BrainTumor_normal,cleanA,ODIN,5,0.4744
BraTS_normal_vs_BrainTumor_normal,cleanA,NNGuide,6,0.4724
BraTS_normal_vs_BrainTumor_normal,cleanA,Energy,7,0.4626
BraTS_normal_vs_BrainTumor_normal,cleanA,ASH,8,0.4623
BraTS_normal_vs_BrainTumor_normal,cleanA,KNN,9,0.4607
BraTS_normal_vs_BrainTumor_normal,cleanA,SHE,10,0.4182
BraTS_normal_vs_BrainTumor_normal,cleanA,MDS,11,0.3953
BraTS_normal_vs_BrainTumor_normal,cleanA,ViM,12,0.3643
BraTS_normal_vs_BrainTumor_normal,cleanA,Residual,13,0.3643
HAM_NV_vs_ISIC2020_benign,cleanA,GradNorm,1,0.5309
HAM_NV_vs_ISIC2020_benign,cleanA,KNN,2,0.5132
HAM_NV_vs_ISIC2020_benign,cleanA,SHE,3,0.5092
HAM_NV_vs_ISIC2020_benign,cleanA,MSP,4,0.4987
HAM_NV_vs_ISIC2020_benign,cleanA,DICE,5,0.4963
HAM_NV_vs_ISIC2020_benign,cleanA,ODIN,6,0.4904
HAM_NV_vs_ISIC2020_benign,cleanA,NNGuide,7,0.4868
HAM_NV_vs_ISIC2020_benign,cleanA,ASH,8,0.4811
HAM_NV_vs_ISIC2020_benign,cleanA,Energy,9,0.4797
HAM_NV_vs_ISIC2020_benign,cleanA,fDBD,10,0.4736
HAM_NV_vs_ISIC2020_benign,cleanA,ViM,11,0.4621
HAM_NV_vs_ISIC2020_benign,cleanA,Residual,12,0.4621
HAM_NV_vs_ISIC2020_benign,cleanA,MDS,13,0.4584
VinDr_CXR_vs_RSNA_normal,cleanA,fDBD,1,0.5874
VinDr_CXR_vs_RSNA_normal,cleanA,ViM,2,0.5854
VinDr_CXR_vs_RSNA_normal,cleanA,Residual,3,0.5854
VinDr_CXR_vs_RSNA_normal,cleanA,MDS,4,0.5486
VinDr_CXR_vs_RSNA_normal,cleanA,KNN,5,0.5447
VinDr_CXR_vs_RSNA_normal,cleanA,ASH,6,0.5434
VinDr_CXR_vs_RSNA_normal,cleanA,Energy,7,0.5384
VinDr_CXR_vs_RSNA_normal,cleanA,NNGuide,8,0.5339
VinDr_CXR_vs_RSNA_normal,cleanA,SHE,9,0.5313
VinDr_CXR_vs_RSNA_normal,cleanA,DICE,10,0.5276
VinDr_CXR_vs_RSNA_normal,cleanA,ODIN,11,0.4655
VinDr_CXR_vs_RSNA_normal,cleanA,GradNorm,12,0.463
VinDr_CXR_vs_RSNA_normal,cleanA,MSP,13,0.4508
HAM_NV_vs_fitzpatrick17k,cleanA,KNN,1,0.6254
HAM_NV_vs_fitzpatrick17k,cleanA,SHE,2,0.6035
HAM_NV_vs_fitzpatrick17k,cleanA,MSP,3,0.561
HAM_NV_vs_fitzpatrick17k,cleanA,ViM,4,0.5538
HAM_NV_vs_fitzpatrick17k,cleanA,Residual,5,0.5538
