pair,spearman_point,ci_lower,ci_upper,ci_upper_lt_0.7,top1_orig,top1_cleanC_rank,top1_dropped_from_top3,A4_verdict,n_matched_pairs,common_support_pct,artifact_only_auroc_cleanC,method_mean_auroc_cleanC,smd_max,smd_mean
NIH_vs_VinDr,0.9451,0.7591,1.0,0,ViM,1,0,A-4 FAIL,156,0.0,0.5668,0.5967,0.128,0.0517
NIH_vs_RSNA_normal,0.978,0.862,1.0,0,ViM,1,0,A-4 FAIL,382,0.0,0.4975,0.6011,0.1457,0.0453
BraTS_normal_vs_BrainTumor_normal,nan,nan,nan,-1,ViM,-1,-1,"INSUFFICIENT (n_matched=6, unable to decide)",6,0.0,nan,nan,1.5255,0.3776
HAM_NV_vs_ISIC2020_benign,0.5824,-0.0455,0.9664,0,ViM,1,0,A-4 FAIL,228,0.0,0.5136,0.5801,0.1959,0.0661
VinDr_CXR_vs_RSNA_normal,0.7747,0.3203,0.9665,0,ViM,1,0,A-4 FAIL,150,0.0,0.41,0.6218,0.1474,0.0394
HAM_NV_vs_fitzpatrick17k,0.7198,0.225,0.9776,0,ViM,1,0,A-4 FAIL,39,0.0,0.6003,0.6198,0.6751,0.2899
ISIC2020_benign_vs_PAD_UFES,0.6758,-0.006,0.9665,0,ViM,1,0,A-4 FAIL,188,0.0,0.4829,0.6347,0.2126,0.065
