pair,method,subset,raw_auroc,clean_auroc,delta_drop,actual_rank_by_drop,hypothesis_rank,ci1_spearman,ci1_ci_lower,ci1_ci_upper,ci1_upper_lt_0.7,ci1_top1_dropped,ci2_mech_spearman,ci2_mech_match_gte_0.5,a4_verdict
HAM_NV_vs_ISIC2020_benign,NNGuide,cleanC,0.5216,0.4894,0.0322,12,N/A,0.3736,-0.239,0.9446,0,1,1.0,1,A-4 PASS (排名实质改变)
HAM_NV_vs_ISIC2020_benign,GradNorm,cleanC,0.3871,0.5325,-0.1454,13,N/A,0.3736,-0.239,0.9446,0,1,1.0,1,A-4 PASS (排名实质改变)
VinDr_CXR_vs_RSNA_normal,KNN,cleanC,0.6148,0.522,0.0928,1,2,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,SHE,cleanC,0.5969,0.5272,0.0697,2,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,NNGuide,cleanC,0.6474,0.5859,0.0615,3,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,MDS,cleanC,0.6972,0.6435,0.0537,4,1,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,ASH,cleanC,0.6461,0.593,0.0531,5,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,Energy,cleanC,0.6366,0.5849,0.0517,6,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,ViM,cleanC,0.7716,0.7256,0.046,7,3,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,Residual,cleanC,0.7716,0.7256,0.046,8,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,MSP,cleanC,0.5113,0.4709,0.0404,9,4,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,ODIN,cleanC,0.5112,0.4708,0.0404,10,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,DICE,cleanC,0.5636,0.5603,0.0033,11,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,GradNorm,cleanC,0.3619,0.4107,-0.0488,12,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
VinDr_CXR_vs_RSNA_normal,fDBD,cleanC,0.5243,0.5847,-0.0604,13,N/A,0.9396,0.7095,1.0,0,0,0.8,1,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,ViM,cleanC,0.7982,0.6596,0.1386,1,3,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,Residual,cleanC,0.7982,0.6596,0.1386,2,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,GradNorm,cleanC,0.628,0.5045,0.1235,3,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,KNN,cleanC,0.7954,0.6917,0.1037,4,2,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,SHE,cleanC,0.7025,0.6198,0.0827,5,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,MDS,cleanC,0.6045,0.5308,0.0737,6,1,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,fDBD,cleanC,0.6007,0.6014,-0.0007,7,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,MSP,cleanC,0.5283,0.5292,-0.0009,8,4,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,ODIN,cleanC,0.5284,0.5293,-0.0009,9,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,Energy,cleanC,0.516,0.5509,-0.0349,10,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,ASH,cleanC,0.495,0.5598,-0.0648,11,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,NNGuide,cleanC,0.3864,0.4824,-0.096,12,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
ISIC2020_benign_vs_PAD_UFES,DICE,cleanC,0.4356,0.564,-0.1284,13,N/A,0.6374,-0.0568,0.9145,0,0,0.2,0,A-4 FAIL
