bb_idx,MT_ImmugenX,WT_ImmugenX
0,0.1845080107450485,0.1612393707036972
1,0.6373189687728882,0.5183740258216858
2,0.3819940984249115,0.315629094839096
3,0.3921473026275635,0.3435052633285522
4,0.1112459674477577,0.1098190918564796
5,0.1197285875678062,0.1243383660912513
6,0.3471359312534332,0.2327197343111038
7,0.6887613534927368,0.6739238500595093
8,0.5539154410362244,0.4323787987232208
9,0.5081244111061096,0.5017189979553223
10,0.1572350859642028,0.1169286370277404
11,0.166279137134552,0.1281833350658416
12,0.3478900790214538,0.32414510846138
13,0.7087298631668091,0.688834011554718
14,0.5294373631477356,0.3508583605289459
15,0.4731960296630859,0.4148352146148681
16,0.2240408211946487,0.1545856744050979
17,0.1735227704048156,0.1839679181575775
18,0.2416059225797653,0.2452408373355865
19,0.4347445368766784,0.3868506550788879
20,0.1910577565431594,0.1998133510351181
21,0.3532223105430603,0.329745352268219
22,0.1052722558379173,0.113912358880043
23,0.1764526665210724,0.2342007458209991
24,0.1624706834554672,0.1680154800415039
25,0.2299250811338424,0.2389323711395263
26,0.2290236353874206,0.2427812218666076
27,0.42437544465065,0.435458779335022
28,0.1092950925230979,0.1090912669897079
29,0.1048350185155868,0.1053512319922447
30,0.3598828613758087,0.1277878880500793
31,0.4214175641536712,0.2104021459817886
32,0.4240075945854187,0.1431336998939514
33,0.4092408418655395,0.2240884155035019
34,0.3829146027565002,0.0881550833582878
35,0.3618280291557312,0.095691442489624
36,0.3458881378173828,0.3499207496643066
37,0.4867871403694153,0.4861369431018829
38,0.7445935010910034,0.7501387596130371
39,0.636848509311676,0.6407691836357117
40,0.1413030922412872,0.1704357415437698
41,0.1580041646957397,0.202610582113266
42,0.2910979688167572,0.3264192938804626
43,0.2966260015964508,0.4680801331996918
44,0.6999787092208862,0.7526646852493286
45,0.4083246290683746,0.4687307476997375
46,0.1017687544226646,0.1066630557179451
47,0.1127993017435073,0.12271099537611
48,0.2428789585828781,0.2274184077978134
49,0.393425703048706,0.4823508560657501
50,0.5398789644241333,0.6381034851074219
51,0.6685509085655212,0.6664315462112427
52,0.1465175747871399,0.1445110887289047
53,0.1938683539628982,0.1854405105113983
54,0.346942126750946,0.3045811057090759
55,0.2736327350139618,0.2912830710411072
56,0.7119212746620178,0.6308337450027466
57,0.4117242395877838,0.3927034735679626
58,0.1140208393335342,0.1007394641637802
59,0.160666361451149,0.1093727797269821
60,0.4103889465332031,0.3840979337692261
61,0.5007534623146057,0.5075246095657349
62,0.5689192414283752,0.5406977534294128
63,0.4608581960201263,0.4305447340011596
64,0.3180184662342071,0.1273633539676666
65,0.3780538439750671,0.2071249336004257
66,0.5421924591064453,0.3721165060997009
67,0.3001195192337036,0.252204954624176
68,0.6007628440856934,0.528460681438446
69,0.4488365650177002,0.4156548678874969
70,0.1132654026150703,0.1060855612158775
71,0.1199309229850769,0.1078061312437057
72,0.76775723695755,0.7180799245834351
73,0.2760190665721893,0.2940320968627929
74,0.6376972794532776,0.6772974133491516
75,0.4099930822849273,0.4376446008682251
76,0.134923443198204,0.1228822395205497
77,0.1436961442232132,0.123098075389862
78,0.0782203450798988,0.0785343572497367
79,0.6048066020011902,0.5811246037483215
80,0.4644621312618255,0.4531257450580597
81,0.1084441617131233,0.0743678361177444
82,0.2886588275432586,0.1289057433605194
83,0.3309678435325622,0.1240043714642524
84,0.2593828737735748,0.0748169794678688
85,0.3827238976955414,0.1472962200641632
86,0.3814223408699035,0.1544454842805862
87,0.0801095589995384,0.0784020200371742
88,0.4508307576179504,0.4543878138065338
89,0.5962597131729126,0.6124491095542908
90,0.0755907744169235,0.0733928307890892
91,0.509307324886322,0.5077918171882629
92,0.4033488929271698,0.3902300298213959
93,0.2365553826093673,0.221369668841362
94,0.207728624343872,0.1690852046012878
95,0.3692167699337005,0.3197467625141144
96,0.2212909013032913,0.0753683671355247
97,0.2163473516702652,0.1285232305526733
98,0.3606681227684021,0.1261039674282074
99,0.1534322053194046,0.117816150188446
100,0.3670076131820678,0.354858249425888
101,0.4281382262706756,0.4195619821548462
102,0.0982800349593162,0.0824137404561042
103,0.5341580510139465,0.3912658989429474
104,0.4865990877151489,0.4318720698356628
105,0.5266448259353638,0.5434725284576416
106,0.3763480484485626,0.3642698526382446
107,0.4145451486110687,0.4242791831493377
108,0.3466595709323883,0.1872455477714538
109,0.4467757940292358,0.3912445306777954
110,0.4283581674098968,0.5715816617012024
111,0.0729432478547096,0.0730089023709297
112,0.6196988224983215,0.5637179017066956
113,0.42635178565979,0.3858546018600464
114,0.1162004843354225,0.1134337559342384
115,0.7446720004081726,0.7018862962722778
116,0.5241760611534119,0.5154696702957153
117,0.3596455752849579,0.1931558102369308
118,0.2229980528354644,0.2281599193811416
119,0.3903085887432098,0.3499284982681274
120,0.0962007343769073,0.0957745313644409
121,0.7758437395095825,0.7696157097816467
122,0.5496619343757629,0.5391791462898254
123,0.7231494784355164,0.7079647183418274
124,0.7750067710876465,0.757323682308197
125,0.5593880414962769,0.555966317653656
126,0.3059524893760681,0.2894150912761688
127,0.6002253890037537,0.5788505673408508
128,0.5149970054626465,0.4923421442508697
129,0.7111467123031616,0.7142317295074463
130,0.5725302696228027,0.3620762228965759
131,0.2161888480186462,0.4873625040054321
132,0.1607145220041275,0.3225442469120025
133,0.6479912996292114,0.6381283402442932
134,0.4137577712535858,0.5259823203086853
135,0.5630553960800171,0.5473801493644714
136,0.3445462882518768,0.2451988011598587
137,0.1520004868507385,0.1733331233263015
138,0.2000599056482315,0.2294033765792846
139,0.3216068744659424,0.4273011982440948
140,0.4264301657676697,0.3328781723976135
141,0.2748780846595764,0.1727199107408523
142,0.1254092156887054,0.1304208040237426
143,0.1037301570177078,0.1097008138895034
144,0.1127459108829498,0.1157615780830383
145,0.111269824206829,0.1123647838830947
146,0.1322524547576904,0.1170966848731041
147,0.5463130474090576,0.5543028712272644
148,0.2952592968940735,0.3023703992366791
149,0.1453594714403152,0.148971140384674
150,0.1605085879564285,0.1632602512836456
151,0.2806832492351532,0.3214116096496582
152,0.3542926907539367,0.36312997341156
153,0.4577261507511139,0.4668468236923218
154,0.2814519703388214,0.2994691133499145
155,0.1155636981129646,0.1170983612537384
156,0.1276161819696426,0.1299987882375717
157,0.2009349465370178,0.2515992522239685
158,0.2472286373376846,0.2772025465965271
159,0.4402107298374176,0.4267748594284057
160,0.2361263334751129,0.2095134407281875
161,0.1445693522691726,0.1371259242296219
162,0.3269356489181518,0.3167469501495361
163,0.2872972786426544,0.2792781591415405
164,0.2696209847927093,0.2456294745206833
165,0.4461196959018707,0.3869975209236145
166,0.1648900210857391,0.1930043548345565
167,0.1109695211052894,0.1177367493510246
168,0.1239879801869392,0.1246872022747993
169,0.1483606845140457,0.1500837504863739
170,0.1825408041477203,0.1764526516199112
171,0.7592926025390625,0.7591971158981323
172,0.1139144077897071,0.1373562216758728
173,0.1022726967930793,0.1072250306606292
174,0.1318616271018982,0.1363389194011688
175,0.6822022795677185,0.7697287797927856
176,0.1719351261854171,0.1419253200292587
177,0.0900708138942718,0.093000940978527
178,0.2802358865737915,0.2077336311340332
179,0.6834683418273926,0.7533186674118042
180,0.1691893488168716,0.2289672195911407
181,0.1242183446884155,0.1348514407873153
182,0.3689651191234588,0.206055000424385
183,0.760211169719696,0.7563291192054749
184,0.1437557637691497,0.1690398007631302
185,0.1121046766638755,0.1598796248435974
186,0.5664029121398926,0.3739119172096252
187,0.6854202747344971,0.6819085478782654
188,0.283850222826004,0.2775880694389343
189,0.229520097374916,0.2158085107803344
190,0.4278184771537781,0.422165185213089
191,0.6144372224807739,0.634221613407135
192,0.1150951012969017,0.1286591291427612
193,0.0812403187155723,0.0908009484410286
194,0.1356415748596191,0.1292214095592498
195,0.7423652410507202,0.6224180459976196
196,0.2173476219177246,0.1414982974529266
197,0.1369256824254989,0.0873744636774063
198,0.2691912353038788,0.1430988609790802
199,0.7332895398139954,0.7524423599243164
200,0.1775849014520645,0.1636672765016555
201,0.2570942342281341,0.2794995307922363
202,0.5291650295257568,0.5561237335205078
203,0.7447605133056641,0.7375684380531311
204,0.2701667845249176,0.2131898552179336
205,0.77972012758255,0.7802917957305908
206,0.2865955531597137,0.2831476926803589
207,0.7837968468666077,0.7841775417327881
208,0.2209671139717102,0.2309601157903671
209,0.7261189818382263,0.6365673542022705
210,0.2103043645620346,0.1593465059995651
211,0.7046536207199097,0.7167510390281677
212,0.245256558060646,0.210184246301651
213,0.7514244914054871,0.756796658039093
214,0.3593147397041321,0.3709978759288788
215,0.6805274486541748,0.7775993347167969
216,0.197364404797554,0.1775403320789337
217,0.7047304511070251,0.7143409848213196
218,0.2370865046977996,0.2520233690738678
219,0.7955382466316223,0.6575192213058472
