bb_idx,MT_IMPROVE
0,0.26316821056012457
1,0.36247528581684973
2,0.2638537879788479
3,0.23276572153983807
4,0.2619280754066572
5,0.2631182989566838
6,0.33897335390957783
7,0.5527905300706388
8,0.3430656720399444
9,0.44960614230372337
10,0.33754088299257506
11,0.33793597516918517
12,0.49142340993601524
13,0.6109190378586653
14,0.4889303941783668
15,0.5123390997864334
16,0.4848535138441683
17,0.48501588506767207
18,0.36050263743455224
19,0.3647616644774259
20,0.35940304753685226
21,0.37817017196374797
22,0.3580243769002457
23,0.35957646598993065
24,0.25860334681953556
25,0.24450443664528904
26,0.2625470244280984
27,0.27613940223943356
28,0.2637607780663858
29,0.26347131698496373
30,0.2573960506779938
31,0.2655621139696277
32,0.2514364445101959
33,0.2662745539806787
34,0.3887573597068218
35,0.29491601497249664
36,0.403298905121383
37,0.37415105387468583
38,0.4056403869377056
39,0.5734603695702876
40,0.37571240579295195
41,0.3808501376950857
42,0.44174138660639944
43,0.4447494350363891
44,0.5117906339174323
45,0.4518838518270612
46,0.4394037812550254
47,0.4449679379567984
48,0.388496519283112
49,0.4110329866390453
50,0.3887276395011461
51,0.4794005124820718
52,0.38945235502646197
53,0.39002418806213124
54,0.4758610200145781
55,0.4639058052506802
56,0.5879331401242007
57,0.4853725125299217
58,0.4704582243408845
59,0.4655686751320447
60,0.34913840874501056
61,0.3322645015877063
62,0.3260594698853887
63,0.3407025803719826
64,0.4672343506083078
65,0.455361693756435
66,0.4434758921695825
67,0.2993278989809246
68,0.3032996350519147
69,0.295625094685171
70,0.2860953241615449
71,0.3047802472912243
72,0.6452546556809151
73,0.5227037189509633
74,0.5413859168545302
75,0.5531207908962598
76,0.5387174626005675
77,0.5237752771539942
78,0.3513427620617005
79,0.5096817246554177
80,0.46971168528067675
81,0.3366171100621598
82,0.3159128198440051
83,0.3451398254976779
84,0.4643647570709593
85,0.28150162010163193
86,0.2433024457150359
87,0.2972603554275589
88,0.3549205115559649
89,0.47539199557037176
90,0.33700975000809774
91,0.4249267916347613
92,0.36959151356624165
93,0.4805544970230913
94,0.3492012012938629
95,0.3475126223321031
96,0.27732274121546324
97,0.2768229642898364
98,0.2800826925991126
99,0.304353257028011
100,0.2749262850253544
