bb_idx,MT_BigMHC,WT_BigMHC
0,0.071789466,0.07792554
1,0.17628027,0.09936831
2,0.04546007,0.057015184
3,0.022080766,0.012188415
4,0.033953737,0.04411248
5,0.008217459,0.011590852
6,0.031019237,0.027303774
7,0.23760402,0.16997944
8,0.14623933,0.043811355
9,0.04916679,0.05394623
10,0.012261959,0.005073376
11,0.013028488,0.00757444
12,0.02885654,0.043869674
13,0.23547538,0.37952924
14,0.11457485,0.09872566
15,0.13102856,0.05064962
16,0.09749112,0.16560233
17,0.019558096,0.022268755
18,0.07023553,0.09169154
19,0.18376413,0.19579636
20,0.0365444,0.04698688
21,0.042813055,0.043835245
22,0.22432356,0.24810731
23,0.105898455,0.15981853
24,0.019453833,0.018476976
25,0.028187316,0.021921601
26,0.012397331,0.012091712
27,0.11869182,0.09223342
28,0.0515746,0.029077338
29,0.029425254,0.020543298
30,0.014860037,0.008574219
31,0.022048648,0.016411753
32,0.24627593,0.041144907
33,0.09024985,0.007900457
34,0.3423223,0.029394073
35,0.121006064,0.02797078
36,0.09856626,0.13038157
37,0.011917177,0.025629858
38,0.38368377,0.40270922
39,0.58373845,0.5992599
40,0.0068226354,0.022448977
41,0.023729363,0.03902253
42,0.056072377,0.05812144
43,0.017500909,0.010948524
44,0.16296779,0.36801127
45,0.019569887,0.010711367
46,0.010421263,0.008509389
47,0.0064997417,0.0044717873
48,0.029514194,0.035944916
49,0.06313082,0.087153755
50,0.014792868,0.012736442
51,0.25457865,0.2792363
52,0.030220505,0.014829672
53,0.017412601,0.015193407
54,0.06563612,0.041696567
55,0.034182884,0.024954464
56,0.38886547,0.68277645
57,0.07740209,0.052185297
58,0.008571168,0.0076755336
59,0.010554644,0.0100960815
60,0.017117608,0.029421503
61,0.040132456,0.16695313
62,0.40646154,0.43914825
63,0.08673655,0.087823056
64,0.19405885,0.29515728
65,0.4399232,0.41039357
66,0.4083333,0.03354075
67,0.011127227,0.006851343
68,0.19765778,0.083076455
69,0.06701709,0.012741313
70,0.012722011,0.0036995087
71,0.13407712,0.009653726
72,0.18941948,0.07709438
73,0.028418442,0.025351005
74,0.17578499,0.1946951
75,0.35606417,0.39572963
76,0.045763128,0.03636145
77,0.03359612,0.022300813
78,0.010336278,0.0070664445
