bb_idx,MT_DeepNetBim,WT_DeepNetBim
0,0.0083611011505126,0.0404551923274993
1,0.008610188961029,0.0404999256134033
2,0.0085133910179138,0.04048353433609
3,1.0,1.0
4,1.0,1.0
5,0.0083621144294738,0.0404554903507232
6,0.0403803586959838,0.0395001769065856
7,0.0404249429702758,0.0395438969135284
8,0.040408581495285,0.0395278334617614
9,1.0,1.0
10,1.0,1.0
11,0.0403805375099182,0.0395004153251647
12,0.0101993083953857,0.8372849225997925
13,0.0105157494544982,0.5315535664558411
14,0.0103930532932281,0.6170462369918823
15,1.0,0.5047683715820312
16,1.0,1.0
17,0.0102006793022155,0.9172199964523317
18,0.1597982347011566,0.1597992479801178
19,0.1630109250545501,0.1630119383335113
20,0.1620200872421264,0.1620211005210876
21,1.0,1.0
22,1.0,1.0
23,0.1598207354545593,0.1598217487335205
24,0.8257665038108826,0.8269577026367188
25,0.5074194073677063,0.5094943046569824
26,0.59395432472229,0.5959548950195312
27,1.0,1.0
28,1.0,1.0
29,0.9097421169281006,0.9104215502738952
30,0.0889804065227508,0.0974740982055664
31,0.1142295598983764,0.1295191049575805
32,0.1055192649364471,0.1184727549552917
33,1.0,1.0
34,1.0,1.0
35,0.0891198813915252,0.0976499617099762
36,0.0656711459159851,0.065674215555191
37,0.0982343256473541,0.0982386767864227
38,0.0869220495223999,0.0869259536266326
39,1.0,1.0
40,1.0,1.0
41,0.06584432721138,0.0658473670482635
42,0.0797416567802429,0.0808171927928924
43,0.1252369880676269,0.1268416047096252
44,0.1096167266368866,0.111046552658081
45,1.0,1.0
46,1.0,1.0
47,0.0799851715564727,0.0810637176036834
48,0.8222507238388062,0.8368107080459595
49,0.4997139275074005,0.5254458785057068
50,0.5865000486373901,0.6112408638000488
51,0.5177817940711975,0.5434335470199585
52,1.0,1.0
53,0.9073053598403932,0.9156131744384766
54,0.9598819017410278,0.9590535163879396
55,0.571678638458252,0.5664549469947815
56,0.6549130082130432,0.6500831246376038
57,0.988545298576355,0.9883015751838684
58,1.0,1.0
59,0.9464373588562012,0.9453471899032592
60,0.846420168876648,0.816676914691925
61,0.5438203811645508,0.4907335937023163
62,0.6286409497261047,0.5777609944343567
63,0.5580655336380005,0.5051279664039612
64,0.5585721731185913,0.505641520023346
65,0.9211261868476868,0.9042137265205384
66,0.0192644000053405,0.0051063001155853
67,0.4873361885547638,0.0052524805068969
68,0.5513564944267273,0.0051956176757812
69,1.0,1.0
70,1.0,1.0
71,0.0344719886779785,0.0051068663597106
72,0.1656426191329956,0.1998549401760101
73,0.1695714890956878,0.19976806640625
74,0.1683489680290222,0.2053168714046478
75,1.0,1.0
76,1.0,1.0
77,0.1656696498394012,0.2049808800220489
78,0.0227594375610351,0.0227804780006408
79,0.0257457196712493,0.0257693827152252
80,0.6481760740280151,0.648391604423523
81,0.0713582932949066,0.0623132586479187
82,0.0714058876037597,0.0623425543308258
83,0.0960600674152374,0.077404499053955
84,0.0048471987247467,0.0048474371433258
85,0.0048471987247467,0.0048474669456481
86,0.0048480331897735,0.0048483312129974
87,0.0843600630760192,0.0113841891288757
88,0.0843634307384491,0.0128975510597229
89,0.0859230756759643,0.476692646741867
90,0.0916835367679596,0.024267554283142
91,0.0917314291000366,0.0274465382099151
92,0.1162197887897491,0.6642448902130127
93,0.1190221309661865,0.0798389911651611
94,0.1190260052680969,0.0799095630645752
95,0.120846688747406,0.1165400147438049
96,0.0170040130615234,0.017125129699707
97,0.017029583454132,0.01715087890625
98,0.03339684009552,0.0336308777332305
99,0.0090211629867553,0.0071459710597991
100,0.0090213119983673,0.0071461796760559
101,0.0091435015201568,0.0072430372238159
102,0.0632300376892089,0.0143406987190246
103,0.0632462501525878,0.0162406861782073
104,0.071330189704895,0.5350865125656128
105,0.1169751584529876,0.1230105757713317
106,0.1169912219047546,0.123027354478836
107,0.1240580081939697,0.13040491938591
108,0.1968424618244171,0.1930899620056152
109,0.196847528219223,0.1930953860282898
110,0.1991066336631775,0.1955146789550781
111,0.1393876075744629,0.1079416275024414
112,0.1283491551876068,0.1079447567462921
113,0.1406428813934326,0.1093575358390808
114,0.0215567946434021,0.0853622257709503
115,0.0243727564811706,0.0853835642337799
116,0.6142895221710205,0.0960070490837097
117,0.9914463758468628,0.5769774317741394
118,0.9619237780570984,0.8583084344863892
119,0.0,0.6951388716697693
120,0.4403661787509918,0.0165839493274688
121,0.8219680786132812,0.0187754929065704
122,0.6431741714477539,0.571552038192749
123,0.1495192348957061,0.068968653678894
124,0.1495047807693481,0.0486821234226226
125,0.1495192348957061,0.068968653678894
126,0.1495187282562255,0.0672002434730529
127,0.1495051980018615,0.0488958358764648
128,1.0,1.0
129,0.0219990015029907,0.0038981735706329
130,0.0122608542442321,0.0038981139659881
131,0.0219990015029907,0.0038981735706329
132,0.0207264125347137,0.0038981735706329
133,0.01226606965065,0.0038980841636657
134,1.0,1.0
135,0.065571904182434,0.0407782196998596
136,0.0653778612613678,0.0407779812812805
137,0.065571904182434,0.0407782793045043
138,0.0655543208122253,0.040778249502182
139,0.0653802752494812,0.0407779812812805
140,1.0,1.0
141,0.0307643711566925,0.8930732011795044
142,0.0307642221450805,0.797316312789917
143,0.0307643711566925,0.8930732011795044
144,0.0307643413543701,0.9585157036781312
145,0.0307642221450805,0.947258234024048
146,1.0,1.0
147,0.0524860620498657,0.0465919077396392
148,0.0523285865783691,0.0464512705802917
149,0.0524860620498657,0.0465919077396392
150,0.0524717569351196,0.0465791821479797
151,0.0523305237293243,0.0464529693126678
152,1.0,1.0
153,0.0031215250492095,0.0031686425209045
154,0.0031215548515319,0.0031686425209045
155,0.0031215250492095,0.0031686425209045
156,0.0031215548515319,0.0031686723232269
157,0.0031215548515319,0.0031686425209045
