bb_idx,MT_TransHLA,WT_TransHLA
0,0.837177,0.584801
1,0.837177,0.584801
2,0.837177,0.584801
3,0.837177,0.584801
4,0.837177,0.584801
5,0.837177,0.584801
6,0.979052,0.919601
7,0.979052,0.919601
8,0.979052,0.919601
9,0.979052,0.919601
10,0.979052,0.919601
11,0.979052,0.919601
12,0.988564,0.965144
13,0.988564,0.965144
14,0.988564,0.965144
15,0.988564,0.965144
16,0.988564,0.965144
17,0.988564,0.965144
18,0.551044,0.583113
19,0.551044,0.583113
20,0.551044,0.583113
21,0.551044,0.583113
22,0.551044,0.583113
23,0.551044,0.583113
24,0.127816,0.131457
25,0.127816,0.131457
26,0.127816,0.131457
27,0.127816,0.131457
28,0.127816,0.131457
29,0.127816,0.131457
30,0.843273,0.191455
31,0.843273,0.191455
32,0.843273,0.191455
33,0.843273,0.191455
34,0.843273,0.191455
35,0.843273,0.191455
36,0.99768,0.999123
37,0.99768,0.999123
38,0.99768,0.999123
39,0.99768,0.999123
40,0.99768,0.999123
41,0.99768,0.999123
42,0.998665,0.999308
43,0.998665,0.999308
44,0.998665,0.999308
45,0.998665,0.999308
46,0.998665,0.999308
47,0.998665,0.999308
48,0.985328,0.995656
49,0.985328,0.995656
50,0.985328,0.995656
51,0.985328,0.995656
52,0.985328,0.995656
53,0.985328,0.995656
54,0.97485,0.984137
55,0.97485,0.984137
56,0.97485,0.984137
57,0.97485,0.984137
58,0.97485,0.984137
59,0.97485,0.984137
60,0.948505,0.964126
61,0.948505,0.964126
62,0.948505,0.964126
63,0.948505,0.964126
64,0.948505,0.964126
65,0.948505,0.964126
66,0.973764,0.986046
67,0.973764,0.986046
68,0.973764,0.986046
69,0.973764,0.986046
70,0.973764,0.986046
71,0.973764,0.986046
72,0.773491,0.802515
73,0.773491,0.802515
74,0.773491,0.802515
75,0.773491,0.802515
76,0.773491,0.802515
77,0.773491,0.802515
78,0.855535,0.958465
79,0.855535,0.958465
80,0.855535,0.958465
81,0.416208,0.006665
82,0.416208,0.006665
83,0.416208,0.006665
84,0.993482,0.756783
85,0.993482,0.756783
86,0.993482,0.756783
87,0.947064,0.951495
88,0.947064,0.951495
89,0.947064,0.951495
90,0.672949,0.635964
91,0.672949,0.635964
92,0.672949,0.635964
93,0.95588,0.961078
94,0.95588,0.961078
95,0.95588,0.961078
96,0.23933,0.009366
97,0.23933,0.009366
98,0.23933,0.009366
99,0.960009,0.957297
100,0.960009,0.957297
101,0.960009,0.957297
102,0.929196,0.833337
103,0.929196,0.833337
104,0.929196,0.833337
105,0.988184,0.980251
106,0.988184,0.980251
107,0.988184,0.980251
108,0.896438,0.918067
109,0.896438,0.918067
110,0.896438,0.918067
111,0.959918,0.976859
112,0.959918,0.976859
113,0.959918,0.976859
114,0.961179,0.969008
115,0.961179,0.969008
116,0.961179,0.969008
117,0.966093,0.91239
118,0.966093,0.91239
119,0.966093,0.91239
120,0.87878,0.841125
121,0.87878,0.841125
122,0.87878,0.841125
123,0.836637,0.888792
124,0.836637,0.888792
125,0.836637,0.888792
126,0.836637,0.888792
127,0.836637,0.888792
128,0.836637,0.888792
129,0.821299,0.995078
130,0.821299,0.995078
131,0.821299,0.995078
132,0.821299,0.995078
133,0.821299,0.995078
134,0.821299,0.995078
135,0.991005,0.928538
136,0.991005,0.928538
137,0.991005,0.928538
138,0.991005,0.928538
139,0.991005,0.928538
140,0.991005,0.928538
141,0.617017,0.552333
142,0.617017,0.552333
143,0.617017,0.552333
144,0.617017,0.552333
145,0.617017,0.552333
146,0.617017,0.552333
147,0.907352,0.928396
148,0.907352,0.928396
149,0.907352,0.928396
150,0.907352,0.928396
151,0.907352,0.928396
152,0.907352,0.928396
153,0.986948,0.987498
154,0.986948,0.987498
155,0.986948,0.987498
156,0.986948,0.987498
157,0.986948,0.987498
158,0.986948,0.987498
159,0.973286,0.952036
160,0.973286,0.952036
161,0.973286,0.952036
162,0.973286,0.952036
163,0.973286,0.952036
164,0.973286,0.952036
165,0.991127,0.969173
166,0.991127,0.969173
167,0.991127,0.969173
168,0.991127,0.969173
169,0.991127,0.969173
170,0.991127,0.969173
171,0.524212,0.513354
172,0.524212,0.513354
173,0.524212,0.513354
174,0.524212,0.513354
175,0.332676,0.174417
176,0.332676,0.174417
177,0.332676,0.174417
178,0.332676,0.174417
179,0.925318,0.918775
180,0.925318,0.918775
181,0.925318,0.918775
182,0.925318,0.918775
183,0.982452,0.911714
184,0.982452,0.911714
185,0.982452,0.911714
186,0.982452,0.911714
187,0.999013,0.995525
188,0.999013,0.995525
189,0.999013,0.995525
190,0.999013,0.995525
191,0.692844,0.744415
192,0.692844,0.744415
193,0.692844,0.744415
194,0.692844,0.744415
195,0.840727,0.571043
196,0.840727,0.571043
197,0.840727,0.571043
198,0.840727,0.571043
199,0.829063,0.969065
200,0.829063,0.969065
201,0.829063,0.969065
202,0.829063,0.969065
203,0.81894,0.756221
204,0.81894,0.756221
205,0.904577,0.832925
206,0.904577,0.832925
207,0.971097,0.906055
208,0.971097,0.906055
209,0.408611,0.206001
210,0.408611,0.206001
211,0.979706,0.978121
212,0.979706,0.978121
213,0.884074,0.876952
214,0.884074,0.876952
215,0.628575,0.322945
216,0.628575,0.322945
217,0.912174,0.823543
218,0.912174,0.823543
219,0.482329,0.096538
220,0.482329,0.096538
221,0.736088,0.688389
222,0.736088,0.688389
223,0.953283,0.762743
224,0.953283,0.762743
225,0.984945,0.985664
226,0.984945,0.985664
227,0.616718,0.498594
228,0.616718,0.498594
229,0.964189,0.989513
230,0.964189,0.989513
231,0.991174,0.992942
232,0.991174,0.992942
233,0.59854,0.291043
234,0.59854,0.291043
235,0.59854,0.291043
236,0.59854,0.291043
237,0.99516,0.985126
238,0.99516,0.985126
239,0.99516,0.985126
240,0.99516,0.985126
241,0.867518,0.908504
242,0.867518,0.908504
243,0.867518,0.908504
244,0.867518,0.908504
245,0.9103,0.887605
246,0.9103,0.887605
247,0.9103,0.887605
248,0.9103,0.887605
249,0.940405,0.972307
250,0.940405,0.972307
251,0.940405,0.972307
252,0.940405,0.972307
253,0.376563,0.379005
254,0.376563,0.379005
255,0.376563,0.379005
256,0.376563,0.379005
257,0.231716,0.587908
258,0.231716,0.587908
259,0.231716,0.587908
260,0.231716,0.587908
261,0.995411,0.996294
262,0.995411,0.996294
263,0.995411,0.996294
264,0.995411,0.996294
265,0.170758,0.262225
266,0.170758,0.262225
267,0.170758,0.262225
268,0.170758,0.262225
269,0.923355,0.93916
270,0.923355,0.93916
271,0.923355,0.93916
272,0.923355,0.93916
273,0.670355,0.763513
274,0.670355,0.763513
275,0.670355,0.763513
276,0.670355,0.763513
277,0.169363,0.116137
278,0.169363,0.116137
279,0.169363,0.116137
280,0.169363,0.116137
281,0.435017,0.495333
282,0.435017,0.495333
283,0.435017,0.495333
284,0.435017,0.495333
285,0.985817,0.990851
286,0.985817,0.990851
287,0.985817,0.990851
288,0.985817,0.990851
289,0.86379,0.883306
290,0.86379,0.883306
291,0.86379,0.883306
292,0.86379,0.883306
293,0.879159,0.818854
294,0.879159,0.818854
295,0.879159,0.818854
296,0.879159,0.818854
297,0.520942,0.246521
298,0.520942,0.246521
299,0.520942,0.246521
300,0.520942,0.246521
301,0.986393,0.876402
302,0.986393,0.876402
303,0.986393,0.876402
304,0.986393,0.876402
305,0.146432,0.800095
306,0.146432,0.800095
307,0.146432,0.800095
308,0.146432,0.800095
309,0.990334,0.98359
310,0.990334,0.98359
311,0.990334,0.98359
312,0.990334,0.98359
313,0.746483,0.674561
314,0.746483,0.674561
315,0.746483,0.674561
316,0.746483,0.674561
317,0.995411,0.996294
318,0.995411,0.996294
319,0.995411,0.996294
320,0.995411,0.996294
321,0.090606,0.117166
322,0.090606,0.117166
323,0.090606,0.117166
324,0.090606,0.117166
