bb_idx,MT_NetTepi,WT_NetTepi
0,0.048,0.047
1,0.515,0.382
2,0.07,0.075
3,0.13,0.128
4,,
5,,
6,0.093,0.054
7,0.61,0.591
8,0.06,0.031
9,0.396,0.214
10,,
11,,
12,0.096,0.095
13,0.649,0.617
14,0.088,0.08
15,0.202,0.162
16,,
17,,
18,0.018,0.012
19,0.208,0.114
20,0.023,0.021
21,0.055,0.041
22,,
23,,
24,0.013,0.014
25,0.036,0.04
26,0.019,0.02
27,0.209,0.255
28,,
29,,
30,0.093,0.018
31,0.052,0.037
32,0.095,0.036
33,0.051,0.03
34,,
35,,
36,0.157,0.138
37,0.078,0.075
38,0.187,0.208
39,0.699,0.694
40,,
41,,
42,0.049,0.08
43,0.054,0.067
44,0.443,0.583
45,0.083,0.162
46,,
47,,
48,0.014,0.023
49,0.122,0.177
50,0.035,0.039
51,0.548,0.645
52,,
53,,
54,0.102,0.059
55,0.058,0.049
56,0.644,0.478
57,0.116,0.074
58,,
59,,
60,0.159,0.199
61,0.125,0.186
62,0.113,0.106
63,0.123,0.126
64,,
65,,
66,0.402,0.107
67,0.04,0.041
68,0.062,0.084
69,0.055,0.059
70,,
71,,
72,0.633,0.586
73,0.063,0.064
74,0.08,0.101
75,0.132,0.158
76,,
77,,
78,0.064,0.071
79,0.444,0.331
80,,
81,0.334,0.09
82,0.052,-0.004
83,,
84,0.573,0.118
85,0.198,0.013
86,,
87,0.04,0.051
88,0.26,0.298
89,,
90,0.092,0.102
91,0.373,0.407
92,,
93,0.573,0.552
94,0.02,0.008
95,,
96,0.492,0.181
97,0.025,-0.018
98,,
99,0.45,0.354
100,0.119,0.087
101,,
102,0.18,0.107
103,0.392,0.274
104,,
105,0.665,0.692
106,0.192,0.198
107,,
108,0.575,0.281
109,0.181,0.116
110,,
111,0.066,0.06
112,0.423,0.428
113,,
114,0.373,0.403
115,0.614,0.538
116,,
117,0.636,0.509
118,0.019,0.028
119,,
120,0.218,0.263
121,0.525,0.577
122,,
123,,
124,0.774,0.735
125,,
126,,
127,,
128,,
129,,
130,0.557,0.123
131,,
132,,
133,,
134,,
135,,
136,0.043,0.017
137,,
138,,
139,,
140,,
141,,
142,-0.03,-0.031
143,,
144,,
145,,
146,,
147,,
148,0.042,0.04
149,,
150,,
151,,
152,,
153,,
154,0.079,0.073
155,,
156,,
157,,
158,,
159,,
160,0.044,0.018
161,,
162,,
163,,
164,,
165,,
166,-0.002,0.007
167,,
168,,
169,,
170,,
171,0.109,0.121
172,,
173,,
174,,
175,0.469,0.097
176,,
177,,
178,,
179,0.224,0.07
180,,
181,,
182,,
183,-0.022,0.009
184,,
185,,
186,,
187,0.071,0.057
188,,
189,,
190,,
191,0.188,0.234
192,,
193,,
194,,
195,0.494,0.441
196,,
197,,
198,,
199,0.044,0.042
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,0.021,0.019
234,0.058,0.052
235,0.034,0.03
236,,
237,0.319,0.249
238,0.684,0.624
239,0.092,0.067
240,,
241,0.128,0.111
242,0.48,0.42
243,0.087,0.077
244,,
245,0.142,0.114
246,0.571,0.522
247,0.161,0.173
248,,
249,0.066,0.058
250,0.15,0.124
251,0.102,0.084
252,,
253,0.042,0.032
254,0.061,0.057
255,0.05,0.038
256,,
257,0.074,0.076
258,0.056,0.08
259,0.066,0.091
260,,
261,0.55,0.592
262,0.376,0.43
263,0.086,0.115
264,,
265,0.02,0.017
266,0.125,0.101
267,0.052,0.093
268,,
269,0.412,0.46
270,0.116,0.139
271,0.054,0.058
272,,
273,0.053,0.061
274,0.089,0.094
275,0.087,0.089
276,,
277,0.029,0.034
278,0.045,0.05
279,0.035,0.038
280,,
281,0.086,0.113
282,0.277,0.346
283,0.089,0.101
284,,
285,0.08,0.086
286,0.47,0.472
287,0.087,0.088
288,,
289,0.074,0.064
290,0.514,0.527
291,0.087,0.078
292,,
293,0.148,0.408
294,0.481,0.17
295,0.076,0.072
296,,
297,0.31,0.054
298,0.052,0.043
299,0.033,0.034
300,,
301,0.058,0.058
302,0.082,0.085
303,0.071,0.074
304,,
305,0.04,0.042
306,0.049,0.051
307,0.048,0.047
308,,
309,0.297,0.26
310,0.589,0.618
311,0.108,0.109
312,,
313,0.099,0.081
314,0.112,0.121
315,0.088,0.086
316,,
317,0.55,0.592
318,0.376,0.43
319,0.086,0.115
320,,
321,0.058,0.052
322,0.08,0.076
323,0.046,0.042
324,,
