bb_idx,MT_Seq2Neo
0,0.659286
1,0.76426995
2,0.8859761
3,0.7657739
4,0.91315067
5,0.9174289
6,0.33004248
7,0.5678216
8,0.6922945
9,0.5396105
10,0.7172926
11,0.72425795
12,0.75118613
13,0.85772556
14,0.9475881
15,0.85795367
16,0.9451541
17,0.95463645
18,0.6392002
19,0.66457295
20,0.83487046
21,0.6948657
22,0.83233225
23,0.83909744
24,0.6829388
25,0.7266247
26,0.8455782
27,0.6627543
28,0.8595756
29,0.87301826
30,0.36332843
31,0.63385904
32,0.67689383
33,0.5763062
34,0.6545981
35,0.67515314
36,0.59404165
37,0.6895058
38,0.77249634
39,0.6439141
40,0.7783518
41,0.79727614
42,0.72442365
43,0.7454119
44,0.79129684
45,0.7289451
46,0.8306887
47,0.8424194
48,0.68939936
49,0.681101
50,0.82588494
51,0.6531149
52,0.83395684
53,0.8298608
54,0.18170786
55,0.5936026
56,0.7107964
57,0.45916438
58,0.7510059
59,0.7840715
60,0.5209148
61,0.6548594
62,0.7754018
63,0.64904374
64,0.76013887
65,0.79168475
66,0.40770894
67,0.6717534
68,0.7612951
69,0.63501483
70,0.7603414
71,0.7803028
72,0.28369716
73,0.456615
74,0.67813015
75,0.43410945
76,0.63304234
77,0.6798866
78,0.7495171
79,0.59010017
80,0.82194644
81,0.7157401
82,0.6184399
83,0.8317919
84,0.70376426
85,0.6049633
86,0.8364941
87,0.75176835
88,0.61846495
89,0.79859483
90,0.8253397
91,0.45034814
92,0.91223466
93,0.755914
94,0.6389977
95,0.88957876
96,0.68806267
97,0.5962061
98,0.80824447
99,0.69935644
100,0.50506395
101,0.86498916
102,0.64079446
103,0.42077416
104,0.7645422
105,0.6445204
106,0.37667248
107,0.81828284
108,0.5786092
109,0.15639895
110,0.836849
111,0.7724948
112,0.4380228
113,0.8807234
114,0.6635609
115,0.3611144
116,0.8193006
117,0.732155
118,0.627122
119,0.8768625
120,0.7002773
121,0.4909594
122,0.83978057
123,0.68585515
124,0.39222884
125,0.77683717
126,0.60562515
127,0.60545987
128,0.8826134
129,0.70838994
130,0.33993226
131,0.7912956
132,0.567891
133,0.59853935
134,0.88267523
135,0.80801433
136,0.68229496
137,0.8738152
138,0.738704
139,0.85137475
140,0.93492424
141,0.59466404
142,0.3227458
143,0.74344087
144,0.58868796
145,0.5196823
146,0.8658279
147,0.78630805
148,0.30285794
149,0.88683957
150,0.6957647
151,0.7862816
152,0.94160175
153,0.662789
154,0.14117876
155,0.81229126
156,0.516513
157,0.43230635
158,0.91241354
159,0.8105447
160,0.53029543
161,0.89069825
162,0.67333823
163,0.8181894
164,0.9464807
165,0.68954873
166,0.35986274
167,0.82926357
168,0.7119218
169,0.54954994
170,0.91382384
171,0.4146467
172,0.6032237
173,0.6428517
174,0.76948947
175,0.55628777
176,0.6145329
177,0.7030295
178,0.8077518
179,0.63208354
180,0.6452931
181,0.69346184
182,0.7732905
183,0.7031644
184,0.74114823
185,0.78308773
186,0.8777318
187,0.5674373
188,0.65637493
189,0.624805
190,0.75530833
191,0.616909
192,0.6552955
193,0.7215642
194,0.87777907
195,0.56781334
196,0.7296813
197,0.80356634
198,0.9012916
199,0.6773048
200,0.6058121
201,0.6249647
202,0.7422926
203,0.77429855
204,0.9656421
205,0.71765244
206,0.9531684
207,0.76097775
208,0.9284831
209,0.57884765
210,0.93916947
211,0.40040165
212,0.90371335
213,0.69070816
214,0.93754286
215,0.6746589
216,0.96444476
217,0.38936615
218,0.9352728
219,0.38964674
220,0.96285474
221,0.7093578
222,0.9449919
223,0.65808773
224,0.9806506
225,0.6546656
226,0.8833231
227,0.6799222
228,0.8785018
229,0.6113759
230,0.91136885
231,0.7673739
232,0.94868207
233,0.5359293
234,0.8067533
235,0.8528829
236,0.9429438
237,0.62816924
238,0.78171325
239,0.8280211
240,0.9379203
241,0.6291975
242,0.67124283
243,0.732659
244,0.8446642
245,0.424524
246,0.7749519
247,0.8069896
248,0.93591654
249,0.571544
250,0.7912197
251,0.80978364
252,0.9256655
253,0.650264
254,0.8564409
255,0.87751424
256,0.957581
257,0.72133756
258,0.85227907
259,0.8647548
260,0.9529981
261,0.23329514
262,0.6244781
263,0.76010156
264,0.9359628
265,0.33996502
266,0.6755446
267,0.72447646
268,0.879541
269,0.66275454
270,0.8249518
271,0.86405826
272,0.9548453
273,0.6226051
274,0.76518977
275,0.8104585
276,0.9398985
277,0.51246935
278,0.7995254
279,0.8364912
280,0.9494841
281,0.63265914
282,0.765514
283,0.8154325
284,0.94307303
285,0.504336
286,0.7269831
287,0.7931994
288,0.9284152
289,0.69129914
290,0.75008035
291,0.80399936
292,0.92853034
293,0.49880633
294,0.6705716
295,0.7465228
296,0.8972479
297,0.60901064
298,0.83309746
299,0.8651303
300,0.96279824
301,0.637589
302,0.7938615
303,0.8249825
304,0.93365014
305,0.66262406
306,0.79335076
307,0.80644137
308,0.9324167
309,0.65246725
310,0.78062564
311,0.8305167
312,0.9341866
313,0.4749611
314,0.7024925
315,0.7350434
316,0.908623
317,0.23329514
318,0.6244781
319,0.76010156
320,0.9359628
321,0.6429519
322,0.74041116
323,0.78677744
324,0.9272151
