bb_idx,MT_deepHLApan_bind,MT_deepHLApan_immuno,WT_deepHLApan_bind,WT_deepHLApan_immuno
0,0.0519,0.0315,0.0366,0.0711
1,0.9973,0.0213,0.9921,0.0436
2,0.0007,0.0034,0.0004,0.0103
3,0.772,0.8174,0.6194,0.8431
4,0.0003,0.9837,0.0001,0.9849
5,0.0073,0.967,0.0061,0.9577
6,0.2471,0.0926,0.0521,0.0594
7,0.9993,0.1672,0.9982,0.1252
8,0.0008,0.2856,0.0003,0.0382
9,0.828,0.9005,0.7018,0.8679
10,0.0006,0.9841,0.0002,0.9764
11,0.0079,0.9844,0.0247,0.9667
12,0.312,0.0705,0.2624,0.1252
13,0.9974,0.0782,0.9965,0.0949
14,0.0019,0.0146,0.0005,0.1743
15,0.3009,0.8758,0.1571,0.855
16,0.0081,0.9899,0.0049,0.9887
17,0.0024,0.9856,0.0006,0.9881
18,0.0297,0.1742,0.0344,0.246
19,0.5557,0.0442,0.3,0.0914
20,0.0008,0.0383,0.0011,0.0381
21,0.1059,0.8783,0.0422,0.8388
22,0.0008,0.9801,0.0048,0.9683
23,0.0031,0.9199,0.0045,0.8964
24,0.0076,0.3896,0.0097,0.433
25,0.0076,0.1479,0.0071,0.2156
26,0.0052,0.4055,0.0058,0.4746
27,0.9826,0.8556,0.9856,0.8417
28,0.0014,0.9907,0.0015,0.9883
29,0.1047,0.9828,0.1121,0.9813
30,0.4085,0.2062,0.0312,0.2714
31,0.0242,0.1131,0.0352,0.1427
32,0.2186,0.1232,0.0139,0.1346
33,0.7366,0.9472,0.376,0.9324
34,0.9998,0.9949,0.8953,0.9929
35,0.7368,0.9856,0.2468,0.9726
36,0.565,0.2703,0.6681,0.5374
37,0.0128,0.2707,0.0096,0.591
38,0.086,0.1422,0.1543,0.4829
39,0.9999,0.9118,0.9999,0.875
40,0.3096,0.9881,0.3095,0.9913
41,0.8436,0.9721,0.9194,0.9777
42,0.0553,0.585,0.0172,0.5062
43,0.0022,0.6086,0.002,0.5682
44,0.9981,0.4441,0.9974,0.294
45,0.6494,0.8037,0.497,0.7786
46,0.959,0.9917,0.719,0.9674
47,0.8223,0.9667,0.8328,0.9519
48,0.0048,0.4889,0.0059,0.4583
49,0.1106,0.8097,0.1805,0.7423
50,0.0006,0.5744,0.0006,0.4425
51,0.9992,0.8707,0.9993,0.7428
52,0.0002,0.9945,0.0001,0.9919
53,0.0901,0.9857,0.0566,0.975
54,0.5235,0.4388,0.4773,0.4328
55,0.0119,0.4901,0.0098,0.2891
56,0.9921,0.4174,0.9934,0.2124
57,0.6377,0.8981,0.7965,0.8557
58,0.8878,0.9939,0.8402,0.9925
59,0.5721,0.9912,0.8379,0.9802
60,0.8104,0.3109,0.8907,0.2973
61,0.0688,0.2254,0.2624,0.1524
62,0.1087,0.6349,0.0948,0.5841
63,0.4356,0.9661,0.312,0.9629
64,0.9979,0.996,0.9791,0.9956
65,0.796,0.9932,0.5066,0.9917
66,0.9862,0.0533,0.1529,0.0896
67,0.0042,0.0506,0.0008,0.0864
68,0.0023,0.0163,0.0015,0.0285
69,0.0261,0.8184,0.003,0.8466
70,0.3172,0.9651,0.2522,0.975
71,0.004,0.9259,0.0047,0.9374
72,0.9487,0.434,0.9546,0.5208
73,0.0195,0.2599,0.0164,0.4298
74,0.0701,0.4535,0.0695,0.5723
