feature,controlled_for,partial_r,p_raw,p_holm,p_fdr_bh,sig_holm05,sig_fdr05,note
sigma_global,size_px+contrast,0.1265,0.0,1e-06,0.0,1,1,C3 family-internal 5-test Holm; Gate0 determination: see incremental_FC_family_holm.csv (10-test unified)
glcm_cluster_prom,size_px+contrast,0.2839,0.0,0.0,0.0,1,1,C3 family-internal 5-test Holm; Gate0 determination: see incremental_FC_family_holm.csv (10-test unified)
glcm_contrast,size_px+contrast,0.1692,0.0,0.0,0.0,1,1,C3 family-internal 5-test Holm; Gate0 determination: see incremental_FC_family_holm.csv (10-test unified)
fft_spectral_entropy,size_px+contrast,-0.1222,0.0,1e-06,1e-06,1,1,C3 family-internal 5-test Holm; Gate0 determination: see incremental_FC_family_holm.csv (10-test unified)
cnr_proxy_otsu,size_px+contrast,-0.0555,0.013666,0.013666,0.013666,1,1,C3 family-internal 5-test Holm; Gate0 determination: see incremental_FC_family_holm.csv (10-test unified)
