size_bin,contrast_bin,n,n_detected,detection_rate,size_mean,contrast_mean,anomaly_score_mean
0,0,391,2,0.0051,46.07,0.1236,0.009476
0,1,169,1,0.0059,66.12,0.2134,0.011417
0,2,88,0,0.0,69.39,0.3132,0.013923
1,0,138,0,0.0,157.57,0.1392,0.010987
1,1,273,5,0.0183,160.01,0.2201,0.014487
1,2,238,25,0.105,167.58,0.3286,0.020168
2,0,121,1,0.0083,292.32,0.1373,0.012842
2,1,207,15,0.0725,317.28,0.2255,0.018272
2,2,323,146,0.452,322.21,0.3368,0.028176
