arm,config,k,Q,full_k,L_f,stability_margin,anytime_gain,k_early
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,1,0.7399951219558716,16,1.365587287053768,-0.365587287053768,0.9398905480256613,4
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,2,0.852203369140625,16,1.365587287053768,-0.365587287053768,0.9398905480256613,4
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,4,0.9352331161499023,16,1.365587287053768,-0.365587287053768,0.9398905480256613,4
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,8,0.9835925102233887,16,1.365587287053768,-0.365587287053768,0.9398905480256613,4
vanilla_nca,a1_vanilla_nca_vits_nih10k.yaml,16,0.9950447082519531,16,1.365587287053768,-0.365587287053768,0.9398905480256613,4
