bb_idx,MT_ImmugenX,WT_ImmugenX
0,0.1166221350431442,0.1192339211702346
1,0.1864099353551864,0.1405015438795089
2,0.1479934453964233,0.1096111983060836
3,0.3642871677875519,0.1637112647294998
4,0.1113775297999382,0.1169233918190002
5,0.1346019953489303,0.1331079453229904
6,0.101980447769165,0.1028846055269241
7,0.1511975973844528,0.1459634155035019
8,0.1091372519731521,0.1136984378099441
9,0.1343085318803787,0.1325690001249313
10,0.1001195162534713,0.099624790251255
11,0.1376310139894485,0.1374341696500778
12,0.1090681627392768,0.1144244968891143
13,0.204960286617279,0.2100845873355865
14,0.1973021477460861,0.2040646523237228
15,0.2690459489822387,0.3028833270072937
16,0.1135151982307434,0.1162493154406547
17,0.268602043390274,0.251253068447113
18,0.1063058897852897,0.1044993475079536
19,0.1356048434972763,0.1328694969415664
20,0.1542613059282302,0.1332132667303085
21,0.1822584867477417,0.1867958158254623
22,0.1069592535495758,0.1080186143517494
23,0.1854326277971267,0.1804745495319366
24,0.1069692075252533,0.1154368817806243
25,0.2798876166343689,0.3378425240516662
26,0.187069371342659,0.1522761732339859
27,0.2839336395263672,0.2155942320823669
28,0.1183728724718093,0.1274495422840118
29,0.211713820695877,0.254526674747467
30,0.2792910635471344,0.3305386006832123
31,0.2799268960952759,0.2127413153648376
32,0.1185907125473022,0.116645723581314
33,0.3555432260036468,0.1857466846704483
34,0.1112533062696456,0.1036373972892761
35,0.1684417128562927,0.1361090093851089
36,0.1128766983747482,0.1099108159542083
37,0.1586197316646576,0.150584191083908
38,0.1100051030516624,0.1042234972119331
39,0.1439978927373886,0.1462335735559463
40,0.1250915676355362,0.1113062649965286
41,0.5485302805900574,0.5511482357978821
42,0.1741013526916504,0.1857434660196304
43,0.4100634157657623,0.3972060978412628
44,0.1163402646780014,0.1149545535445213
45,0.4041692018508911,0.400014728307724
46,0.1727956533432006,0.1699210554361343
47,0.3818205296993255,0.3743963241577148
48,0.1026511117815971,0.1020817831158638
49,0.3620379567146301,0.3607262074947357
50,0.1087086573243141,0.11065124720335
51,0.2471048235893249,0.2542572319507599
52,0.1164108663797378,0.1153545677661895
53,0.150360494852066,0.1497065722942352
54,0.1018726974725723,0.1011563912034034
55,0.1345760226249694,0.1335954219102859
56,0.1142872124910354,0.1145675703883171
57,0.3974563181400299,0.3747358620166778
58,0.110549971461296,0.11151934415102
59,0.1788740456104278,0.1748614162206649
60,0.1070469319820404,0.109012097120285
61,0.1366448849439621,0.1367543190717697
62,0.1028850302100181,0.1025549620389938
63,0.1214241534471511,0.1216938346624374
64,0.1056404784321785,0.0951016694307327
