bb_idx,MT_TransHLA,WT_TransHLA
0,0.5304917097091675,0.2681342363357544
1,0.5304917097091675,0.2681342363357544
2,0.5304917097091675,0.2681342363357544
3,0.5304917097091675,0.2681342363357544
4,0.1575362682342529,0.0897114649415016
5,0.1575362682342529,0.0897114649415016
6,0.1575362682342529,0.0897114649415016
7,0.1575362682342529,0.0897114649415016
8,0.0905816107988357,0.0694789737462997
9,0.0905816107988357,0.0694789737462997
10,0.0905816107988357,0.0694789737462997
11,0.0905816107988357,0.0694789737462997
12,0.687052845954895,0.512897253036499
13,0.687052845954895,0.512897253036499
14,0.687052845954895,0.512897253036499
15,0.687052845954895,0.512897253036499
16,0.3863665163516998,0.4235357642173767
17,0.3863665163516998,0.4235357642173767
18,0.3863665163516998,0.4235357642173767
19,0.3863665163516998,0.4235357642173767
20,0.385546326637268,0.3853870034217834
21,0.385546326637268,0.3853870034217834
22,0.385546326637268,0.3853870034217834
23,0.385546326637268,0.3853870034217834
24,0.9413395524024964,0.8666759133338928
25,0.9413395524024964,0.8666759133338928
26,0.9413395524024964,0.8666759133338928
27,0.9413395524024964,0.8666759133338928
28,0.8408284783363342,0.9971885085105896
29,0.8408284783363342,0.9971885085105896
30,0.8408284783363342,0.9971885085105896
31,0.8408284783363342,0.9971885085105896
32,0.1584517955780029,0.0772498622536659
33,0.1584517955780029,0.0772498622536659
34,0.1584517955780029,0.0772498622536659
35,0.1584517955780029,0.0772498622536659
36,0.1247637793421745,0.0461875945329666
37,0.1247637793421745,0.0461875945329666
38,0.1247637793421745,0.0461875945329666
39,0.1247637793421745,0.0461875945329666
40,0.9704651832580566,0.9775393009185792
41,0.9704651832580566,0.9775393009185792
42,0.9704651832580566,0.9775393009185792
43,0.9704651832580566,0.9775393009185792
44,0.5813269019126892,0.6363019347190857
45,0.5813269019126892,0.6363019347190857
46,0.5813269019126892,0.6363019347190857
47,0.5813269019126892,0.6363019347190857
48,0.831430971622467,0.8463810682296753
49,0.831430971622467,0.8463810682296753
50,0.831430971622467,0.8463810682296753
51,0.831430971622467,0.8463810682296753
52,0.127897635102272,0.123811088502407
53,0.127897635102272,0.123811088502407
54,0.127897635102272,0.123811088502407
55,0.127897635102272,0.123811088502407
56,0.9795881509780884,0.9418885111808776
57,0.9795881509780884,0.9418885111808776
58,0.9795881509780884,0.9418885111808776
59,0.9795881509780884,0.9418885111808776
60,0.0515894442796707,0.0232268124818801
61,0.0515894442796707,0.0232268124818801
62,0.0515894442796707,0.0232268124818801
63,0.0515894442796707,0.0232268124818801
64,0.174395814538002,0.1189949661493301
65,0.174395814538002,0.1189949661493301
66,0.174395814538002,0.1189949661493301
67,0.174395814538002,0.1189949661493301
68,0.9849108457565308,0.9592676758766174
69,0.9849108457565308,0.9592676758766174
70,0.9849108457565308,0.9592676758766174
71,0.9849108457565308,0.9592676758766174
72,0.5304917097091675,0.2681342363357544
73,0.5304917097091675,0.2681342363357544
74,0.5304917097091675,0.2681342363357544
75,0.5304917097091675,0.2681342363357544
76,0.1575362682342529,0.0897114649415016
77,0.1575362682342529,0.0897114649415016
78,0.1575362682342529,0.0897114649415016
79,0.1575362682342529,0.0897114649415016
80,0.0905816107988357,0.0694789737462997
81,0.0905816107988357,0.0694789737462997
82,0.0905816107988357,0.0694789737462997
83,0.0905816107988357,0.0694789737462997
84,0.687052845954895,0.512897253036499
85,0.687052845954895,0.512897253036499
86,0.687052845954895,0.512897253036499
87,0.687052845954895,0.512897253036499
88,0.3863665163516998,0.4235357642173767
89,0.3863665163516998,0.4235357642173767
90,0.3863665163516998,0.4235357642173767
91,0.3863665163516998,0.4235357642173767
92,0.385546326637268,0.3853870034217834
93,0.385546326637268,0.3853870034217834
94,0.385546326637268,0.3853870034217834
95,0.385546326637268,0.3853870034217834
96,0.9413395524024964,0.8666759133338928
97,0.9413395524024964,0.8666759133338928
98,0.9413395524024964,0.8666759133338928
99,0.9413395524024964,0.8666759133338928
100,0.8408284783363342,0.9971885085105896
101,0.8408284783363342,0.9971885085105896
102,0.8408284783363342,0.9971885085105896
103,0.8408284783363342,0.9971885085105896
104,0.1584517955780029,0.0772498622536659
105,0.1584517955780029,0.0772498622536659
106,0.1584517955780029,0.0772498622536659
107,0.1584517955780029,0.0772498622536659
108,0.0121330851688981,0.0244322046637535
109,0.0121330851688981,0.0244322046637535
110,0.0121330851688981,0.0244322046637535
111,0.0121330851688981,0.0244322046637535
112,0.1022703796625137,0.0704812705516815
113,0.1022703796625137,0.0704812705516815
114,0.1022703796625137,0.0704812705516815
115,0.1022703796625137,0.0704812705516815
116,0.0300329159945249,0.0199414528906345
117,0.0300329159945249,0.0199414528906345
118,0.0300329159945249,0.0199414528906345
119,0.0300329159945249,0.0199414528906345
120,0.0174422711133956,0.0124821038916707
121,0.0174422711133956,0.0124821038916707
122,0.0174422711133956,0.0124821038916707
123,0.0174422711133956,0.0124821038916707
124,0.0822833105921745,0.056068118661642
125,0.0822833105921745,0.056068118661642
126,0.0822833105921745,0.056068118661642
127,0.0822833105921745,0.056068118661642
128,0.2198013961315155,0.172467827796936
129,0.2198013961315155,0.172467827796936
130,0.2198013961315155,0.172467827796936
131,0.2198013961315155,0.172467827796936
132,0.0701518878340721,0.088623046875
133,0.0701518878340721,0.088623046875
134,0.0701518878340721,0.088623046875
135,0.0701518878340721,0.088623046875
136,0.7966083884239197,0.4639756381511688
137,0.7966083884239197,0.4639756381511688
138,0.7966083884239197,0.4639756381511688
139,0.7966083884239197,0.4639756381511688
