bb_idx,MT_andy90,WT_andy90
0,27.237133291721,6.7007299270073
1,22.570179150797,14.2325581395349
2,11.5735159376959,5.63681243782927
3,10.2127659574468,6.12
4,21.9639744334689,23.347086645869
5,8.7906976744186,10.6666666666667
6,5.63682727150718,6.55654311916234
7,7.31608183173012,9.76842105263158
8,4.43836224433184,8.15663765270094
9,3.42857142857143,6.17142857142857
10,3.48715564338022,7.22009593368208
11,3.42857142857143,5.4
12,26.1671320044153,40.096828253988
13,8.76086956521739,13.1836734693878
14,22.5669167879942,29.8149259242165
15,9.22893718368562,12.92
16,6.65214499067395,6.75294117647059
17,60.0353148911124,54.2943624668937
18,5.6043956043956,6.37777777777778
19,6.8,6.37777777777778
20,99.535571036521,240.696753760887
21,21.4318181818182,32.0
22,38.9203021172975,40.9234704179848
23,30.8169934640523,49.3586621204741
24,48.667439165701,23.5865247879174
25,62.5879625796837,58.0252126183726
26,290.099769762088,103.285376852051
27,100.921105326392,42.7878841791576
28,113.959020796562,158.259149357072
29,320.872947277442,2334.95482974288
30,1330.04926108374,1629.48593598448
31,528.563801388147,211.440437983764
32,43.0603613994617,55.7389716212419
33,82.6845637583893,95.4586466165414
34,36.7437629550098,36.2742857142857
35,44.8,39.675
36,20.7567567567568,10.6976506116599
37,43.0662255369259,19.59375
38,9.26898149824396,6.96666666666667
39,29.7801388188763,16.2435233160622
40,207.252198458365,137.981294789263
41,325.212947189097,222.135314822057
42,303.594147582697,412.790697674419
43,494.047619047619,492.414390983962
44,63.0457171002552,35.1271846340197
45,30.6086956521739,18.8837209302326
46,29.1125630634356,20.1408869927572
47,83.3037510353804,56.0502519500242
48,32.5714285714286,20.6134111951286
49,579.81220657277,335.908906059374
50,27.7071492671253,15.9990702719455
51,38.7958115183246,26.9055374592834
52,27.5989882040622,23.0650948231676
53,15.7428571428571,10.2
54,14.7691482945788,10.3593965820762
55,24.2197802197802,18.6585365853659
56,19.6266314224352,9.99475799405906
57,441.635687732342,217.490494296578
58,8.52150460505552,4.19139737671283
59,29.8013245033113,14.7529144743629
60,10.4766572723931,2.68683451089661
61,11.1161671975557,3.87652548456569
62,2.53886241147388,1.12620441305285
63,3.36395648496056,1.40869565217391
64,5.48679739377124,6.02914084742924
65,6.28571428571429,2.34780056738514
66,7.80799432145868,5.90890439064423
67,4.55958549222798,1.58241758241758
68,11.813666263928,12.2424108132063
69,35.4600402955003,22.0360953235617
70,15.3301202020789,11.440699901641
71,40.3793208932395,43.172494627857
72,27.237133291721,6.7007299270073
73,22.570179150797,14.2325581395349
74,11.5735159376959,5.63681243782927
75,10.2127659574468,6.12
