bb_idx,MT_MHCflurry_presentation,WT_MHCflurry_presentation,MT_MHCflurry_affinity_neg,WT_MHCflurry_affinity_neg
0,0.0063243854631592,0.0033212010944908,-17016.086144363515,-30884.564607565702
1,0.0042736781610517,0.0036936761774014,-25528.065907189768,-27672.55595550977
2,0.0068575092175576,0.0049844607991834,-15647.14445629596,-20298.861210196457
3,0.0343293998078685,0.0063576718004228,-2895.770076572232,-15778.205709732523
4,0.0103991514974793,0.0074355790868102,-14681.616017209151,-15077.205825029709
5,0.0051673784289495,0.0039161896040681,-30326.08905569072,-29279.687047890067
6,0.0075973873357753,0.0058843468806221,-20341.93424151669,-19214.64825502337
7,0.0117480812880222,0.0123737093695686,-12931.021046839642,-8879.38127736881
8,0.0035199767781895,0.0036285829739158,-29456.577848126974,-28332.254617843573
9,0.0031518988262132,0.0032290778911123,-33016.38949630291,-31960.451732388505
10,0.0047510253061192,0.0053890997252463,-21604.332185664614,-18821.110091586022
11,0.0056238861890208,0.0063773658127374,-18144.25487654845,-15809.534342751796
12,0.0119788441090389,0.0149947997154659,-8658.86485099297,-6510.588363202526
13,0.0036147285009831,0.0035618500146639,-29985.74566420953,-28937.131919533706
14,0.0108184719706879,0.0142123802752926,-9628.080456562426,-6885.499908536214
15,0.0409900502776469,0.0906063347345051,-2366.5533096038976,-941.1382331143598
16,0.0034823329789716,0.0036257425139503,-29883.43723981347,-28711.13010625592
17,0.007457603204867,0.0083704612141056,-13588.161963978157,-12073.907169706765
18,0.0051895166007962,0.0059776323866849,-19783.253433158123,-17118.19052341606
19,0.0069885662472322,0.0080324789853536,-14535.003043430022,-12601.66350060716
20,0.0064833338731134,0.0092967848775214,-15742.670303850722,-10699.80479857008
21,0.0035788026171742,0.003978957455613,-29110.847752701426,-25775.21968073613
22,0.0085381254644702,0.0094060366424202,-11832.11717360248,-10570.682421988638
23,0.0084047897185617,0.0125453062139959,-12027.070623567695,-7832.864658116594
24,0.0096327073971646,0.0073389453285012,-17779.704876228236,-24180.84508484089
25,0.0064628238825034,0.0078200173848916,-26902.399645780177,-22639.53351617771
26,0.1428278212866009,0.0371368406192725,-954.4328140986868,-4414.751458218166
27,0.0266610102957788,0.0187144028016936,-6123.545374551155,-9115.62372221307
28,0.0275217720091745,0.0379410278851319,-31662.35234397045,-28541.349336352418
29,0.0296554445234856,0.4110147744118509,-29253.425689727625,-1481.9307249548744
30,0.7253568615285414,0.8043549798334605,-296.7964210697177,-238.71888814961008
31,0.0602625781031396,0.0723602289244178,-13640.232196602,-14142.478490846046
32,0.0033024413756398,0.0032736237813459,-33387.4339939147,-32097.98873290768
33,0.0034904737106175,0.0033902545071387,-31531.17687101115,-30958.0493673272
34,0.0044114747370349,0.0039778310137715,-24753.01251544596,-26245.13142524682
35,0.0042480451457309,0.003979688819827,-25738.286278730437,-26232.468011060835
36,0.0055135630390764,0.0034660115845182,-30637.830619380104,-32250.764957728046
37,0.0057707947207218,0.0035168133582704,-29225.034834186947,-31769.5855992103
38,0.0058989876022119,0.0039069732164926,-28567.62415327291,-28496.91459849044
39,0.0074385546955231,0.0044966597587152,-22464.66515568529,-24642.401771644087
40,0.0449370544589289,0.0855874851547809,-13855.299437675603,-13897.654884733514
41,0.033135712145004,0.0695501972942,-19200.69771136125,-17517.996603606985
42,0.2046996804094733,0.7778939531903424,-2409.0028754959703,-333.7771607756651
43,0.7272881815495043,0.905420011990868,-217.00737599908237,-118.54604888465563
44,0.0048875183957989,0.0049834502073831,-23926.99601102876,-24012.463967235424
45,0.0038435178688999,0.0039965668155179,-30675.682095349348,-30168.211524314826
46,0.0051788231104651,0.0053335050557303,-22535.8065141697,-22383.46555677132
47,0.0519080242477487,0.0615127034416067,-1999.1147644457856,-1700.8375318211365
48,0.0045939699568643,0.0048462574805201,-29256.737473363184,-28539.20183009886
49,0.0940094217596606,0.090256616318712,-1187.1280551952884,-1281.717124505821
