test_id,description,stat_chi2,df,p_raw,p_holm,p_fdr_bh,sig_holm,family,n_family,note
T1,detected~size LR Wald,120.8462,1,0.0,0.0,0.0,1,F-A,3,FA family Holm α=0.05/4=0.0125 per step; Gate0 用 p_holm<0.05 判显著
T2,detected~contrast LR Wald,139.9905,1,0.0,0.0,0.0,1,F-A,3,FA family Holm α=0.05/4=0.0125 per step; Gate0 用 p_holm<0.05 判显著
T3,interact LLR full vs base (size+contrast+size:contrast vs size+contrast),8.7714,1,0.003216,0.003216,0.003216,1,F-A,3,FA family Holm α=0.05/4=0.0125 per step; Gate0 用 p_holm<0.05 判显著
