bb_idx,MT_Neoag
0,13.16998
1,13.16998
2,13.16998
3,13.16998
4,13.16998
5,13.16998
6,13.16998
7,13.16998
8,13.16998
9,13.16998
10,13.16998
11,13.16998
12,13.16998
13,13.16998
14,13.16998
15,13.16998
16,13.16998
17,13.16998
18,13.16998
19,13.16998
20,13.16998
21,13.16998
22,13.16998
23,13.16998
24,13.16998
25,13.16998
26,13.16998
27,13.16998
28,13.16998
29,13.16998
30,13.16998
31,13.16998
32,13.16998
33,13.16998
34,13.16998
35,13.16998
36,13.16998
37,13.16998
38,13.16998
39,13.16998
40,13.16998
41,13.16998
42,13.16998
43,13.16998
44,13.16998
45,13.16998
46,13.16998
47,13.16998
48,13.16998
49,13.16998
50,13.16998
51,13.16998
52,13.16998
53,13.16998
54,13.16998
55,13.16998
56,13.16998
57,13.16998
58,13.16998
59,13.16998
60,13.16998
61,13.16998
62,13.16998
63,13.16998
64,13.16998
65,13.16998
66,13.16998
67,13.16998
68,13.16998
69,13.16998
70,13.16998
71,13.16998
72,13.16998
73,13.16998
74,13.16998
75,13.16998
76,13.16998
77,13.16998
78,13.16998
79,13.16998
80,13.16998
81,13.16998
82,13.16998
83,13.16998
84,13.16998
85,13.16998
86,13.16998
87,13.16998
88,13.16998
89,13.16998
90,13.16998
91,13.16998
92,13.16998
93,13.16998
94,13.16998
95,13.16998
96,13.16998
97,13.16998
98,13.16998
99,13.16998
100,13.16998
101,13.16998
102,13.16998
103,13.16998
104,13.16998
105,13.16998
106,13.16998
107,13.16998
108,54.97577
109,54.97577
110,54.97577
111,54.97577
112,54.97577
113,54.97577
114,54.97577
115,54.97577
116,71.943134
117,71.943134
118,71.943134
119,71.943134
120,13.16998
121,13.16998
122,13.16998
123,13.16998
124,13.16998
125,13.16998
126,13.16998
127,13.16998
128,34.773693
129,34.773693
130,34.773693
131,34.773693
132,71.789602
133,71.789602
134,71.789602
135,71.789602
136,34.773693
137,34.773693
138,34.773693
139,34.773693
140,34.773693
141,34.773693
142,34.773693
143,34.773693
144,34.773693
145,34.773693
146,34.773693
147,34.773693
148,34.773693
149,34.773693
150,34.773693
151,34.773693
152,125.082993
153,125.082993
154,125.082993
155,125.082993
156,183.711753
157,183.711753
158,183.711753
159,183.711753
160,13.16998
161,13.16998
162,13.16998
163,13.16998
164,13.16998
165,13.16998
166,13.16998
167,13.16998
168,13.16998
169,13.16998
170,13.16998
171,13.16998
172,13.16998
173,13.16998
174,13.16998
175,13.16998
176,13.16998
177,13.16998
178,13.16998
179,13.16998
180,13.16998
181,13.16998
182,13.16998
183,13.16998
184,13.16998
185,13.16998
186,13.16998
187,13.16998
188,13.16998
189,13.16998
190,13.16998
191,13.16998
192,13.16998
193,13.16998
194,13.16998
195,13.16998
196,13.16998
197,13.16998
198,13.16998
199,13.16998
200,13.16998
201,13.16998
202,13.16998
203,13.16998
204,13.16998
205,13.16998
206,13.16998
207,13.16998
208,13.16998
209,13.16998
210,13.16998
211,13.16998
212,13.16998
213,13.16998
214,13.16998
215,13.16998
216,13.16998
217,13.16998
218,13.16998
219,13.16998
220,13.16998
221,13.16998
222,13.16998
223,13.16998
224,13.16998
225,13.16998
226,13.16998
227,13.16998
228,13.16998
229,13.16998
230,13.16998
231,13.16998
232,13.16998
233,13.16998
234,13.16998
235,13.16998
236,13.16998
237,13.16998
238,13.16998
239,13.16998
240,13.16998
241,13.16998
242,13.16998
243,13.16998
244,13.16998
245,13.16998
246,13.16998
247,13.16998
248,13.16998
249,13.16998
