bb_idx,MT_MHCnuggets,WT_MHCnuggets
0,-7975.0,-9386.28
1,-37842.77,-36896.62
2,-5803.59,-6026.23
3,-26567.89,-22342.59
4,-13112.17,-14133.06
5,-37197.13,-38633.62
6,-6024.29,-6032.3
7,-31796.47,-33947.38
8,-7538.46,-6435.31
9,-36135.75,-35185.74
10,-5976.09,-5979.95
11,-22789.79,-22963.0
12,-6290.95,-6264.58
13,-5631.46,-4927.04
14,-5820.85,-5807.54
15,-32965.67,-35001.53
16,-3191.49,-2547.66
17,-38089.32,-37476.24
18,-6054.16,-6065.52
19,-21106.97,-20686.98
20,-15240.54,-15176.6
21,-37546.0,-36222.44
22,-5638.18,-5940.63
23,-2615.43,-1148.99
24,-13808.08,-14058.49
25,-35598.75,-2171.67
26,-6065.76,-6072.95
27,-1921.09,-6831.9
28,-21352.75,-21450.3
29,-36802.97,-38837.94
30,-5870.2,-5937.91
31,-40349.47,-43245.76
32,-8838.12,-13433.55
33,-38431.41,-39030.0
34,-6064.69,-6041.56
35,-1192.92,-1848.16
36,-16187.79,-14394.96
37,-23142.94,-23254.88
38,-6034.43,-6026.33
39,-55.72,-12.56
40,-14153.63,-14769.83
41,-3665.1,-3389.42
42,-5827.52,-5832.3
43,-36973.67,-33506.3
44,-7945.9,-5907.81
45,-32175.58,-31637.24
46,-6039.33,-6051.66
47,-21887.68,-12904.57
48,-14603.51,-13494.38
49,-5311.22,-6588.68
50,-6023.95,-6020.83
51,-16773.17,-13062.77
52,-15243.01,-14706.8
53,-35262.83,-35077.62
54,-6008.37,-6020.31
55,-33697.48,-29718.52
56,-12871.56,-14338.91
57,-38155.49,-38229.07
58,-6160.84,-6164.04
59,-15886.96,-20512.28
60,-12594.06,-12624.59
61,-39837.41,-39708.04
62,-6053.69,-6036.12
63,-13161.91,-9733.88
64,-7975.0,-9386.28
65,-37842.77,-36896.62
66,-5803.59,-6026.23
67,-26567.89,-22342.59
68,-13112.17,-14133.06
69,-37197.13,-38633.62
70,-6024.29,-6032.3
71,-31796.47,-33947.38
72,-7538.46,-6435.31
73,-36135.75,-35185.74
74,-5976.09,-5979.95
75,-22789.79,-22963.0
76,-6290.95,-6264.58
77,-5631.46,-4927.04
78,-5820.85,-5807.54
79,-32965.67,-35001.53
80,-3191.49,-2547.66
81,-38089.32,-37476.24
82,-6054.16,-6065.52
83,-21106.97,-20686.98
84,-15240.54,-15176.6
85,-37546.0,-36222.44
86,-5638.18,-5940.63
87,-2615.43,-1148.99
88,-13808.08,-14058.49
89,-35598.75,-2171.67
90,-6065.76,-6072.95
91,-1921.09,-6831.9
92,-21352.75,-21450.3
93,-36802.97,-38837.94
94,-5870.2,-5937.91
95,-40349.47,-43245.76
96,-7085.55,-7456.56
97,-35819.19,-33335.77
98,-6028.23,-6058.75
99,-5582.7,-3927.8
100,-9319.51,-8835.27
101,-27472.97,-27735.91
102,-6005.82,-6012.6
103,-11779.21,-14179.2
104,-14168.49,-12336.78
105,-37585.05,-37789.6
106,-6046.88,-6063.48
107,-27553.87,-26233.83
108,-13204.53,-12720.41
109,-37700.63,-37767.55
110,-6109.97,-6100.42
111,-25767.81,-24932.15
112,-14861.25,-15008.45
113,-38093.82,-38081.48
114,-6010.88,-6011.88
115,-28562.89,-31627.03
116,-17344.39,-15555.22
117,-37459.85,-37775.09
118,-6068.6,-6080.73
119,-32428.03,-31607.9
120,-9410.61,-10997.18
121,-36872.67,-38637.72
122,-6079.23,-6085.22
123,-32856.39,-28118.33
124,-18121.74,-20576.8
125,-38721.74,-39004.86
126,-6049.75,-6034.15
127,-28415.89,-29248.55
128,-3763.68,-5303.34
129,-11248.22,-17989.1
130,-6038.49,-6061.53
131,-31818.71,-30195.78
132,-6212.24,-4760.22
133,-35548.79,-34178.39
134,-6014.02,-6030.29
135,-10077.0,-11727.7
136,-17021.3,-16878.77
137,-37670.55,-37247.45
138,-6071.93,-6097.61
139,-34513.65,-29599.8
140,-9030.54,-9259.21
141,-38798.01,-38641.92
142,-6031.22,-6052.28
143,-26641.29,-21188.45
144,-14160.07,-14604.06
145,-39226.72,-39110.23
146,-6023.38,-6005.59
147,-36991.38,-37321.56
148,-18068.93,-17097.85
149,-38944.22,-39102.74
150,-5998.61,-5991.68
151,-38272.44,-38649.71
152,-8786.96,-9831.88
153,-32036.88,-11902.94
154,-6052.33,-6057.9
155,-16178.68,-26082.39
156,-1563.91,-2510.12
157,-34685.45,-34085.04
158,-6037.43,-6066.42
159,-7708.97,-17584.92
160,-7975.0,-9386.28
161,-37842.77,-36896.62
162,-5803.59,-6026.23
163,-26567.89,-22342.59
164,-13112.17,-14133.06
165,-37197.13,-38633.62
166,-6024.29,-6032.3
167,-31796.47,-33947.38
168,-7538.46,-6435.31
169,-36135.75,-35185.74
170,-5976.09,-5979.95
171,-22789.79,-22963.0
172,-6290.95,-6264.58
173,-5631.46,-4927.04
174,-5820.85,-5807.54
175,-32965.67,-35001.53
176,-3191.49,-2547.66
177,-38089.32,-37476.24
178,-6054.16,-6065.52
179,-21106.97,-20686.98
180,-15240.54,-15176.6
181,-37546.0,-36222.44
182,-5638.18,-5940.63
183,-2615.43,-1148.99
184,-13808.08,-14058.49
185,-35598.75,-2171.67
186,-6065.76,-6072.95
187,-1921.09,-6831.9
188,-21352.75,-21450.3
189,-36802.97,-38837.94
190,-5870.2,-5937.91
191,-40349.47,-43245.76
192,-9642.68,-6468.92
193,-39242.38,-38654.2
194,-5988.66,-5997.97
195,-23783.92,-24420.02
196,-8844.63,-11548.59
197,-39345.46,-38839.67
198,-6034.75,-6061.79
199,-12596.55,-26218.31
200,-10022.44,-6726.57
201,-39697.29,-39574.79
202,-6006.75,-5999.23
203,-29330.93,-29727.79
204,-3996.28,-6669.49
205,-38495.14,-38330.74
206,-5998.61,-5979.11
207,-31795.86,-33553.42
208,-7871.52,-9809.49
209,-38790.29,-38840.76
210,-6037.54,-6034.52
211,-799.9,-917.87
212,-7421.68,-7110.37
213,-38668.12,-38932.57
214,-6066.41,-6031.87
215,-7891.83,-6657.38
216,-17123.79,-12828.86
217,-37485.04,-37145.95
218,-6080.91,-6083.03
219,-31756.11,-30987.97
220,-17544.24,-16995.88
221,-214.27,-100.36
222,-6020.23,-6025.82
223,-21097.19,-30876.93
224,-13538.43,-12534.34
225,-31580.82,-35525.53
226,-6026.42,-6057.66
227,-23340.46,-28221.59
228,-15641.44,-15211.47
229,-37256.98,-36777.28
230,-6024.93,-6029.54
231,-11715.6,-13581.21
232,-6786.52,-6991.45
233,-38267.28,-37991.84
234,-5894.54,-5963.19
235,-27529.37,-18391.03
236,-10958.43,-12362.09
237,-37981.42,-38811.35
238,-5989.22,-5996.3
239,-27874.32,-22356.06
240,-14261.87,-14509.38
241,-317.71,-458.72
242,-6043.36,-6047.12
243,-28514.1,-25449.63
244,-16762.58,-19781.07
245,-36163.53,-36587.55
246,-6038.21,-6041.9
247,-33178.43,-35066.99
248,-3038.88,-7838.62
249,-38309.78,-34212.29
250,-6021.1,-6021.39
251,-5763.45,-5319.65
252,-2656.72,-4061.26
253,-36330.02,-36841.32
254,-5829.39,-5822.03
255,-11913.19,-8728.39
256,-15175.23,-1363.23
257,-38928.54,-37361.12
258,-6099.98,-5794.81
259,-28565.73,-29643.36
260,-17632.79,-14148.84
261,-39596.65,-39172.55
262,-6013.13,-5988.96
263,-38383.21,-18943.89
264,-13821.48,-13149.39
265,-37344.43,-37957.18
266,-6101.52,-6097.76
267,-14674.59,-523.23
268,-7646.47,-12771.33
269,-39091.45,-39561.54
270,-6016.69,-6002.89
271,-18504.22,-8806.77
272,-6465.65,-4725.73
273,-29347.18,-32411.52
274,-6060.04,-6039.71
275,-127.46,-52.04
276,-16600.96,-13209.65
277,-3022.01,-8845.69
278,-6051.57,-6058.94
279,-29174.96,-14679.28
280,-16979.47,-16099.02
281,-24742.37,-27198.55
282,-6044.56,-6042.94
283,-36736.36,-27206.35
284,-11995.02,-12207.85
285,-38049.78,-37396.26
286,-6058.22,-6035.03
287,-19965.18,-10615.74
288,-5589.89,-5620.43
289,-30743.95,-28454.08
290,-28105.59,-30378.79
291,-5616.22,-5607.68
292,-30790.78,-31617.67
293,-20630.74,-24733.69
294,-5821.59,-5720.79
295,-24244.88,-21472.91
296,-17841.34,-18828.86
297,-5526.83,-5548.23
298,-18477.8,-19769.59
299,-21439.75,-22017.72
300,-5627.87,-5630.43
301,-19221.7,-21689.99
302,-22323.47,-17630.57
303,-5581.52,-5594.75
304,-29206.19,-31253.19
305,-30903.87,-25601.47
306,-5575.0,-5572.2
307,-28995.87,-29924.08
308,-28519.12,-23342.79
309,-5620.02,-5620.14
310,-28828.2,-27148.42
311,-27531.4,-23661.83
312,-5633.04,-5638.18
313,-10094.81,-11791.03
314,-8764.17,-15872.14
315,-5630.1,-5623.72
316,-25210.17,-31952.96
317,-20795.85,-27009.62
318,-5516.81,-5561.27
319,-15085.08,-16497.73
320,-10674.17,-9596.05
321,-5635.58,-5611.37
322,-8474.03,-12272.04
323,-12230.75,-10072.2
324,-5638.19,-5642.3
325,-12228.61,-17354.94
326,-5244.26,-2890.78
327,-5712.73,-5722.98
328,-11446.82,-16950.07
329,-24600.91,-26586.79
330,-5668.6,-5630.72
331,-14391.31,-15408.38
332,-25993.38,-23723.44
333,-5562.47,-5570.15
334,-10797.01,-11816.54
335,-23208.5,-23535.69
336,-5605.64,-5611.81
337,-21849.28,-28723.23
338,-17172.47,-28525.6
339,-5583.16,-5572.1
340,-17208.12,-18041.19
341,-22848.72,-25361.88
342,-5607.9,-5606.86
343,-6937.44,-8660.88
344,-9606.28,-7925.65
345,-5594.39,-5595.2
346,-3643.51,-4322.47
347,-10556.02,-11384.29
348,-5596.13,-5599.22
349,-5171.93,-5255.77
350,-5915.22,-9893.97
351,-5551.62,-5551.78
352,-5509.95,-4748.6
353,-19787.2,-22275.8
354,-5592.29,-5589.54
355,-9660.86,-10160.72
356,-19308.94,-21908.67
357,-5614.05,-5613.14
358,-9822.51,-8193.78
359,-16673.41,-16207.0
360,-5605.86,-5615.06
361,-12936.85,-19627.76
362,-28808.91,-31567.21
363,-5609.75,-5616.51
364,-19379.43,-22698.27
365,-31231.95,-32691.9
366,-5605.53,-5610.62
367,-18075.6,-15062.97
368,-30764.65,-29314.17
369,-5631.29,-5637.92
370,-28214.5,-25177.27
371,-30974.83,-27170.31
372,-5582.73,-5583.86
373,-30017.41,-27862.61
374,-29946.69,-27957.55
375,-5628.61,-5628.61
376,-28363.33,-26457.54
377,-20411.15,-26618.18
378,-5581.46,-5571.05
379,-12177.63,-6536.33
380,-817.11,-18929.95
381,-5600.67,-5580.44
382,-21575.71,-15111.09
383,-1414.83,-15408.78
384,-5612.72,-5602.08
385,-26583.3,-26370.35
386,-25923.54,-18883.18
387,-5684.63,-5608.07
388,-27259.78,-25191.63
389,-23873.4,-20574.16
390,-5606.27,-5612.13
391,-21413.65,-23913.88
392,-22835.64,-23709.5
393,-5574.41,-5573.68
394,-26533.1,-30046.94
395,-23037.95,-25132.05
396,-5740.48,-5671.65
397,-30516.07,-32090.48
398,-24455.11,-27144.26
399,-5646.52,-5651.6
400,-28323.91,-31404.71
401,-25168.8,-26000.66
402,-5582.36,-5579.73
403,-28507.42,-30400.3
404,-27540.09,-29395.52
405,-5615.9,-5610.49
406,-24830.04,-25271.48
407,-23954.12,-25514.37
408,-5607.68,-5586.2
409,-27588.64,-28297.31
410,-12029.59,-8302.34
411,-5596.83,-5617.69
412,-22324.88,-26528.01
413,-19391.81,-20204.07
414,-5635.45,-5632.15
415,-24671.79,-23622.65
416,-29863.64,-30030.44
417,-5596.67,-5592.37
418,-30930.48,-32152.74
419,-30941.78,-31026.14
420,-5599.02,-5599.22
421,-24260.26,-27203.84
422,-25547.0,-25694.26
423,-5582.19,-5578.29
424,-9186.96,-11330.17
425,-17819.11,-18373.73
426,-5619.39,-5617.83
427,-26834.04,-27415.61
428,-30873.47,-29901.12
429,-5590.54,-5588.82
430,-14150.14,-12776.12
431,-26073.84,-22804.22
432,-5448.78,-5455.05
433,-21703.53,-37616.7
434,-35549.31,-32279.12
435,-36985.93,-32453.11
436,-1731.49,-14995.02
437,-34564.77,-32948.91
438,-5435.56,-5459.95
439,-27190.9,-39477.96
440,-37015.44,-37129.07
441,-35364.3,-35868.91
442,-5259.12,-819.65
443,-32267.6,-32185.55
444,-5425.91,-5444.87
445,-26228.86,-35915.85
446,-25659.47,-32367.14
447,-36546.25,-34859.11
448,-9721.13,-7487.79
449,-32471.05,-34948.52
450,-5498.36,-5473.71
451,-31717.19,-38584.27
452,-26318.45,-34872.61
453,-38775.05,-38405.72
454,-16110.12,-2760.69
455,-13469.86,-17225.37
456,-5437.26,-5456.42
457,-35184.04,-39751.4
458,-36179.29,-37343.09
459,-38222.39,-38190.48
460,-11642.12,-25106.46
461,-35376.26,-37690.16
462,-5464.85,-5599.66
463,-39115.94,-42076.39
464,-31892.06,-36631.27
465,-36146.91,-37167.63
466,-26421.72,-35173.47
467,-35847.48,-36714.36
468,-5390.45,-5382.6
469,-5240.39,-36666.51
470,-27601.69,-33676.55
471,-34388.21,-35462.73
472,-6978.49,-32520.46
473,-27007.33,-29448.29
474,-5443.71,-5433.37
475,-17396.68,-29650.14
476,-31200.97,-32231.74
477,-35222.37,-36909.82
478,-11976.93,-13462.96
479,-24143.84,-23999.39
480,-5453.52,-5443.49
481,-5087.14,-17907.63
482,-6119.87,-15454.06
483,-28427.95,-28239.14
484,-4199.1,-3737.32
485,-26402.37,-31957.01
486,-5445.4,-5440.32
487,-7442.21,-7199.81
488,-43.5,-72.73
489,-20839.96,-15169.2
490,-3325.83,-923.95
491,-7607.23,-7373.29
492,-5450.12,-5447.41
493,-659.26,-1942.83
494,-7451.97,-4294.75
495,-31969.89,-29963.51
496,-53.12,-74.38
497,-7155.74,-12705.4
498,-5428.8,-5423.9
499,-32835.57,-31338.69
500,-5045.86,-4908.94
501,-22247.89,-17066.01
502,-921.44,-644.27
503,-22657.73,-23240.66
504,-5438.97,-5437.82
505,-11623.09,-14020.28
506,-4558.03,-4240.51
507,-29240.4,-30533.38
508,-3995.12,-2455.27
509,-28352.79,-30734.58
510,-5436.21,-5439.89
511,-5590.01,-10414.47
512,-26673.75,-27330.84
513,-34197.51,-34286.13
514,-18339.53,-13661.81
515,-29547.73,-31337.66
516,-5473.8,-5490.58
517,-10870.32,-5006.63
518,-25933.15,-26170.1
519,-25005.39,-22752.06
520,-3975.06,-6382.07
521,-27275.67,-29445.89
522,-5459.32,-5460.34
523,-27671.71,-31286.3
524,-30925.4,-30787.97
525,-24917.46,-26891.31
526,-13635.41,-12441.31
527,-28941.65,-30161.87
528,-5442.19,-5466.46
529,-25970.98,-27481.46
530,-30682.94,-26243.09
531,-15133.62,-10838.35
532,-40544.67,-35326.16
533,-34827.45,-33654.56
534,-5445.12,-5430.33
535,-34827.07,-37995.27
536,-29211.68,-34105.02
537,-33604.96,-34174.04
538,-23382.55,-27058.63
539,-32876.1,-35315.56
540,-5445.56,-5439.91
541,-34400.44,-36285.12
542,-35251.81,-37333.11
543,-27730.66,-28266.75
544,-21082.39,-23449.02
545,-32924.2,-35129.46
546,-5442.43,-5431.65
547,-20104.18,-21998.12
548,-27649.16,-29564.33
549,-33974.45,-35137.7
550,-36762.61,-38007.82
551,-34996.28,-35687.93
552,-5450.26,-5448.81
553,-34999.73,-35398.72
554,-19936.85,-17435.58
555,-10592.85,-9001.52
556,-30960.32,-33648.14
557,-36622.01,-37337.85
558,-5438.64,-5440.85
559,-30760.71,-29644.44
560,-6084.82,-714.47
561,-7576.28,-5020.39
562,-16871.26,-19773.84
563,-35804.56,-36332.1
564,-5446.87,-5446.09
565,-14673.68,-13784.47
566,-17664.41,-11340.64
567,-24463.12,-29740.14
568,-6895.25,-5744.12
569,-36593.01,-37051.39
570,-5462.65,-5451.92
571,-326.27,-30.57
572,-16000.61,-6979.54
573,-24631.33,-23981.53
574,-2272.65,-1259.13
575,-31930.41,-29325.0
576,-5435.34,-5448.33
577,-35336.99,-32349.63
578,-34380.65,-38374.49
579,-26410.14,-32384.78
580,-20594.97,-6458.9
581,-37609.52,-38008.28
582,-5444.45,-5447.19
583,-38632.64,-35681.13
584,-35817.14,-34673.1
585,-26298.17,-29478.34
586,-31144.38,-24569.98
587,-38591.4,-37566.24
588,-5441.75,-5449.63
589,-32603.55,-30757.75
590,-25775.63,-17037.76
591,-61.7,-99.74
592,-19271.77,-20658.64
593,-35538.33,-34238.07
594,-5436.31,-5440.4
595,-32570.84,-29921.79
596,-26172.64,-16709.25
597,-30904.33,-31525.34
598,-29468.26,-25984.28
599,-37355.23,-35380.16
600,-5452.32,-5458.8
601,-1663.11,-1330.36
602,-36169.36,-36216.76
603,-32697.36,-33996.44
604,-25242.41,-28547.02
605,-36936.07,-36493.45
606,-5421.33,-5419.38
607,-35891.94,-34209.11
608,-28012.7,-21435.44
609,-26819.28,-29813.01
610,-59.52,-44.95
611,-34455.39,-32016.45
612,-5449.67,-5446.74
613,-29149.08,-5855.36
614,-31572.42,-32090.79
615,-21523.0,-32572.28
616,-3061.66,-2594.26
617,-36508.93,-35467.78
618,-5439.83,-5435.72
619,-29396.92,-28286.8
620,-36670.07,-36768.72
621,-33932.5,-32345.61
622,-24161.37,-12318.11
623,-33710.17,-30194.96
624,-5484.55,-5474.4
625,-41713.2,-41114.02
626,-34039.42,-32057.89
627,-34094.08,-33465.78
628,-14061.36,-14592.72
629,-34333.45,-35738.13
630,-5441.28,-5450.28
631,-39429.57,-38201.44
632,-36166.74,-32049.98
633,-34172.35,-32087.19
634,-6753.76,-17586.9
635,-28645.41,-28798.37
636,-5460.28,-5468.89
637,-33467.77,-33551.19
638,-20007.58,-19551.68
639,-28565.07,-24706.13
640,-6519.42,-16901.49
641,-13835.21,-20080.97
642,-5438.06,-5443.95
643,-41266.47,-40599.92
