bb_idx,MT_MUNIS,WT_MUNIS
0,0.0431944392621517,0.0024492947850376
1,0.002300911117345,0.000325200788211
2,0.075548768043518,0.0032106316648423
3,0.1710349023342132,0.0066079115495085
4,0.0081031369045376,0.0054703303612768
5,0.0018872560467571,0.0006149548571556
6,0.0086295800283551,0.0029988791793584
7,0.0068275034427642,0.0043106349185109
8,0.007396335247904,0.0084122335538268
9,0.0022002565674483,0.0010962480446323
10,0.0604381971061229,0.0164545830339193
11,0.0327458791434764,0.018150707706809
12,0.0360136553645134,0.128475159406662
13,0.0879811272025108,0.1363176256418228
14,0.0176139548420906,0.0737277492880821
15,0.0299267172813415,0.564146876335144
16,0.0284344498068094,0.0535942800343036
17,0.0069214664399623,0.0117515437304973
18,0.0241980832070112,0.0566856153309345
19,0.060384027659893,0.1028744727373123
20,0.0083065312355756,0.0091283144429326
21,0.0027733456809073,0.0073056346736848
22,0.7674721479415894,0.1444605439901352
23,0.0770387053489685,0.2362539023160934
24,0.0063399150967597,0.0107705993577837
25,0.0948624014854431,0.6869581937789917
26,0.111409306526184,0.0176529772579669
27,0.0642842575907707,0.0422323569655418
28,0.0008057180675677,0.0012461306760087
29,0.0042411484755575,0.0060260337777435
30,0.8733527064323425,0.4512693881988525
31,0.0100663509219884,0.0091286357492208
32,0.0012922266032546,0.0015034849056974
33,0.0006338645471259,0.0005469686584547
34,0.0098541546612977,0.0240479502826929
35,0.0057406723499298,0.006233571562916
36,0.0040983511134982,0.0037379197310656
37,0.1523256301879882,0.1816438734531402
38,0.0156936608254909,0.0412923470139503
39,0.1074124798178672,0.2118045389652252
40,0.0156808253377676,0.0105648292228579
41,0.2803559303283691,0.2850401997566223
42,0.0726599693298339,0.1617172658443451
43,0.1716856807470321,0.2701194584369659
44,0.002640567952767,0.0020909956656396
45,0.0047469632700085,0.0035005442332476
46,0.0045794770121574,0.00374734448269
47,0.0301949977874755,0.014530467800796
48,0.0377077646553516,0.0160610862076282
49,0.1467423886060714,0.1209494620561599
50,0.0082267075777053,0.0051670991815626
51,0.0298730283975601,0.0236918702721595
