bb_idx,MT_PredIG,WT_PredIG
0,0.000324,0.009834
1,0.000856,0.019508
2,0.000302,0.028651
3,0.010621,0.024622
4,0.00808,0.004881
5,0.118382,0.036585
6,0.056718,0.01134
7,0.056718,0.021522
8,0.008908,0.003768
9,0.135621,0.061937
10,0.02086,0.001079
11,0.056718,0.016781
12,0.001355,0.001001
13,0.000175,5.2e-05
14,0.000709,0.000856
15,0.00085,0.001026
16,0.009979,0.008908
17,0.135621,0.042122
18,0.056718,0.038978
19,0.293848,0.033546
20,0.001084,0.001084
21,0.021628,0.021628
22,0.000159,0.000722
23,0.000699,0.010839
24,0.017104,0.002701
25,0.000812,0.000365
26,0.025127,0.018512
27,0.004519,0.012563
28,0.000522,0.001001
29,0.000569,0.001154
30,0.000268,0.000174
31,0.001863,0.001863
32,0.006961,0.059613
33,0.040135,0.116949
34,0.009963,0.01986
35,0.009963,0.007827
36,0.000832,0.000141
37,0.000176,0.000153
38,0.000531,0.000166
39,0.00014,5.3e-05
40,0.000115,0.000115
41,5.1e-05,8.9e-05
42,0.000465,0.000465
43,0.002752,0.00052
44,0.000235,0.000614
45,0.000263,0.002124
46,0.004477,0.01249
47,0.000465,0.000465
48,0.000187,0.000187
49,0.00041,0.00041
50,0.000465,0.001213
51,0.000465,0.000465
52,0.000255,0.000614
53,0.000395,0.000395
54,0.001076,0.004269
55,0.001213,0.001213
56,0.009046,0.017212
57,0.00925,0.007819
58,0.009236,0.005941
59,0.00925,0.00925
60,0.017635,0.013206
61,0.007819,0.007819
62,0.007819,0.011909
63,0.007819,0.007819
64,0.000324,0.009834
65,0.000856,0.019508
66,0.000302,0.028651
67,0.010621,0.024622
68,0.00808,0.004881
69,0.118382,0.036585
70,0.056718,0.01134
71,0.056718,0.021522
72,0.008908,0.003768
73,0.135621,0.061937
74,0.02086,0.001079
75,0.056718,0.016781
76,0.001355,0.001001
77,0.000175,5.2e-05
78,0.000709,0.000856
79,0.00085,0.001026
80,0.009979,0.008908
81,0.135621,0.042122
82,0.056718,0.038978
83,0.293848,0.033546
84,0.001084,0.001084
85,0.021628,0.021628
86,0.000159,0.000722
87,0.000699,0.010839
88,0.001067,9.8e-05
89,0.000311,0.000312
90,0.000636,0.000465
91,0.000652,0.000465
92,0.000518,0.000255
93,0.000589,0.001879
94,5.1e-05,0.000524
95,0.001213,0.004746
96,0.007186,0.002473
97,0.007606,0.014835
98,0.002199,0.001592
99,0.002199,0.000837
100,0.00026,1.6e-05
101,0.046184,0.001249
102,0.003406,0.000167
103,0.001633,0.000167
104,0.002264,0.000235
105,0.004638,0.000228
106,0.000447,8.3e-05
107,0.001338,0.00024
108,0.006137,0.006137
109,0.004108,0.003148
110,0.000501,0.00073
111,0.017745,0.025083
112,0.002617,0.002617
113,8.1e-05,8.1e-05
114,4.7e-05,9.6e-05
115,0.002147,0.004109
116,0.024571,0.01222
117,0.024476,0.028866
118,0.004778,0.001941
119,0.053926,0.026873
120,0.016367,0.029444
121,0.003014,0.003014
122,0.002846,0.013883
123,0.041806,0.041806
124,0.001719,0.006353
125,0.000194,0.002445
126,0.000122,0.002445
127,0.001172,0.002004
128,0.050626,0.019784
129,0.02071,0.010889
130,0.180374,0.117108
131,0.137524,0.048373
132,0.002754,0.004956
133,0.002222,0.001814
134,0.002222,0.001416
135,0.001413,0.000472
136,0.47637,0.636415
137,0.496303,0.654672
138,0.472033,0.632381
139,0.109397,0.654672
140,0.030159,0.030159
141,0.071467,0.061004
142,0.028651,0.071467
143,0.018187,0.071467
144,0.000187,0.000221
145,0.004824,0.001824
146,0.000465,0.000465
147,0.000465,0.000465
148,9.8e-05,9.8e-05
149,0.002141,0.004824
150,0.000395,0.000892
151,0.00082,0.001249
152,0.000614,0.000614
153,0.000395,5.1e-05
154,0.001249,0.000465
155,0.000892,0.000465
156,0.000115,0.000115
157,0.000395,0.0001
158,0.000465,0.000465
159,0.000395,0.000432
160,0.000324,0.009834
161,0.000856,0.019508
162,0.000302,0.028651
163,0.010621,0.024622
164,0.00808,0.004881
165,0.118382,0.036585
166,0.056718,0.01134
167,0.056718,0.021522
168,0.008908,0.003768
169,0.135621,0.061937
170,0.02086,0.001079
171,0.056718,0.016781
172,0.001355,0.001001
173,0.000175,5.2e-05
174,0.000709,0.000856
175,0.00085,0.001026
176,0.009979,0.008908
177,0.135621,0.042122
178,0.056718,0.038978
179,0.293848,0.033546
180,0.001084,0.001084
181,0.021628,0.021628
182,0.000159,0.000722
183,0.000699,0.010839
184,0.001067,9.8e-05
185,0.000311,0.000312
186,0.000636,0.000465
187,0.000652,0.000465
188,0.000518,0.000255
189,0.000589,0.001879
190,5.1e-05,0.000524
191,0.001213,0.004746
192,0.329844,0.184573
193,0.318901,0.006745
194,0.063368,0.024
195,0.17507,0.060297
196,0.032556,0.050456
197,0.055802,0.05969
198,0.025782,0.040113
199,0.009686,0.074191
200,0.061012,0.051741
201,0.018329,0.02599
202,0.046456,0.02599
203,0.046456,0.02599
204,0.012621,0.141135
205,0.040035,0.303193
206,0.045099,0.153066
207,0.05008,0.088882
208,0.022417,0.008711
209,0.047029,0.018561
210,0.007404,0.004738
211,0.043473,0.017119
212,0.000719,0.000719
213,0.002495,0.002495
214,0.000896,0.000896
215,0.000896,0.000896
216,0.016627,0.010477
217,0.033422,0.033422
218,0.009007,0.039353
219,0.028988,0.020881
220,0.002047,0.002047
221,0.00019,0.000276
222,0.005893,0.005893
223,0.005893,0.005893
224,0.014051,0.008908
225,0.031163,0.049532
226,0.005458,0.019033
227,0.016733,0.038978
228,0.015435,0.000621
229,0.019019,0.001157
230,0.005773,0.000901
231,0.035391,0.002216
232,0.477926,0.16667
233,0.030263,0.11278
234,0.058502,0.085435
235,0.058502,0.085435
236,0.920225,0.09893
237,0.48342,0.279938
238,0.634196,0.427196
239,0.504284,0.221891
240,0.285749,0.039301
241,0.612015,0.107453
242,0.562949,0.018373
243,0.418066,0.006446
244,0.017808,0.053705
245,0.309553,0.305508
246,0.34507,0.387125
247,0.390451,0.348241
248,0.293511,0.293511
249,0.129689,0.008929
250,0.02468,0.036385
251,0.01057,0.008646
252,0.235907,0.409921
253,0.045253,0.045253
254,0.053168,0.053168
255,0.018865,0.006679
256,0.268452,0.597844
257,0.239896,0.239234
258,0.062728,0.048203
259,0.272149,0.14627
260,0.165597,0.920225
261,0.380435,0.522323
262,0.124717,0.866479
263,0.134063,0.55151
264,0.245039,0.925566
265,0.21823,0.270227
266,0.009434,0.722381
267,0.065755,0.160735
268,0.141934,0.802719
269,0.186606,0.565032
270,0.041218,0.02687
271,0.041218,0.425923
272,0.183811,0.563042
273,0.47729,0.426825
274,0.31739,0.21762
275,0.115589,0.26958
276,0.420342,0.357841
277,0.177121,0.23898
278,0.939635,0.911342
279,0.985127,0.963607
280,0.025329,0.219969
281,0.009602,0.129061
282,0.068824,0.098831
283,0.054583,0.037932
284,0.008341,0.036126
285,0.002506,0.00078
286,0.000222,0.001274
