bb_idx,MT_Seq2Neo,WT_Seq2Neo
133,0.785156,0.778476
134,0.766393,0.767628
135,0.911065,0.911257
136,0.716249,0.742412
137,0.794107,0.808679
138,0.742921,0.764646
139,0.895581,0.903199
140,0.676247,0.722412
141,0.773966,0.798471
142,0.719375,0.748073
143,0.885086,0.898016
144,0.749342,0.733926
145,0.847231,0.826641
146,0.804189,0.785741
147,0.93569,0.926763
148,0.735396,0.757449
149,0.830118,0.843216
150,0.765221,0.792987
151,0.929715,0.939637
152,0.669419,0.69393
153,0.793111,0.781367
154,0.738146,0.755402
155,0.917488,0.927759
156,0.703915,0.695534
157,0.8033,0.778547
158,0.757901,0.752391
159,0.907972,0.903303
160,0.686079,0.704925
161,0.810898,0.810883
162,0.763041,0.762263
163,0.92039,0.91696
164,0.872446,0.842117
165,0.928508,0.916145
166,0.899666,0.883309
167,0.977246,0.972702
168,0.742368,0.725281
169,0.856125,0.841434
170,0.801171,0.77347
171,0.949016,0.927032
172,0.605754,0.532317
173,0.806529,0.775396
174,0.750562,0.720444
175,0.927947,0.900468
176,0.677861,0.795314
177,0.85256,0.868907
178,0.796013,0.83513
179,0.947348,0.954842
180,0.770608,0.827471
181,0.830857,0.867866
182,0.752257,0.837849
183,0.934194,0.951382
184,0.858696,0.842754
185,0.905175,0.86155
186,0.875785,0.854993
187,0.964794,0.960273
188,0.862199,0.827987
189,0.922392,0.89905
190,0.876092,0.844457
191,0.970117,0.955992
192,0.765064,0.786115
193,0.845954,0.855341
194,0.790615,0.809166
195,0.939841,0.944
196,0.811711,0.794909
197,0.895675,0.883409
198,0.861334,0.843811
199,0.963474,0.956565
200,0.603402,0.66198
201,0.817335,0.814362
202,0.753018,0.747649
203,0.92234,0.918445
204,0.725721,0.701382
205,0.825117,0.796407
206,0.794144,0.758876
207,0.925825,0.912685
208,0.759546,0.742008
209,0.851949,0.833898
210,0.816592,0.796128
211,0.940333,0.926984
212,0.747035,0.765066
213,0.832855,0.843239
214,0.795635,0.810028
215,0.93452,0.937002
216,0.726703,0.723868
217,0.805562,0.802999
218,0.753939,0.75842
219,0.900174,0.896604
220,0.719499,0.713717
221,0.743918,0.724241
222,0.750523,0.744269
223,0.895257,0.890629
224,0.626975,0.743281
225,0.762406,0.838546
226,0.737652,0.796718
227,0.90388,0.936422
228,0.743523,0.705887
229,0.797522,0.792754
230,0.757106,0.753869
231,0.91844,0.919216
232,0.765437,0.72414
233,0.878029,0.855782
234,0.827152,0.796924
235,0.954641,0.945038
236,0.82029,0.808212
237,0.887857,0.887849
238,0.848771,0.841988
239,0.960551,0.958425
240,0.757716,0.81099
241,0.761398,0.829937
242,0.7569,0.819221
243,0.914142,0.951227
244,0.761667,0.824287
245,0.817271,0.870557
246,0.785116,0.836634
247,0.906082,0.946427
248,0.775022,0.778005
249,0.841869,0.82605
250,0.80653,0.800182
251,0.929157,0.920522
252,0.740191,0.739092
253,0.848581,0.839977
254,0.809897,0.808224
255,0.924417,0.919925
256,0.798752,0.750752
257,0.88076,0.851276
258,0.839883,0.801976
259,0.946331,0.928106
260,0.753104,0.777151
261,0.850213,0.858397
262,0.798577,0.81089
263,0.931442,0.933084
264,0.766264,0.830011
265,0.83251,0.870315
266,0.769873,0.826907
267,0.921907,0.941243
268,0.738797,0.756884
269,0.828295,0.83192
270,0.785832,0.790029
271,0.923375,0.909564
272,0.79715,0.796844
273,0.866013,0.86141
274,0.846284,0.836528
275,0.935066,0.927886
276,0.809844,0.805669
277,0.850159,0.835699
278,0.836933,0.831613
279,0.950852,0.949821
280,0.740507,0.745144
281,0.768363,0.778872
282,0.756858,0.771864
283,0.914586,0.903766
284,0.783171,0.784255
285,0.835869,0.837805
286,0.781101,0.766562
287,0.924876,0.92063
288,0.336985,0.334522
289,0.553047,0.623159
290,0.770362,0.845879
291,0.680769,0.608703
292,0.71144,0.724201
293,0.873388,0.893757
294,0.779365,0.693028
295,0.834478,0.812596
296,0.946453,0.938826
297,0.527435,0.594369
298,0.70803,0.770074
299,0.866175,0.909848
300,0.487154,0.50325
301,0.7095,0.758786
302,0.857962,0.902442
303,0.671058,0.509108
304,0.786294,0.741839
305,0.916901,0.893287
306,0.743155,0.682795
307,0.746333,0.705491
308,0.888098,0.848054
309,0.487716,0.502651
310,0.581585,0.602019
311,0.836169,0.822844
312,0.300575,0.348622
313,0.51866,0.597772
314,0.687994,0.720677
315,0.362449,0.359644
316,0.623036,0.559625
317,0.84803,0.801005
318,0.556144,0.396807
319,0.689091,0.642874
320,0.860226,0.832906
321,0.59222,0.48299
322,0.694887,0.652736
323,0.85248,0.822521
324,0.348511,0.46102
325,0.655679,0.648871
326,0.863518,0.852013
327,0.464554,0.580189
328,0.686086,0.674149
329,0.867788,0.868174
330,0.6653,0.698536
331,0.723969,0.717708
332,0.88784,0.882037
333,0.681061,0.656569
334,0.707751,0.681461
335,0.864421,0.850086
336,0.643733,0.600211
337,0.629548,0.636735
338,0.795748,0.822674
339,0.725676,0.714931
340,0.748692,0.71672
341,0.860877,0.830583
342,0.781164,0.722763
343,0.772905,0.725656
344,0.915811,0.870397
345,0.596914,0.665379
346,0.681971,0.703484
347,0.778815,0.827172
348,0.445096,0.709395
349,0.671237,0.748555
350,0.763247,0.868798
351,0.499667,0.513335
352,0.675202,0.644835
353,0.848979,0.830822
354,0.635264,0.452961
355,0.680582,0.619898
356,0.840093,0.782739
357,0.401302,0.389451
358,0.494107,0.507208
359,0.793259,0.76578
360,0.692567,0.694293
361,0.710701,0.707943
362,0.835881,0.849995
363,0.603577,0.594564
364,0.649896,0.645819
365,0.821583,0.82198
366,0.635363,0.607048
367,0.675569,0.677679
368,0.826947,0.847008
369,0.666129,0.607042
370,0.682115,0.672119
371,0.849519,0.859008
372,0.644232,0.520814
373,0.730028,0.675215
374,0.874147,0.847402
375,0.506958,0.39844
376,0.691193,0.622649
377,0.842695,0.809431
378,0.374463,0.44953
379,0.693674,0.716386
380,0.827833,0.857218
381,0.503975,0.585683
382,0.645515,0.662016
383,0.773332,0.809364
384,0.679378,0.68141
385,0.710839,0.722577
386,0.838936,0.842894
387,0.701828,0.711436
388,0.770129,0.759519
389,0.904686,0.900477
390,0.665465,0.724257
391,0.702087,0.717429
