bb_idx,MT_BigMHC,WT_BigMHC
0,0.0036301955,0.0042464514
1,0.02931956,0.021216065
2,0.031103168,0.008378315
3,0.15878566,0.017040191
4,0.018300507,0.0053107254
5,0.07415629,0.09941927
6,0.03016154,0.015345134
7,0.023232494,0.01799356
8,0.03795984,0.012012684
9,0.2177262,0.1597579
10,0.21524663,0.13651484
11,0.0378941,0.017184421
12,0.002514422,0.007933524
13,0.02739408,0.055579703
14,0.02402127,0.12909177
15,0.0137738185,0.14462756
16,0.011041595,0.008388595
17,0.04481778,0.07388326
18,0.031283956,0.04502557
19,0.0079120975,0.018341316
20,0.0023977018,0.009307486
21,0.1471845,0.26795503
22,0.703852,0.5181376
23,0.052171446,0.04642395
24,0.0032714866,0.00606992
25,0.13577874,0.096463986
26,0.123707645,0.04839791
27,0.02691583,0.01445517
28,0.00047380637,0.0023586696
29,0.05273503,0.025278596
30,0.11681671,0.06928803
31,0.0010652442,0.0011002832
32,0.00058100134,0.0005571696
33,0.09592928,0.13304308
34,0.04292434,0.086728774
35,0.0275482,0.016547646
36,0.005141076,0.005472871
37,0.28744486,0.26471728
38,0.1435157,0.18822727
39,0.039215054,0.03902566
40,0.0026262659,0.002329726
41,0.101310335,0.10470983
42,0.039622456,0.034594677
43,0.051136144,0.026421187
44,0.011728825,0.01191843
45,0.04387102,0.035773933
46,0.021278927,0.01781635
47,0.02321274,0.020891441
48,0.065289,0.0520213
49,0.041213922,0.0471106
50,0.06552296,0.08162309
51,0.055089362,0.056719262
52,0.0033012037,0.002310158
53,0.03211177,0.050829284
54,0.008413447,0.007350643
55,0.001790847,0.002190179
56,0.0038210005,0.005950299
57,0.06696478,0.054077
58,0.03210906,0.063745126
59,0.012178354,0.012923465
60,0.0009709835,0.0022953912
61,0.08582412,0.11359079
62,0.013015811,0.025546437
63,0.023160892,0.013069113
64,0.0036301955,0.0042464514
65,0.02931956,0.021216065
66,0.031103168,0.008378315
67,0.15878566,0.017040191
68,0.018300507,0.0053107254
69,0.07415629,0.09941927
70,0.03016154,0.015345134
71,0.023232494,0.01799356
72,0.03795984,0.012012684
73,0.2177262,0.1597579
74,0.21524663,0.13651484
75,0.0378941,0.017184421
76,0.002514422,0.007933524
77,0.02739408,0.055579703
78,0.02402127,0.12909177
79,0.0137738185,0.14462756
80,0.011041595,0.008388595
81,0.04481778,0.07388326
82,0.031283956,0.04502557
83,0.0079120975,0.018341316
84,0.0023977018,0.009307486
85,0.1471845,0.26795503
86,0.703852,0.5181376
87,0.052171446,0.04642395
88,0.0032714866,0.00606992
89,0.13577874,0.096463986
90,0.123707645,0.04839791
91,0.02691583,0.01445517
92,0.00047380637,0.0023586696
93,0.05273503,0.025278596
94,0.11681671,0.06928803
95,0.0010652442,0.0011002832
96,0.0019688539,0.0014347753
97,0.01181197,0.010546574
98,0.006199859,0.0036922921
99,0.0034518745,0.0044211266
100,0.0029793922,0.0047596158
101,0.05359628,0.047852747
102,0.009525207,0.015282983
103,0.014567564,0.02930562
104,0.0016498099,0.001803648
105,0.037585773,0.058150113
106,0.04303214,0.07106022
107,0.007192005,0.009835208
108,0.0019915157,0.0024021456
109,0.024329232,0.023674825
110,0.02526921,0.031102553
111,0.003998029,0.003986038
112,0.0024414547,0.004107312
113,0.018162249,0.024098694
114,0.0076187844,0.009799376
115,0.0027960693,0.005277959
116,0.012301067,0.019367456
117,0.06793831,0.085102804
118,0.037174962,0.062904336
119,0.030628745,0.0499155
120,0.0017719729,0.0017700499
121,0.07378923,0.040026724
122,0.025147736,0.008658155
123,0.008827402,0.004412724
124,0.0010137099,0.0014936887
125,0.0075803665,0.011336787
126,0.007931729,0.01114796
127,0.005134896,0.007065609
128,0.02604984,0.009372872
129,0.112344824,0.17119217
130,0.033617985,0.015075853
131,0.011833133,0.010889723
132,0.0062755537,0.005106064
133,0.18846048,0.21607368
134,0.047107596,0.08570503
135,0.1291755,0.11992421
136,0.0007595955,0.0010405642
137,0.08527713,0.09618827
138,0.027390873,0.026949784
139,0.027490275,0.024342706
140,0.007290545,0.008634214
141,0.04171384,0.039335616
142,0.025788754,0.04311589
143,0.010072818,0.012857529
144,0.0035593186,0.0022796604
145,0.04651894,0.05857695
146,0.020380665,0.013524311
147,0.04844371,0.035035215
148,0.0010000865,0.0011908332
149,0.03717747,0.020767367
150,0.015928792,0.016002681
151,0.0010456505,0.0022477317
152,0.0050943666,0.008304759
153,0.05798785,0.04425782
154,0.093739726,0.059124224
155,0.014686101,0.015382112
156,0.009634393,0.0070327115
157,0.05984404,0.0692193
158,0.052770708,0.037263297
159,0.10004159,0.10516239
160,0.0036301955,0.0042464514
161,0.02931956,0.021216065
162,0.031103168,0.008378315
163,0.15878566,0.017040191
164,0.018300507,0.0053107254
165,0.07415629,0.09941927
166,0.03016154,0.015345134
167,0.023232494,0.01799356
168,0.03795984,0.012012684
169,0.2177262,0.1597579
170,0.21524663,0.13651484
171,0.0378941,0.017184421
172,0.002514422,0.007933524
173,0.02739408,0.055579703
174,0.02402127,0.12909177
175,0.0137738185,0.14462756
176,0.011041595,0.008388595
177,0.04481778,0.07388326
178,0.031283956,0.04502557
179,0.0079120975,0.018341316
180,0.0023977018,0.009307486
181,0.1471845,0.26795503
182,0.703852,0.5181376
183,0.052171446,0.04642395
184,0.0032714866,0.00606992
185,0.13577874,0.096463986
186,0.123707645,0.04839791
187,0.02691583,0.01445517
188,0.00047380637,0.0023586696
189,0.05273503,0.025278596
190,0.11681671,0.06928803
191,0.0010652442,0.0011002832
192,0.0047263685,0.003600442
193,0.062311567,0.059062142
194,0.0654583,0.027665151
195,0.027942615,0.03468803
196,0.008120134,0.00807439
197,0.04268228,0.050603095
198,0.1028261,0.05914095
199,0.029016793,0.025918182
200,0.003882345,0.0035679894
201,0.10988911,0.095747635
202,0.1281849,0.07350498
203,0.01970408,0.024959205
204,0.019626915,0.018606754
205,0.0082086,0.009959459
206,0.015194727,0.015359314
207,0.00465538,0.005782477
208,0.0014448744,0.0012851525
209,0.06965778,0.051350147
210,0.03815121,0.020928206
211,0.041600943,0.019267092
212,0.005645093,0.0049283197
213,0.06615687,0.051029745
214,0.09345018,0.07255553
215,0.016080549,0.015451351
216,0.0014876167,0.00096269685
217,0.03540239,0.05470169
218,0.020859359,0.013210915
219,0.0072606243,0.005431529
220,0.0017936259,0.0011475716
221,0.008920888,0.015011573
222,0.0042772857,0.003783664
223,0.0013232653,0.0019876577
224,0.010310911,0.008948485
225,0.38422486,0.060393874
226,0.0820574,0.042929
227,0.0034576228,0.0027170181
228,0.015988758,0.012349534
229,0.0895915,0.09814183
230,0.20817003,0.21163836
231,0.0050684446,0.0027882697
232,0.014755071,0.017180253
233,0.078886904,0.074964814
234,0.2128518,0.1680018
235,0.056948006,0.041172024
236,0.006331789,0.0031369964
237,0.013790431,0.012403177
238,0.05429739,0.037517272
239,0.0018223526,0.0010849213
240,0.00203867,0.0012547424
241,0.25124526,0.18541007
242,0.06797485,0.045800112
243,0.006361277,0.006499031
244,0.0077735973,0.008289778
245,0.012550349,0.011490005
246,0.022682173,0.01702177
247,0.014021578,0.01366579
248,0.001087357,0.0008983899
249,0.09623157,0.07917154
250,0.012861344,0.004670817
251,0.013304568,0.012802949
252,0.033039726,0.042030897
253,0.0599967,0.045556497
254,0.19866835,0.14274189
255,0.01940157,0.018947866
256,0.0010209339,0.010709909
257,0.012181315,0.020021593
258,0.016580079,0.03763516
259,0.017712716,0.03242148
260,0.0015679765,0.0014641058
261,0.06718199,0.052885115
262,0.0325542,0.026475996
263,0.005428392,0.0028616842
264,0.0013171376,0.0015073217
265,0.022110121,0.02381438
266,0.01570751,0.03925712
267,0.0028754754,0.0139040155
268,0.001125519,0.00088555925
269,0.05084214,0.023936119
270,0.007905706,0.017615575
271,0.0024321314,0.0022033236
272,0.0045456635,0.004592431
273,0.05325225,0.05132177
274,0.0054286206,0.003123906
275,0.0043602698,0.0030941383
276,0.0021659795,0.0014877294
277,0.017151445,0.027732546
278,0.0026021618,0.002751367
279,0.0042454214,0.0031695329
280,0.013862302,0.014040573
281,0.19916943,0.11460059
282,0.010114632,0.014063464
283,0.010156189,0.02731039
284,0.017391289,0.0056555676
285,0.029824639,0.029902399
286,0.038236044,0.039518725
287,0.037382297,0.03789953
288,0.26603928,0.12562205
289,0.02703884,0.043576103
290,0.0075449497,0.0061201607
291,0.08889355,0.0787668
292,0.08741135,0.07299621
293,0.0057193264,0.0042488016
294,0.29106322,0.25428396
295,0.09148737,0.09409011
296,0.015128799,0.009926349
297,0.32780233,0.25070268
298,0.018998021,0.018089576
299,0.020562664,0.014603339
300,0.07340741,0.080808744
301,0.40134954,0.331278
302,0.01544113,0.00806314
303,0.042250734,0.044409923
304,0.057996962,0.044252448
