bb_idx,MT_ImmuneApp,WT_ImmuneApp
0,0.0003151297569274,0.1108526587486267
1,0.0008184015750885,9.864568710327148e-06
2,1.290440559387207e-05,2.9206275939941406e-06
3,0.056703507900238,1.4901161193847656e-06
4,0.0010124444961547,0.0080554485321044
5,1.5974044799804688e-05,1.1086463928222656e-05
6,0.0042743682861328,0.0001973211765289
7,1.2218952178955078e-06,8.311867713928223e-05
8,0.0906083881855011,0.0013508200645446
9,7.241964340209961e-06,0.003736525774002
10,2.2411346435546875e-05,0.0001089870929718
11,0.000230073928833,6.875395774841309e-05
12,0.0008083879947662,0.9999960660934448
13,0.0036846995353698,1.0
14,0.000619500875473,0.9997124671936036
15,0.000345766544342,1.0
16,0.0001164972782135,0.0004397928714752
17,6.735324859619141e-06,1.2069940567016602e-05
18,2.276897430419922e-05,8.642673492431641e-07
19,1.055002212524414e-05,2.5033950805664062e-05
20,1.2278556823730469e-05,0.0007409155368804
21,0.973029851913452,0.0005010664463043
22,0.4723197221755981,0.0001063346862792
23,0.8711584210395813,0.0008032917976379
24,0.7372902035713196,0.0632378756999969
25,4.824995994567871e-05,0.9999584555625916
26,0.9948429465293884,0.1287895143032074
27,3.546476364135742e-06,3.2186508178710938e-06
28,3.248453140258789e-06,0.0001211166381835
29,0.0002098977565765,9.989738464355467e-05
30,0.9999991655349731,0.2225631177425384
31,0.0003905892372131,0.0136780440807342
32,0.0001803338527679,0.0001036524772644
33,4.285573959350586e-05,0.0031815767288208
34,1.1920928955078125e-07,7.748603820800781e-07
35,0.0001466870307922,0.0001132488250732
36,0.9985408782958984,0.5932930707931519
37,0.1813595592975616,0.9999533891677856
38,0.9095168709754944,0.9031846523284912
39,0.0027109384536743,0.0024860799312591
40,3.0875205993652344e-05,2.086162567138672e-06
41,0.0105779767036437,0.0527985394001007
42,8.52346420288086e-06,1.1026859283447266e-06
43,2.6553869247436523e-05,9.59634780883789e-06
44,0.0403517186641693,0.9071733951568604
45,0.70879065990448,0.0001945793628692
46,2.3245811462402344e-06,3.039836883544922e-06
47,2.8312206268310547e-06,4.604458808898926e-05
48,2.723932266235352e-05,0.0001361668109893
49,0.999968409538269,0.9996538162231444
50,8.502602577209473e-05,1.043081283569336e-06
51,0.0007899403572082,1.4007091522216797e-06
52,0.0097201168537139,0.0139813721179962
53,4.857778549194336e-06,1.4632940292358398e-05
54,5.811452865600586e-06,4.7266483306884766e-05
55,2.646446228027344e-05,9.506940841674805e-06
56,0.0002137422561645,2.548098564147949e-05
