bb_idx,MT_TSCAPE,WT_TSCAPE
330,0.281975,0.231537
331,0.185632,0.135237
332,0.128127,0.116977
333,0.144744,0.093557
334,0.08204,0.056236
335,0.072908,0.056761
336,0.094652,0.15205
337,0.075286,0.125409
338,0.080847,0.107562
339,0.126829,0.080757
340,0.118718,0.081149
341,0.075692,0.053989
342,0.297051,0.21601
343,0.146445,0.155562
344,0.156301,0.153033
345,0.336199,0.371171
346,0.199592,0.283382
347,0.176172,0.213133
348,0.236657,0.223694
349,0.115553,0.102074
350,0.137322,0.118364
351,0.205952,0.22664
352,0.178347,0.115177
353,0.131994,0.123608
354,0.44401,0.498823
355,0.302173,0.278351
356,0.294271,0.314207
357,0.262907,0.38414
358,0.18281,0.264837
359,0.103023,0.168866
360,0.257856,0.293132
361,0.14742,0.155966
362,0.132892,0.143887
363,0.323927,0.289452
364,0.197357,0.200245
365,0.18941,0.192619
366,0.240984,0.208527
367,0.130138,0.143696
368,0.146431,0.16164
369,0.311237,0.415817
370,0.165896,0.2491
371,0.190813,0.2204
372,0.262067,0.273067
373,0.21024,0.212076
374,0.119125,0.12864
375,0.185279,0.173342
376,0.108023,0.085201
377,0.094975,0.083214
378,0.190236,0.238079
379,0.161465,0.178334
380,0.132629,0.15349
381,0.166607,0.210546
382,0.114586,0.146392
383,0.128406,0.153569
384,0.2016,0.120455
385,0.143724,0.113487
386,0.131672,0.090652
387,0.161006,0.1643
388,0.118185,0.103833
389,0.086903,0.095574
390,0.124662,0.285394
391,0.093335,0.181856
392,0.104029,0.179764
393,0.167314,0.116461
394,0.150839,0.104452
395,0.111149,0.079152
396,0.261209,0.464224
397,0.156459,0.19973
398,0.179163,0.281529
399,0.618718,0.522138
400,0.326649,0.287512
401,0.262544,0.240583
402,0.192305,0.25095
403,0.188022,0.230676
404,0.163108,0.202866
405,0.104771,0.105747
406,0.078695,0.083766
407,0.076408,0.07905
408,0.295923,0.308258
409,0.123266,0.154707
410,0.141137,0.162055
411,0.131736,0.134644
412,0.09342,0.085372
413,0.088013,0.080172
414,0.210457,0.259704
415,0.18874,0.214687
416,0.138413,0.160134
417,0.15447,0.134041
418,0.12949,0.107771
419,0.111518,0.107581
420,0.116404,0.140361
421,0.095526,0.112077
422,0.078329,0.085568
423,0.20351,0.186092
424,0.149244,0.137349
425,0.110446,0.101831
426,0.340356,0.34957
427,0.212522,0.213486
428,0.204873,0.202059
429,0.168905,0.150327
430,0.144399,0.129362
431,0.103708,0.09301
432,0.031602,0.040794
433,0.057346,0.066576
434,0.033982,0.045725
435,0.095166,0.123601
436,0.023397,0.025736
