bb_idx,MT_HLAthena,WT_HLAthena
0,0.416833303948968,0.115195094692657
1,0.0950220015410903,0.0521098757431092
2,,
3,0.0129980183609102,0.007307517477683
4,0.335893890530699,0.208009334550136
5,0.0142729218611041,0.0158847100267141
6,,
7,0.0269851701942066,0.014919240100264
8,0.102257460945596,0.0905635653720108
9,0.0169229223955578,0.0264808163512498
10,,
11,0.0510487217355856,0.0234445429361788
12,0.583577754928006,0.401860923733976
13,0.429396049223012,0.380622986610979
14,,
15,0.0351810964896382,0.0277252827628723
16,0.257739379660537,0.149080233922642
17,0.0901304080823643,0.103474604343582
18,,
19,0.0727055653227985,0.0409202546240219
20,0.111822612707814,0.0714650414951999
21,0.0722214028132536,0.0801252655668779
22,,
23,0.132079350906942,0.140421050414443
24,0.0224409329693622,0.0573233855610144
25,0.323193533573714,0.905656429131826
26,,
27,0.0926007448490256,0.0397839778710881
28,0.0264197131089734,0.034308177863487
29,0.200659719337192,0.215519628011518
30,,
31,0.0274290071396131,0.0252879728800811
32,0.0307198611119222,0.0391690101131745
33,0.0438173882734393,0.0544693287953527
34,,
35,0.0338322895839358,0.0359745127672795
36,0.0309615732558692,0.0236971548734194
37,0.180065779117609,0.128155938019821
38,,
39,0.296952951016525,0.41704973636402
40,0.20048324693667,0.208384365086547
41,0.444139514697923,0.406574398486151
42,,
43,0.024951793903084,0.0310940384463821
44,0.429983698576689,0.26890853508893
45,0.100076462623353,0.0860236128378246
46,,
47,0.0299053267530528,0.0379210182329795
48,0.181693760181467,0.213881226960156
49,0.21842958153122,0.149139830832266
50,,
51,0.0320888594549615,0.0310858934571216
52,0.0237690288572291,0.0238387857681017
53,0.101818774111517,0.0827876542229205
54,,
55,0.0435885693451079,0.0430321058814621
56,0.173627124664684,0.192529620354374
57,0.0430973679758608,0.0338637751824636
58,,
59,0.0182574119245853,0.0187382001196157
60,0.0808884104157591,0.103842876093566
61,0.0193095247804498,0.0165017468663993
62,,
63,0.0111242263169212,0.0102306310805741
64,0.416833303948968,0.115195094692657
65,0.0950220015410903,0.0521098757431092
66,,
67,0.0129980183609102,0.007307517477683
68,0.335893890530699,0.208009334550136
69,0.0142729218611041,0.0158847100267141
70,,
71,0.0269851701942066,0.014919240100264
72,0.102257460945596,0.0905635653720108
73,0.0169229223955578,0.0264808163512498
74,,
75,0.0510487217355856,0.0234445429361788
76,0.583577754928006,0.401860923733976
77,0.429396049223012,0.380622986610979
78,,
79,0.0351810964896382,0.0277252827628723
80,0.257739379660537,0.149080233922642
81,0.0901304080823643,0.103474604343582
82,,
83,0.0727055653227985,0.0409202546240219
84,0.111822612707814,0.0714650414951999
85,0.0722214028132536,0.0801252655668779
86,,
87,0.132079350906942,0.140421050414443
88,0.0224409329693622,0.0573233855610144
89,0.323193533573714,0.905656429131826
90,,
91,0.0926007448490256,0.0397839778710881
