baseline,method,threshold,cost_ratio_r,c_biopsy_anchor,c_miss_anchor_usd,exp_cost_normalized,treat_all_cost,treat_none_cost,net_benefit,prevalence
A,EfficientNet-B3,0.1288,50.0,58.4,259447.0,1.546667,1.0,10.0,0.104986,0.2
A,EfficientNet-B3,0.1337,50.0,58.4,259447.0,1.543333,1.0,10.0,0.102024,0.2
A,EfficientNet-B3,0.1387,50.0,58.4,259447.0,1.543333,1.0,10.0,0.098531,0.2
A,EfficientNet-B3,0.1436,50.0,58.4,259447.0,1.54,1.0,10.0,0.095556,0.2
A,EfficientNet-B3,0.1486,50.0,58.4,259447.0,1.703333,1.0,10.0,0.08867,0.2
A,EfficientNet-B3,0.1535,50.0,58.4,259447.0,1.7,1.0,10.0,0.08568,0.2
A,EfficientNet-B3,0.1585,50.0,58.4,259447.0,1.86,1.0,10.0,0.079361,0.2
A,EfficientNet-B3,0.1634,50.0,58.4,259447.0,2.02,1.0,10.0,0.073047,0.2
A,EfficientNet-B3,0.1684,50.0,58.4,259447.0,2.02,1.0,10.0,0.069395,0.2
A,EfficientNet-B3,0.1733,50.0,58.4,259447.0,2.016667,1.0,10.0,0.066398,0.2
A,EfficientNet-B3,0.1783,50.0,58.4,259447.0,2.016667,1.0,10.0,0.062682,0.2
A,EfficientNet-B3,0.1832,50.0,58.4,259447.0,2.016667,1.0,10.0,0.058921,0.2
A,EfficientNet-B3,0.1882,50.0,58.4,259447.0,2.01,1.0,10.0,0.056659,0.2
A,EfficientNet-B3,0.1931,50.0,58.4,259447.0,2.01,1.0,10.0,0.052856,0.2
A,EfficientNet-B3,0.1981,50.0,58.4,259447.0,2.01,1.0,10.0,0.049006,0.2
A,EfficientNet-B3,0.203,50.0,58.4,259447.0,2.01,1.0,10.0,0.045108,0.2
A,EfficientNet-B3,0.208,50.0,58.4,259447.0,2.006667,1.0,10.0,0.042036,0.2
A,EfficientNet-B3,0.2129,50.0,58.4,259447.0,1.996667,1.0,10.0,0.040772,0.2
A,EfficientNet-B3,0.2179,50.0,58.4,259447.0,2.156667,1.0,10.0,0.034427,0.2
A,EfficientNet-B3,0.2228,50.0,58.4,259447.0,2.156667,1.0,10.0,0.030464,0.2
A,EfficientNet-B3,0.2278,50.0,58.4,259447.0,2.153333,1.0,10.0,0.027434,0.2
A,EfficientNet-B3,0.2327,50.0,58.4,259447.0,2.153333,1.0,10.0,0.023397,0.2
A,EfficientNet-B3,0.2377,50.0,58.4,259447.0,2.153333,1.0,10.0,0.019307,0.2
A,EfficientNet-B3,0.2426,50.0,58.4,259447.0,2.153333,1.0,10.0,0.015163,0.2
A,EfficientNet-B3,0.2476,50.0,58.4,259447.0,2.14,1.0,10.0,0.015352,0.2
A,EfficientNet-B3,0.2525,50.0,58.4,259447.0,2.14,1.0,10.0,0.011216,0.2
A,EfficientNet-B3,0.2575,50.0,58.4,259447.0,2.13,1.0,10.0,0.010492,0.2
A,EfficientNet-B3,0.2624,50.0,58.4,259447.0,2.13,1.0,10.0,0.006335,0.2
A,EfficientNet-B3,0.2674,50.0,58.4,259447.0,2.293333,1.0,10.0,-0.001211,0.2
A,EfficientNet-B3,0.2723,50.0,58.4,259447.0,2.293333,1.0,10.0,-0.005482,0.2
A,EfficientNet-B3,0.2773,50.0,58.4,259447.0,2.29,1.0,10.0,-0.008532,0.2
A,EfficientNet-B3,0.2822,50.0,58.4,259447.0,2.286667,1.0,10.0,-0.011579,0.2
A,EfficientNet-B3,0.2872,50.0,58.4,259447.0,2.283333,1.0,10.0,-0.014621,0.2
A,EfficientNet-B3,0.2921,50.0,58.4,259447.0,2.283333,1.0,10.0,-0.019035,0.2
A,EfficientNet-B3,0.2971,50.0,58.4,259447.0,2.283333,1.0,10.0,-0.023512,0.2
A,EfficientNet-B3,0.302,50.0,58.4,259447.0,2.283333,1.0,10.0,-0.028051,0.2
A,EfficientNet-B3,0.307,50.0,58.4,259447.0,2.276667,1.0,10.0,-0.029703,0.2
A,EfficientNet-B3,0.3119,50.0,58.4,259447.0,2.273333,1.0,10.0,-0.032793,0.2
A,EfficientNet-B3,0.3169,50.0,58.4,259447.0,2.27,1.0,10.0,-0.03588,0.2
A,EfficientNet-B3,0.3218,50.0,58.4,259447.0,2.263333,1.0,10.0,-0.037382,0.2
A,EfficientNet-B3,0.3268,50.0,58.4,259447.0,2.263333,1.0,10.0,-0.042043,0.2
A,EfficientNet-B3,0.3317,50.0,58.4,259447.0,2.263333,1.0,10.0,-0.046773,0.2
A,EfficientNet-B3,0.3367,50.0,58.4,259447.0,2.26,1.0,10.0,-0.049883,0.2
A,EfficientNet-B3,0.3416,50.0,58.4,259447.0,2.26,1.0,10.0,-0.054718,0.2
A,EfficientNet-B3,0.3466,50.0,58.4,259447.0,2.26,1.0,10.0,-0.059627,0.2
A,EfficientNet-B3,0.3515,50.0,58.4,259447.0,2.26,1.0,10.0,-0.064611,0.2
A,EfficientNet-B3,0.3565,50.0,58.4,259447.0,2.26,1.0,10.0,-0.069671,0.2
A,EfficientNet-B3,0.3614,50.0,58.4,259447.0,2.256667,1.0,10.0,-0.072923,0.2
A,EfficientNet-B3,0.3664,50.0,58.4,259447.0,2.25,1.0,10.0,-0.074247,0.2
A,EfficientNet-B3,0.3713,50.0,58.4,259447.0,2.246667,1.0,10.0,-0.077455,0.2
A,EfficientNet-B3,0.3763,50.0,58.4,259447.0,2.243333,1.0,10.0,-0.080661,0.2
A,EfficientNet-B3,0.3812,50.0,58.4,259447.0,2.243333,1.0,10.0,-0.085919,0.2
A,EfficientNet-B3,0.3862,50.0,58.4,259447.0,2.24,1.0,10.0,-0.089165,0.2
A,EfficientNet-B3,0.3911,50.0,58.4,259447.0,2.24,1.0,10.0,-0.09455,0.2
A,EfficientNet-B3,0.3961,50.0,58.4,259447.0,2.236667,1.0,10.0,-0.097837,0.2
A,EfficientNet-B3,0.401,50.0,58.4,259447.0,2.233333,1.0,10.0,-0.101124,0.2
A,EfficientNet-B3,0.406,50.0,58.4,259447.0,2.233333,1.0,10.0,-0.106688,0.2
A,EfficientNet-B3,0.4109,50.0,58.4,259447.0,2.23,1.0,10.0,-0.110021,0.2
A,EfficientNet-B3,0.4159,50.0,58.4,259447.0,2.226667,1.0,10.0,-0.113353,0.2
A,EfficientNet-B3,0.4208,50.0,58.4,259447.0,2.226667,1.0,10.0,-0.119107,0.2
A,EfficientNet-B3,0.4258,50.0,58.4,259447.0,2.39,1.0,10.0,-0.128294,0.2
A,EfficientNet-B3,0.4307,50.0,58.4,259447.0,2.546667,1.0,10.0,-0.132538,0.2
A,EfficientNet-B3,0.4357,50.0,58.4,259447.0,2.543333,1.0,10.0,-0.135922,0.2
A,EfficientNet-B3,0.4406,50.0,58.4,259447.0,2.543333,1.0,10.0,-0.141932,0.2
A,EfficientNet-B3,0.4456,50.0,58.4,259447.0,2.543333,1.0,10.0,-0.148049,0.2
A,EfficientNet-B3,0.4505,50.0,58.4,259447.0,2.54,1.0,10.0,-0.151544,0.2
A,EfficientNet-B3,0.4555,50.0,58.4,259447.0,2.54,1.0,10.0,-0.15783,0.2
A,EfficientNet-B3,0.4604,50.0,58.4,259447.0,2.536667,1.0,10.0,-0.161386,0.2
A,EfficientNet-B3,0.4654,50.0,58.4,259447.0,2.536667,1.0,10.0,-0.167849,0.2
A,EfficientNet-B3,0.4703,50.0,58.4,259447.0,2.53,1.0,10.0,-0.168513,0.2
A,EfficientNet-B3,0.4753,50.0,58.4,259447.0,2.53,1.0,10.0,-0.175101,0.2
A,EfficientNet-B3,0.4802,50.0,58.4,259447.0,2.53,1.0,10.0,-0.181815,0.2
A,EfficientNet-B3,0.4852,50.0,58.4,259447.0,2.526667,1.0,10.0,-0.185517,0.2
A,EfficientNet-B3,0.4901,50.0,58.4,259447.0,2.526667,1.0,10.0,-0.19243,0.2
A,EfficientNet-B3,0.4951,50.0,58.4,259447.0,2.523333,1.0,10.0,-0.196211,0.2
A,EfficientNet-B3,0.5,50.0,58.4,259447.0,2.52,1.0,10.0,-0.2,0.2
A,EfficientNet-B3,0.5049,50.0,58.4,259447.0,2.52,1.0,10.0,-0.207199,0.2
A,EfficientNet-B3,0.5099,50.0,58.4,259447.0,2.52,1.0,10.0,-0.214542,0.2
A,EfficientNet-B3,0.5148,50.0,58.4,259447.0,2.516667,1.0,10.0,-0.218499,0.2
A,EfficientNet-B3,0.5198,50.0,58.4,259447.0,2.516667,1.0,10.0,-0.226076,0.2
A,EfficientNet-B3,0.5247,50.0,58.4,259447.0,2.516667,1.0,10.0,-0.233812,0.2
A,EfficientNet-B3,0.5297,50.0,58.4,259447.0,2.513333,1.0,10.0,-0.237955,0.2
A,EfficientNet-B3,0.5346,50.0,58.4,259447.0,2.513333,1.0,10.0,-0.245946,0.2
A,EfficientNet-B3,0.5396,50.0,58.4,259447.0,2.51,1.0,10.0,-0.250202,0.2
A,EfficientNet-B3,0.5445,50.0,58.4,259447.0,2.506667,1.0,10.0,-0.254478,0.2
A,EfficientNet-B3,0.5495,50.0,58.4,259447.0,2.506667,1.0,10.0,-0.26284,0.2
A,EfficientNet-B3,0.5544,50.0,58.4,259447.0,2.506667,1.0,10.0,-0.271388,0.2
A,EfficientNet-B3,0.5594,50.0,58.4,259447.0,2.506667,1.0,10.0,-0.280128,0.2
A,EfficientNet-B3,0.5643,50.0,58.4,259447.0,2.496667,1.0,10.0,-0.276113,0.2
A,EfficientNet-B3,0.5693,50.0,58.4,259447.0,2.496667,1.0,10.0,-0.284994,0.2
A,EfficientNet-B3,0.5742,50.0,58.4,259447.0,2.496667,1.0,10.0,-0.294081,0.2
A,EfficientNet-B3,0.5792,50.0,58.4,259447.0,2.493333,1.0,10.0,-0.298793,0.2
A,EfficientNet-B3,0.5841,50.0,58.4,259447.0,2.493333,1.0,10.0,-0.308221,0.2
A,EfficientNet-B3,0.5891,50.0,58.4,259447.0,2.493333,1.0,10.0,-0.317876,0.2
A,EfficientNet-B3,0.594,50.0,58.4,259447.0,2.493333,1.0,10.0,-0.327766,0.2
A,EfficientNet-B3,0.599,50.0,58.4,259447.0,2.493333,1.0,10.0,-0.337901,0.2
A,EfficientNet-B3,0.6039,50.0,58.4,259447.0,2.483333,1.0,10.0,-0.33304,0.2
A,EfficientNet-B3,0.6089,50.0,58.4,259447.0,2.48,1.0,10.0,-0.338182,0.2
A,EfficientNet-B3,0.6138,50.0,58.4,259447.0,2.473333,1.0,10.0,-0.338071,0.2
A,EfficientNet-B3,0.6188,50.0,58.4,259447.0,2.473333,1.0,10.0,-0.348606,0.2
A,EfficientNet-B3,0.6237,50.0,58.4,259447.0,2.473333,1.0,10.0,-0.359418,0.2
A,EfficientNet-B3,0.6287,50.0,58.4,259447.0,2.636667,1.0,10.0,-0.373852,0.2
A,EfficientNet-B3,0.6336,50.0,58.4,259447.0,2.636667,1.0,10.0,-0.385252,0.2
A,EfficientNet-B3,0.6386,50.0,58.4,259447.0,2.633333,1.0,10.0,-0.391075,0.2
A,EfficientNet-B3,0.6435,50.0,58.4,259447.0,2.796667,1.0,10.0,-0.406318,0.2
A,EfficientNet-B3,0.6485,50.0,58.4,259447.0,2.796667,1.0,10.0,-0.418563,0.2
A,EfficientNet-B3,0.6534,50.0,58.4,259447.0,2.793333,1.0,10.0,-0.424873,0.2
A,EfficientNet-B3,0.6584,50.0,58.4,259447.0,2.79,1.0,10.0,-0.431269,0.2
A,EfficientNet-B3,0.6633,50.0,58.4,259447.0,2.786667,1.0,10.0,-0.437756,0.2
A,EfficientNet-B3,0.6683,50.0,58.4,259447.0,2.786667,1.0,10.0,-0.451052,0.2
A,EfficientNet-B3,0.6732,50.0,58.4,259447.0,2.946667,1.0,10.0,-0.461216,0.2
