tau,referral_rate,sens_auto,spec_auto,missed_positive_rate,baseline,method
0.5,0.0,0.8,0.55,0.2,A,EfficientNet-B3
0.51,0.006666666666666667,0.8,0.5462184873949579,0.2,A,EfficientNet-B3
0.52,0.013333333333333334,0.8,0.5466101694915254,0.2,A,EfficientNet-B3
0.53,0.016666666666666666,0.8,0.548936170212766,0.2,A,EfficientNet-B3
0.54,0.02666666666666667,0.8,0.5474137931034483,0.2,A,EfficientNet-B3
0.55,0.03333333333333333,0.8,0.5478260869565217,0.2,A,EfficientNet-B3
0.56,0.04,0.8,0.5482456140350878,0.2,A,EfficientNet-B3
0.5700000000000001,0.05,0.8,0.5511111111111111,0.2,A,EfficientNet-B3
0.58,0.06666666666666667,0.8275862068965517,0.5495495495495496,0.16666666666666666,A,EfficientNet-B3
0.59,0.07,0.8275862068965517,0.5475113122171946,0.16666666666666666,A,EfficientNet-B3
0.6,0.07333333333333333,0.8275862068965517,0.5454545454545454,0.16666666666666666,A,EfficientNet-B3
0.61,0.09333333333333334,0.8275862068965517,0.5514018691588785,0.16666666666666666,A,EfficientNet-B3
0.62,0.10333333333333333,0.8275862068965517,0.5545023696682464,0.16666666666666666,A,EfficientNet-B3
0.63,0.11,0.8245614035087719,0.5523809523809524,0.16666666666666666,A,EfficientNet-B3
0.64,0.12333333333333334,0.8245614035087719,0.5485436893203883,0.16666666666666666,A,EfficientNet-B3
0.65,0.13,0.8214285714285714,0.5463414634146342,0.16666666666666666,A,EfficientNet-B3
0.66,0.13666666666666666,0.8214285714285714,0.5517241379310345,0.16666666666666666,A,EfficientNet-B3
0.67,0.14333333333333334,0.8214285714285714,0.5522388059701493,0.16666666666666666,A,EfficientNet-B3
0.6799999999999999,0.15666666666666668,0.8181818181818182,0.5555555555555556,0.16666666666666666,A,EfficientNet-B3
0.69,0.17,0.8181818181818182,0.5515463917525774,0.16666666666666666,A,EfficientNet-B3
0.7,0.18,0.8181818181818182,0.5497382198952879,0.16666666666666666,A,EfficientNet-B3
0.71,0.19333333333333333,0.8181818181818182,0.5614973262032086,0.16666666666666666,A,EfficientNet-B3
0.72,0.2,0.8181818181818182,0.5621621621621622,0.16666666666666666,A,EfficientNet-B3
0.73,0.21,0.8181818181818182,0.5604395604395604,0.16666666666666666,A,EfficientNet-B3
0.74,0.21333333333333335,0.8333333333333334,0.5604395604395604,0.15,A,EfficientNet-B3
0.75,0.23,0.8333333333333334,0.559322033898305,0.15,A,EfficientNet-B3
0.76,0.24333333333333335,0.8333333333333334,0.5491329479768786,0.15,A,EfficientNet-B3
0.77,0.25666666666666665,0.8301886792452831,0.5588235294117647,0.15,A,EfficientNet-B3
0.78,0.2633333333333333,0.8301886792452831,0.5595238095238095,0.15,A,EfficientNet-B3
0.79,0.27666666666666667,0.8461538461538461,0.5575757575757576,0.13333333333333333,A,EfficientNet-B3
0.8,0.2866666666666667,0.8461538461538461,0.5493827160493827,0.13333333333333333,A,EfficientNet-B3
0.81,0.29333333333333333,0.8431372549019608,0.5527950310559007,0.13333333333333333,A,EfficientNet-B3
0.8200000000000001,0.31333333333333335,0.84,0.5576923076923077,0.13333333333333333,A,EfficientNet-B3
0.8300000000000001,0.3233333333333333,0.8367346938775511,0.5584415584415584,0.13333333333333333,A,EfficientNet-B3
0.8400000000000001,0.3433333333333333,0.8333333333333334,0.5704697986577181,0.13333333333333333,A,EfficientNet-B3
0.8500000000000001,0.36333333333333334,0.8695652173913043,0.5724137931034483,0.1,A,EfficientNet-B3
0.86,0.37333333333333335,0.8863636363636364,0.5763888888888888,0.08333333333333333,A,EfficientNet-B3
0.87,0.38666666666666666,0.8863636363636364,0.5785714285714286,0.08333333333333333,A,EfficientNet-B3
0.88,0.4033333333333333,0.8863636363636364,0.5851851851851851,0.08333333333333333,A,EfficientNet-B3
0.89,0.4166666666666667,0.9047619047619048,0.5864661654135338,0.06666666666666667,A,EfficientNet-B3
0.9,0.43333333333333335,0.9047619047619048,0.578125,0.06666666666666667,A,EfficientNet-B3
0.91,0.45,0.8974358974358975,0.5873015873015873,0.06666666666666667,A,EfficientNet-B3
0.9199999999999999,0.47,0.918918918918919,0.5983606557377049,0.05,A,EfficientNet-B3
0.9299999999999999,0.49333333333333335,0.9444444444444444,0.5948275862068966,0.03333333333333333,A,EfficientNet-B3
0.94,0.52,0.9411764705882353,0.6090909090909091,0.03333333333333333,A,EfficientNet-B3
0.95,0.55,0.9375,0.6213592233009708,0.03333333333333333,A,EfficientNet-B3
0.96,0.58,0.9354838709677419,0.6105263157894737,0.03333333333333333,A,EfficientNet-B3
0.97,0.6233333333333333,0.9310344827586207,0.5952380952380952,0.03333333333333333,A,EfficientNet-B3
0.98,0.6666666666666666,0.92,0.5733333333333334,0.03333333333333333,A,EfficientNet-B3
0.99,0.76,0.9,0.5769230769230769,0.03333333333333333,A,EfficientNet-B3
0.5,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.51,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.52,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.53,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.54,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.55,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.56,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.5700000000000001,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.58,0.0,0.15,0.9416666666666667,0.85,D,Std VIB
0.59,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.6,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.61,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.62,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.63,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.64,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.65,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.66,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.67,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.6799999999999999,0.0033333333333333335,0.15,0.9456066945606695,0.85,D,Std VIB
0.69,0.006666666666666667,0.13559322033898305,0.9456066945606695,0.85,D,Std VIB
0.7,0.006666666666666667,0.13559322033898305,0.9456066945606695,0.85,D,Std VIB
0.71,0.006666666666666667,0.13559322033898305,0.9456066945606695,0.85,D,Std VIB
0.72,0.006666666666666667,0.13559322033898305,0.9456066945606695,0.85,D,Std VIB
0.73,0.01,0.13559322033898305,0.9453781512605042,0.85,D,Std VIB
0.74,0.01,0.13559322033898305,0.9453781512605042,0.85,D,Std VIB
0.75,0.01,0.13559322033898305,0.9453781512605042,0.85,D,Std VIB
0.76,0.01,0.13559322033898305,0.9453781512605042,0.85,D,Std VIB
0.77,0.016666666666666666,0.13559322033898305,0.9449152542372882,0.85,D,Std VIB
0.78,0.02666666666666667,0.13793103448275862,0.9529914529914529,0.8333333333333334,D,Std VIB
0.79,0.03,0.13793103448275862,0.9527896995708155,0.8333333333333334,D,Std VIB
0.8,0.03,0.13793103448275862,0.9527896995708155,0.8333333333333334,D,Std VIB
0.81,0.03,0.13793103448275862,0.9527896995708155,0.8333333333333334,D,Std VIB
0.8200000000000001,0.03666666666666667,0.13793103448275862,0.9567099567099567,0.8333333333333334,D,Std VIB
0.8300000000000001,0.05,0.13793103448275862,0.9559471365638766,0.8333333333333334,D,Std VIB
0.8400000000000001,0.06333333333333334,0.14035087719298245,0.9598214285714286,0.8166666666666667,D,Std VIB
0.8500000000000001,0.08,0.14285714285714285,0.9590909090909091,0.8,D,Std VIB
0.86,0.09,0.14545454545454545,0.9587155963302753,0.7833333333333333,D,Std VIB
0.87,0.12333333333333334,0.13725490196078433,0.9622641509433962,0.7333333333333333,D,Std VIB
0.88,0.12666666666666668,0.13725490196078433,0.9620853080568721,0.7333333333333333,D,Std VIB
0.89,0.16333333333333333,0.13725490196078433,0.965,0.7333333333333333,D,Std VIB
0.9,0.20333333333333334,0.15217391304347827,0.9637305699481865,0.65,D,Std VIB
0.91,0.25333333333333335,0.1590909090909091,0.9611111111111111,0.6166666666666667,D,Std VIB
0.9199999999999999,0.2866666666666667,0.16279069767441862,0.9590643274853801,0.6,D,Std VIB
