,8,9,10,11,12,13,14
DeepImmuno,,0.4813,0.4813,,,,
PredIG,0.6611,0.6611,0.6611,0.6611,0.6611,0.6611,0.6611
IMPROVE,0.6207,0.6207,0.6207,0.6207,0.6207,,
NeoTImmuML,0.6551,0.6551,0.6551,0.6551,0.6551,0.6551,
