# robustness_subsample_summary.csv
# QuantImmuBench §3.3.4 图 3: 子采样鲁棒性汇总 (每 method × drop_frac 一行)
# 主分析集 DS2; 维度集=7 维; max baseline 单工具=MT_deepHLApan
# full_data_rho=满数据(0%)点估计; mean/median/std_rho=跨种子子采样统计
# win_rate_top1=该 fusion 法在多少比例 seed 里为 12 fusion 中第一 (大纲 headline 口径)
# win_rate_vs_base=该法在多少比例 seed 里 rho>max baseline 单工具 (配对); rank=该 drop_frac 内按 mean_rho 排名
method,kind,drop_frac,full_data_rho,mean_rho,median_rho,std_rho,win_rate_top1,win_rate_vs_base,n_seeds,rank
mean_rank,fusion,0.1,0.323623,0.331646,0.330979,0.033621,0.1333,1.0,30,3
geomean,fusion,0.1,0.342574,0.334931,0.327736,0.035525,0.2667,1.0,30,2
median,fusion,0.1,0.342406,0.343047,0.347188,0.032268,0.6,1.0,30,1
powmean,fusion,0.1,0.302833,0.312359,0.318176,0.035408,0.0,1.0,30,5
max,fusion,0.1,0.257229,0.250085,0.254235,0.045769,0.0,0.4667,30,7
min,fusion,0.1,0.249885,0.243416,0.254468,0.058127,0.0,0.4667,30,9
weighted_mean_rank,fusion,0.1,0.324558,0.330088,0.331646,0.035971,0.0,1.0,30,4
softmax_rank,fusion,0.1,0.252712,0.235771,0.237204,0.050798,0.0,0.4333,30,12
stacking,fusion,0.1,0.226818,0.209088,0.2057,0.050201,0.0,0.2,30,15
constrained,fusion,0.1,0.258733,0.219295,0.218312,0.054977,0.0,0.3,30,14
ridge,fusion,0.1,0.205507,0.22492,0.230341,0.043242,0.0,0.3,30,13
gbdt,fusion,0.1,0.074689,0.020094,0.017221,0.066127,0.0,0.0,30,19
MT_PredIG,single,0.1,0.230039,0.241763,0.240856,0.038891,,0.5,30,11
MT_IMPROVE_mean_prediction_rf,single,0.1,0.24992,0.24352,0.250046,0.035561,,0.5,30,8
MT_pTuneos,single,0.1,0.16955,0.17406,0.1721,0.031513,,0.1,30,17
MT_PRIME,single,0.1,0.24815,0.25094,0.254062,0.032354,,0.6667,30,6
MT_ImmuneApp,single,0.1,0.173206,0.172044,0.166837,0.032197,,0.1,30,18
MT_deepHLApan,single,0.1,0.251852,0.24305,0.245966,0.032644,,,30,10
pool_netAffneg_top20,single,0.1,0.197482,0.201627,0.203667,0.027608,,0.1333,30,16
mean_rank,fusion,0.2,0.323623,0.307393,0.302496,0.055514,0.0333,0.9333,30,3
geomean,fusion,0.2,0.342574,0.312497,0.314283,0.059163,0.2667,0.9333,30,2
median,fusion,0.2,0.342406,0.316348,0.312151,0.05456,0.3333,0.9667,30,1
powmean,fusion,0.2,0.302833,0.298549,0.298601,0.054603,0.0333,0.8667,30,5
max,fusion,0.2,0.257229,0.230763,0.219865,0.073378,0.0,0.5333,30,10
min,fusion,0.2,0.249885,0.242201,0.234676,0.082425,0.0667,0.5,30,6
weighted_mean_rank,fusion,0.2,0.324558,0.307233,0.303287,0.055986,0.0667,0.9333,30,4
softmax_rank,fusion,0.2,0.252712,0.2409,0.232847,0.080011,0.1333,0.6333,30,7
stacking,fusion,0.2,0.226818,0.19744,0.198121,0.06994,0.0333,0.4667,30,16
constrained,fusion,0.2,0.258733,0.200782,0.180021,0.074233,0.0,0.4667,30,14
ridge,fusion,0.2,0.205507,0.228948,0.219735,0.055274,0.0333,0.5,30,11
gbdt,fusion,0.2,0.074689,0.005952,0.007719,0.10211,0.0,0.0333,30,19
MT_PredIG,single,0.2,0.230039,0.203834,0.188386,0.074376,,0.3667,30,13
MT_IMPROVE_mean_prediction_rf,single,0.2,0.24992,0.235144,0.2236,0.06151,,0.4333,30,9
MT_pTuneos,single,0.2,0.16955,0.169992,0.181641,0.062222,,0.2667,30,17
MT_PRIME,single,0.2,0.24815,0.239281,0.237516,0.055676,,0.5667,30,8
MT_ImmuneApp,single,0.2,0.173206,0.163484,0.173297,0.060466,,0.1667,30,18
MT_deepHLApan,single,0.2,0.251852,0.220621,0.220391,0.03595,,,30,12
pool_netAffneg_top20,single,0.2,0.197482,0.198717,0.197316,0.058793,,0.4667,30,15
