Tool,Aggregation,Threshold,fpr,tpr,auc
DeepImmuno,mean,>0,0.36363636363636365,0.4,0.5192
DeepImmuno,mean,>0,0.45454545454545453,0.4,0.5192
DeepImmuno,mean,>0,0.45454545454545453,0.5222222222222223,0.5192
DeepImmuno,mean,>0,0.5454545454545454,0.5222222222222223,0.5192
DeepImmuno,mean,>0,0.5454545454545454,0.6555555555555556,0.5192
DeepImmuno,mean,>0,0.6363636363636364,0.6555555555555556,0.5192
DeepImmuno,mean,>0,0.6363636363636364,0.6888888888888889,0.5192
DeepImmuno,mean,>0,0.7272727272727273,0.6888888888888889,0.5192
DeepImmuno,mean,>0,0.7272727272727273,0.8444444444444444,0.5192
DeepImmuno,mean,>0,0.8181818181818182,0.8444444444444444,0.5192
DeepImmuno,mean,>0,0.8181818181818182,0.8888888888888888,0.5192
DeepImmuno,mean,>0,0.9090909090909091,0.8888888888888888,0.5192
DeepImmuno,mean,>0,0.9090909090909091,0.9222222222222223,0.5192
DeepImmuno,mean,>0,1.0,0.9222222222222223,0.5192
DeepImmuno,mean,>0,1.0,1.0,0.5192
DeepImmuno,mean,>10,0.0,0.0,0.4717
DeepImmuno,mean,>10,0.0,0.015625,0.4717
DeepImmuno,mean,>10,0.05405405405405406,0.015625,0.4717
DeepImmuno,mean,>10,0.05405405405405406,0.03125,0.4717
DeepImmuno,mean,>10,0.10810810810810811,0.03125,0.4717
DeepImmuno,mean,>10,0.10810810810810811,0.09375,0.4717
DeepImmuno,mean,>10,0.13513513513513514,0.09375,0.4717
DeepImmuno,mean,>10,0.13513513513513514,0.109375,0.4717
DeepImmuno,mean,>10,0.16216216216216217,0.109375,0.4717
DeepImmuno,mean,>10,0.16216216216216217,0.140625,0.4717
DeepImmuno,mean,>10,0.1891891891891892,0.140625,0.4717
DeepImmuno,mean,>10,0.1891891891891892,0.203125,0.4717
DeepImmuno,mean,>10,0.21621621621621623,0.203125,0.4717
DeepImmuno,mean,>10,0.21621621621621623,0.25,0.4717
DeepImmuno,mean,>10,0.2702702702702703,0.25,0.4717
DeepImmuno,mean,>10,0.2702702702702703,0.265625,0.4717
DeepImmuno,mean,>10,0.2972972972972973,0.265625,0.4717
DeepImmuno,mean,>10,0.2972972972972973,0.28125,0.4717
DeepImmuno,mean,>10,0.32432432432432434,0.28125,0.4717
DeepImmuno,mean,>10,0.32432432432432434,0.328125,0.4717
DeepImmuno,mean,>10,0.35135135135135137,0.328125,0.4717
DeepImmuno,mean,>10,0.35135135135135137,0.34375,0.4717
DeepImmuno,mean,>10,0.3783783783783784,0.34375,0.4717
DeepImmuno,mean,>10,0.3783783783783784,0.375,0.4717
DeepImmuno,mean,>10,0.40540540540540543,0.375,0.4717
DeepImmuno,mean,>10,0.40540540540540543,0.390625,0.4717
DeepImmuno,mean,>10,0.43243243243243246,0.390625,0.4717
DeepImmuno,mean,>10,0.43243243243243246,0.40625,0.4717
