tool,n,spearman_rho,rho_p,pearson_r,r_p
NOAH,82,0.07342425202821394,0.5121051215093577,0.0751509231259852,0.5022058270342161
ImmuneApp,82,0.038816985537266896,0.7291645763110455,-0.06251692018299095,0.5768648103107957
PredIG,82,0.027790780082207183,0.80425769027881,-0.003505875480229902,0.9750623791628364
IMPROVE,82,0.006639311256627705,0.9527934640926872,-0.03538927839008843,0.7522737193010873
pTuneos,82,-0.02200868800852322,0.8444056510304209,0.06472191591499937,0.5634730239278718
DeepImmuno,82,-0.02797218021234951,0.8030057213804986,-0.06805999637397564,0.5434839410805864
PRIME,82,-0.12314289763522272,0.270379710287337,-0.1640278923774116,0.14087873458948932
NeoTImmuML,82,-0.15701426916083816,0.15890860586770217,-0.1441153540764077,0.19644705167554122
deepHLApan,81,-0.502961419875093,1.7078109922392214e-06,-0.3438632047728719,0.0016716615043329466
