# QuantImmuBench DS2 全工具指标 | NN=18 | sub_agg=max
# Spearman: 纯 numpy 实现(禁 scipy.stats); p-value via scipy.special.betainc
# pending_DTU_consent: 工具原始数据使用待 DTU 授权
Tool,Aggregation,Threshold,n_pep,n_pos,n_neg,AUC_ROC,AUPRC,Spearman_rho,Spearman_pval,pending_DTU_consent
deepHLApan,max,>10,101,64,37,0.5374,0.6809,0.0016,0.9875,False
deepHLApan,max,>median,101,50,51,0.532,0.5406,0.0016,0.9875,False
deepHLApan,mean,>0,101,90,11,0.4232,0.849,-0.0915,0.363,False
deepHLApan,mean,>10,101,64,37,0.4747,0.6172,-0.0915,0.363,False
deepHLApan,mean,>median,101,50,51,0.5247,0.5339,-0.0915,0.363,False
deepHLApan,top3mean,>0,101,90,11,0.4414,0.9025,0.0176,0.861,False
deepHLApan,top3mean,>10,101,64,37,0.5507,0.6945,0.0176,0.861,False
deepHLApan,top3mean,>median,101,50,51,0.5406,0.5474,0.0176,0.861,False
HLAthena,max,>0,92,82,10,0.4152,0.8644,0.0907,0.3896,False
HLAthena,max,>10,92,57,35,0.5677,0.6788,0.0907,0.3896,False
HLAthena,max,>median,92,46,46,0.5584,0.574,0.0907,0.3896,False
HLAthena,mean,>0,92,82,10,0.4451,0.8884,0.1851,0.0773,False
HLAthena,mean,>10,92,57,35,0.6135,0.7614,0.1851,0.0773,False
HLAthena,mean,>median,92,46,46,0.5685,0.6253,0.1851,0.0773,False
HLAthena,top3mean,>0,92,82,10,0.4439,0.8952,0.1921,0.0666,False
HLAthena,top3mean,>10,92,57,35,0.6241,0.7646,0.1921,0.0666,False
HLAthena,top3mean,>median,92,46,46,0.5813,0.6256,0.1921,0.0666,False
BigMHC,max,>0,101,90,11,0.4995,0.8917,-0.041,0.684,False
BigMHC,max,>10,101,64,37,0.4968,0.6287,-0.041,0.684,False
BigMHC,max,>median,101,50,51,0.469,0.4835,-0.041,0.684,False
BigMHC,mean,>0,101,90,11,0.5263,0.8858,-0.0942,0.3485,False
BigMHC,mean,>10,101,64,37,0.4916,0.612,-0.0942,0.3485,False
BigMHC,mean,>median,101,50,51,0.4745,0.4866,-0.0942,0.3485,False
BigMHC,top3mean,>0,101,90,11,0.4601,0.8805,-0.0396,0.6943,False
BigMHC,top3mean,>10,101,64,37,0.5074,0.6253,-0.0396,0.6943,False
BigMHC,top3mean,>median,101,50,51,0.4757,0.4926,-0.0396,0.6943,False
CNNeo,max,>0,101,90,11,0.398,0.8739,0.0853,0.3964,False
CNNeo,max,>10,101,64,37,0.5456,0.6777,0.0853,0.3964,False
CNNeo,max,>median,101,50,51,0.5539,0.5807,0.0853,0.3964,False
CNNeo,mean,>0,101,90,11,0.4434,0.8807,-0.1086,0.2798,False
CNNeo,mean,>10,101,64,37,0.522,0.6854,-0.1086,0.2798,False
CNNeo,mean,>median,101,50,51,0.4996,0.5609,-0.1086,0.2798,False
CNNeo,top3mean,>0,101,90,11,0.3924,0.8728,0.0733,0.4661,False
CNNeo,top3mean,>10,101,64,37,0.5443,0.6771,0.0733,0.4661,False
CNNeo,top3mean,>median,101,50,51,0.5484,0.5776,0.0733,0.4661,False
IEDB_Calis,max,>0,101,90,11,0.5283,0.8771,0.0962,0.3386,False
IEDB_Calis,max,>10,101,64,37,0.5431,0.6723,0.0962,0.3386,False
IEDB_Calis,max,>median,101,50,51,0.5869,0.5607,0.0962,0.3386,False
IEDB_Calis,mean,>0,101,90,11,0.4798,0.8733,0.0023,0.982,False
IEDB_Calis,mean,>10,101,64,37,0.5291,0.6522,0.0023,0.982,False
IEDB_Calis,mean,>median,101,50,51,0.5584,0.5361,0.0023,0.982,False
IEDB_Calis,top3mean,>0,101,90,11,0.5273,0.8744,0.0944,0.3479,False
IEDB_Calis,top3mean,>10,101,64,37,0.5452,0.6691,0.0944,0.3479,False
IEDB_Calis,top3mean,>median,101,50,51,0.5888,0.5612,0.0944,0.3479,False
MHCflurry_presentation,max,>0,101,90,11,0.5126,0.8976,0.0981,0.329,False
MHCflurry_presentation,max,>10,101,64,37,0.5758,0.6858,0.0981,0.329,False
MHCflurry_presentation,max,>median,101,50,51,0.5469,0.5562,0.0981,0.329,False
MHCflurry_presentation,mean,>0,101,90,11,0.5051,0.8784,0.1297,0.1961,False
MHCflurry_presentation,mean,>10,101,64,37,0.6064,0.7086,0.1297,0.1961,False
MHCflurry_presentation,mean,>median,101,50,51,0.5694,0.5721,0.1297,0.1961,False
MHCflurry_presentation,top3mean,>0,101,90,11,0.499,0.9032,0.1711,0.0871,False
MHCflurry_presentation,top3mean,>10,101,64,37,0.6377,0.7661,0.1711,0.0871,False
MHCflurry_presentation,top3mean,>median,101,50,51,0.5814,0.5964,0.1711,0.0871,False
MHCflurry_affinity_neg,max,>0,101,90,11,0.4763,0.8975,0.128,0.202,False
MHCflurry_affinity_neg,max,>10,101,64,37,0.5897,0.6872,0.128,0.202,False
MHCflurry_affinity_neg,max,>median,101,50,51,0.5951,0.5952,0.128,0.202,False
MHCflurry_affinity_neg,mean,>0,101,90,11,0.4697,0.8946,-0.2684,0.0067,False
MHCflurry_affinity_neg,mean,>10,101,64,37,0.4337,0.6001,-0.2684,0.0067,False
MHCflurry_affinity_neg,mean,>median,101,50,51,0.3945,0.4557,-0.2684,0.0067,False
MHCflurry_affinity_neg,top3mean,>0,101,90,11,0.4869,0.9065,0.2348,0.0181,False
MHCflurry_affinity_neg,top3mean,>10,101,64,37,0.6651,0.7889,0.2348,0.0181,False
MHCflurry_affinity_neg,top3mean,>median,101,50,51,0.6265,0.6718,0.2348,0.0181,False
Repitope,max,>0,101,90,11,0.6197,0.9295,0.0835,0.4062,False
Repitope,max,>10,101,64,37,0.5652,0.6741,0.0835,0.4062,False
Repitope,max,>median,101,50,51,0.5124,0.5181,0.0835,0.4062,False
Repitope,mean,>0,101,90,11,0.6323,0.9338,0.0847,0.3994,False
Repitope,mean,>10,101,64,37,0.5676,0.6576,0.0847,0.3994,False
Repitope,mean,>median,101,50,51,0.5263,0.5054,0.0847,0.3994,False
Repitope,top3mean,>0,101,90,11,0.6197,0.9295,0.0835,0.4062,False
Repitope,top3mean,>10,101,64,37,0.5652,0.6741,0.0835,0.4062,False
Repitope,top3mean,>median,101,50,51,0.5124,0.5181,0.0835,0.4062,False
netmhcpan_ba,max,>0,101,90,11,0.4682,0.9118,0.0901,0.3702,True
netmhcpan_ba,max,>10,101,64,37,0.5538,0.6792,0.0901,0.3702,True
netmhcpan_ba,max,>median,101,50,51,0.5784,0.5955,0.0901,0.3702,True
netmhcpan_ba,mean,>0,101,90,11,0.5768,0.9185,0.3477,0.0004,True
netmhcpan_ba,mean,>10,101,64,37,0.693,0.7493,0.3477,0.0004,True
netmhcpan_ba,mean,>median,101,50,51,0.6616,0.6023,0.3477,0.0004,True
netmhcpan_ba,top3mean,>0,101,90,11,0.4611,0.901,0.1083,0.2812,True
netmhcpan_ba,top3mean,>10,101,64,37,0.5758,0.697,0.1083,0.2812,True
netmhcpan_ba,top3mean,>median,101,50,51,0.5757,0.6027,0.1083,0.2812,True
TSCAPE,max,>0,101,90,11,0.4419,0.8792,-0.1386,0.167,False
TSCAPE,max,>10,101,64,37,0.4846,0.6392,-0.1386,0.167,False
TSCAPE,max,>median,101,50,51,0.4624,0.4919,-0.1386,0.167,False
TSCAPE,mean,>0,101,90,11,0.4505,0.9091,-0.1906,0.0562,False
TSCAPE,mean,>10,101,64,37,0.4168,0.6017,-0.1906,0.0562,False
TSCAPE,mean,>median,101,50,51,0.4396,0.4915,-0.1906,0.0562,False
TSCAPE,top3mean,>0,101,90,11,0.4136,0.8647,-0.1594,0.1114,False
TSCAPE,top3mean,>10,101,64,37,0.4688,0.6283,-0.1594,0.1114,False
TSCAPE,top3mean,>median,101,50,51,0.4539,0.4907,-0.1594,0.1114,False
ICERFIRE,max,>0,99,88,11,0.5346,0.9187,0.2828,0.0046,True
ICERFIRE,max,>10,99,63,36,0.6453,0.7593,0.2828,0.0046,True
ICERFIRE,max,>median,99,49,50,0.6245,0.638,0.2828,0.0046,True
