pair,n_common,dAUC,CI_lo,CI_hi,P_a_gt_b,sig
pTuneos-ImmuneApp,101,0.1636,-0.0934,0.4141,0.894,NO(CI跨0)
pTuneos-PRIME,100,0.2283,0.0439,0.4344,0.992,YES
pTuneos-deepHLApan,98,0.3517,0.0399,0.5885,0.984,YES
pTuneos-PredIG,101,0.0914,-0.1451,0.3103,0.794,NO(CI跨0)
pTuneos-IMPROVE,101,0.1318,0.0061,0.2874,0.982,YES
