Tool,Pooling,n_pep,Spearman_rho,Spearman_pval,pval_note,count_confounded,pending_DTU_consent,reinference_pending,hlathena_caveat
MHCflurry_presentation,sum,101,0.1873,0.0578,normal_approx_t,True,False,True,False
MHCflurry_presentation,geomean,101,0.1673,0.0912,normal_approx_t,False,False,True,False
MHCflurry_presentation,softmax,101,0.1241,0.2133,normal_approx_t,False,False,True,False
MHCflurry_presentation,topk_w,101,0.1625,0.1014,normal_approx_t,False,False,True,False
MHCflurry_presentation,rankdecay,101,0.1681,0.0897,normal_approx_t,False,False,True,False
NeoTImmuML,max,101,0.0218,0.8281,normal_approx_t,False,False,False,False
NeoTImmuML,mean,101,0.0966,0.3341,normal_approx_t,False,False,False,False
NeoTImmuML,top3mean,101,0.0218,0.8281,normal_approx_t,False,False,False,False
NeoTImmuML,sum,101,0.1641,0.0979,normal_approx_t,True,False,False,False
NeoTImmuML,geomean,101,0.1591,0.1089,normal_approx_t,False,False,False,False
NeoTImmuML,softmax,101,0.0773,0.4405,normal_approx_t,False,False,False,False
NeoTImmuML,topk_w,101,0.0245,0.807,normal_approx_t,False,False,False,False
NeoTImmuML,rankdecay,101,0.0297,0.7676,normal_approx_t,False,False,False,False
PRIME,max,101,0.1582,0.1109,normal_approx_t,False,False,True,False
PRIME,mean,101,0.1767,0.074,normal_approx_t,False,False,True,False
PRIME,top3mean,101,0.2143,0.029,normal_approx_t,False,False,True,False
PRIME,sum,101,0.2485,0.0107,normal_approx_t,True,False,True,False
PRIME,geomean,101,0.1536,0.122,normal_approx_t,False,False,True,False
PRIME,softmax,101,0.1742,0.0784,normal_approx_t,False,False,True,False
PRIME,topk_w,101,0.1971,0.0454,normal_approx_t,False,False,True,False
PRIME,rankdecay,101,0.1918,0.0518,normal_approx_t,False,False,True,False
PredIG,max,101,0.2005,0.0417,normal_approx_t,False,False,True,False
PredIG,mean,101,0.2789,0.0038,normal_approx_t,False,False,True,False
PredIG,top3mean,101,0.1994,0.0429,normal_approx_t,False,False,True,False
PredIG,sum,101,0.2903,0.0025,normal_approx_t,True,False,True,False
PredIG,geomean,101,0.3651,0.0001,normal_approx_t,False,False,True,False
PredIG,softmax,101,0.263,0.0067,normal_approx_t,False,False,True,False
PredIG,topk_w,101,0.2064,0.0359,normal_approx_t,False,False,True,False
PredIG,rankdecay,101,0.2033,0.0388,normal_approx_t,False,False,True,False
Repitope,max,101,0.0835,0.4042,normal_approx_t,False,False,False,False
Repitope,mean,101,0.0847,0.3974,normal_approx_t,False,False,False,False
Repitope,top3mean,101,0.0835,0.4042,normal_approx_t,False,False,False,False
Repitope,sum,101,0.1527,0.1242,normal_approx_t,True,False,False,False
Repitope,geomean,101,0.0815,0.4159,normal_approx_t,False,False,False,False
Repitope,softmax,101,0.0878,0.3804,normal_approx_t,False,False,False,False
Repitope,topk_w,101,0.081,0.419,normal_approx_t,False,False,False,False
Repitope,rankdecay,101,0.086,0.3901,normal_approx_t,False,False,False,False
TSCAPE,max,101,-0.1386,0.1639,normal_approx_t,False,True,True,False
TSCAPE,mean,101,-0.1906,0.0534,normal_approx_t,False,True,True,False
TSCAPE,top3mean,101,-0.1594,0.1082,normal_approx_t,False,True,True,False
TSCAPE,sum,101,0.0516,0.6075,normal_approx_t,True,True,True,False
TSCAPE,geomean,101,-0.1859,0.0597,normal_approx_t,False,True,True,False
TSCAPE,softmax,101,-0.1823,0.065,normal_approx_t,False,True,True,False
TSCAPE,topk_w,101,-0.1515,0.1274,normal_approx_t,False,True,True,False
TSCAPE,rankdecay,101,-0.1503,0.1304,normal_approx_t,False,True,True,False
deepHLApan,max,101,0.0016,0.9875,normal_approx_t,True,False,True,False
deepHLApan,mean,101,-0.0915,0.3608,normal_approx_t,False,False,True,False
deepHLApan,top3mean,101,0.0176,0.8606,normal_approx_t,True,False,True,False
deepHLApan,sum,101,0.0957,0.3389,normal_approx_t,True,False,True,False
deepHLApan,geomean,101,-0.1544,0.12,normal_approx_t,False,False,True,False
deepHLApan,softmax,101,-0.0536,0.5932,normal_approx_t,False,False,True,False
deepHLApan,topk_w,101,0.0127,0.8997,normal_approx_t,True,False,True,False
deepHLApan,rankdecay,101,0.01,0.9211,normal_approx_t,True,False,True,False
netmhcpan_ba,max,101,0.0901,0.368,normal_approx_t,False,True,True,False
netmhcpan_ba,mean,101,0.3477,0.0002,normal_approx_t,False,True,True,False
netmhcpan_ba,top3mean,101,0.1083,0.2786,normal_approx_t,False,True,True,False
netmhcpan_ba,sum,101,0.2968,0.002,normal_approx_t,True,True,True,False
netmhcpan_ba,geomean,101,0.3956,0.0,normal_approx_t,False,True,True,False
netmhcpan_ba,softmax,101,0.3328,0.0004,normal_approx_t,False,True,True,False
netmhcpan_ba,topk_w,101,0.1062,0.2878,normal_approx_t,False,True,True,False
netmhcpan_ba,rankdecay,101,0.1,0.3172,normal_approx_t,False,True,True,False
pTuneos,max,101,0.1186,0.2347,normal_approx_t,False,False,True,False
pTuneos,mean,101,0.0285,0.7765,normal_approx_t,False,False,True,False
pTuneos,top3mean,101,0.095,0.3425,normal_approx_t,False,False,True,False
pTuneos,sum,101,0.0972,0.331,normal_approx_t,False,False,True,False
pTuneos,geomean,101,-0.0882,0.3783,normal_approx_t,False,False,True,False
pTuneos,softmax,101,0.0271,0.7874,normal_approx_t,False,False,True,False
pTuneos,topk_w,101,0.0944,0.3452,normal_approx_t,False,False,True,False
pTuneos,rankdecay,101,0.1137,0.2548,normal_approx_t,False,False,True,False
