# ablation_dim_weights.csv
# QuantImmuBench G3 §3.3.2 表7: 维度留一消融 + 加权对比 (本地实证, 不照搬大纲)
# section=leave_one_out: variant=dropped_dim (__full__=全维基线); delta_vs_full=rho(去该维)-rho(全维), 最负=最承重维
# section=weighting: variant=加权方案 (uniform=等权基线); delta_vs_full=rho(该方案)-rho(uniform等权)
# 主集=6维SURV6, 7维对照; 主fusion=geomean, mean_rank对照; 主分析=DS2, DS1敏感性
# 加权方案 1-4 用标签, 一律 patient-level LOPO 无泄漏 (权重只用训练折病人算)
# fusion_rho=per-patient Spearman Fisher-z 加权; ci_low/high=95%CI; n_pat=有效病人数
section,dataset,ndim,fusion_method,variant,fusion_rho,ci_low,ci_high,n_pat,delta_vs_full
leave_one_out,DS1,6,geomean,MT_deepHLApan,-0.137315,-0.37051,0.112164,6,0.018013
weighting,DS1,6,weighted_mean_rank,uniform,-0.146538,-0.378124,0.102308,6,0.0
weighting,DS1,6,weighted_mean_rank,rho,0.086398,-0.16086,0.323453,6,0.232937
weighting,DS1,6,weighted_mean_rank,softmax_rho,-0.148153,-0.379269,0.100364,6,-0.001615
weighting,DS1,6,weighted_mean_rank,inv_var,0.064698,-0.182322,0.304035,6,0.211236
weighting,DS1,6,weighted_mean_rank,learned_simplex,-0.033188,-0.273575,0.211101,6,0.11335
leave_one_out,DS1,6,mean_rank,__full__,-0.146241,-0.377856,0.102599,6,0.0
leave_one_out,DS1,6,mean_rank,MT_PredIG,-0.186375,-0.414879,0.064243,6,-0.040134
leave_one_out,DS1,6,mean_rank,MT_IMPROVE_mean_prediction_rf,-0.116435,-0.350806,0.131664,6,0.029807
leave_one_out,DS1,6,mean_rank,MT_pTuneos,-0.119054,-0.353959,0.129981,6,0.027187
leave_one_out,DS1,6,mean_rank,MT_PRIME,-0.14065,-0.372476,0.107698,6,0.005591
leave_one_out,DS1,6,mean_rank,MT_ImmuneApp,-0.077381,-0.31539,0.169787,6,0.06886
leave_one_out,DS1,6,mean_rank,MT_deepHLApan,-0.099875,-0.337399,0.149605,6,0.046367
weighting,DS1,6,weighted_mean_rank,uniform,-0.146538,-0.378124,0.102308,6,0.0
weighting,DS1,6,weighted_mean_rank,rho,0.086398,-0.16086,0.323453,6,0.232937
weighting,DS1,6,weighted_mean_rank,softmax_rho,-0.148153,-0.379269,0.100364,6,-0.001615
weighting,DS1,6,weighted_mean_rank,inv_var,0.064698,-0.182322,0.304035,6,0.211236
weighting,DS1,6,weighted_mean_rank,learned_simplex,-0.033188,-0.273575,0.211101,6,0.11335
leave_one_out,DS1,7,geomean,__full__,-0.150618,-0.383684,0.100488,6,0.0
leave_one_out,DS1,7,geomean,MT_PredIG,-0.171529,-0.403176,0.080775,6,-0.020912
leave_one_out,DS1,7,geomean,MT_IMPROVE_mean_prediction_rf,-0.143083,-0.376131,0.106991,6,0.007534
leave_one_out,DS1,7,geomean,MT_pTuneos,-0.169114,-0.399936,0.081879,6,-0.018497
leave_one_out,DS1,7,geomean,MT_PRIME,-0.145198,-0.377768,0.104607,6,0.00542
leave_one_out,DS1,7,geomean,MT_ImmuneApp,-0.091259,-0.330513,0.159016,6,0.059359
leave_one_out,DS1,7,geomean,MT_deepHLApan,-0.142582,-0.376962,0.108958,6,0.008035
leave_one_out,DS1,7,geomean,pool_netAffneg_top20,-0.155328,-0.387022,0.094815,6,-0.00471
weighting,DS1,7,weighted_mean_rank,uniform,-0.131802,-0.366989,0.119223,6,0.0
weighting,DS1,7,weighted_mean_rank,rho,0.086398,-0.16086,0.323453,6,0.2182
weighting,DS1,7,weighted_mean_rank,softmax_rho,-0.122602,-0.358092,0.127554,6,0.0092
weighting,DS1,7,weighted_mean_rank,inv_var,0.064698,-0.182322,0.304035,6,0.196499
weighting,DS1,7,weighted_mean_rank,learned_simplex,-0.033188,-0.273575,0.211101,6,0.098614
leave_one_out,DS1,7,mean_rank,__full__,-0.129059,-0.364483,0.121871,6,0.0
leave_one_out,DS1,7,mean_rank,MT_PredIG,-0.187434,-0.416697,0.064248,6,-0.058374
leave_one_out,DS1,7,mean_rank,MT_IMPROVE_mean_prediction_rf,-0.096597,-0.333646,0.15194,6,0.032462
leave_one_out,DS1,7,mean_rank,MT_pTuneos,-0.12025,-0.356425,0.13037,6,0.00881
leave_one_out,DS1,7,mean_rank,MT_PRIME,-0.133838,-0.36789,0.116163,6,-0.004779
leave_one_out,DS1,7,mean_rank,MT_ImmuneApp,-0.100996,-0.33865,0.148772,6,0.028064
leave_one_out,DS1,7,mean_rank,MT_deepHLApan,-0.140989,-0.37595,0.111006,6,-0.01193
leave_one_out,DS1,7,mean_rank,pool_netAffneg_top20,-0.146241,-0.377856,0.102599,6,-0.017182
weighting,DS1,7,weighted_mean_rank,uniform,-0.131802,-0.366989,0.119223,6,0.0
weighting,DS1,7,weighted_mean_rank,rho,0.086398,-0.16086,0.323453,6,0.2182
weighting,DS1,7,weighted_mean_rank,softmax_rho,-0.122602,-0.358092,0.127554,6,0.0092
weighting,DS1,7,weighted_mean_rank,inv_var,0.064698,-0.182322,0.304035,6,0.196499
weighting,DS1,7,weighted_mean_rank,learned_simplex,-0.033188,-0.273575,0.211101,6,0.098614
