# robustness_subsample_results.csv
# QuantImmuBench §3.3.4 图 3: 病人内随机删突变子采样鲁棒性 (长表)
# 主分析集 DS2 病人=[101, 102, 104, 105, 106, 107, 108, 109, 110]; 维度集=7 维 ['MT_PredIG', 'MT_IMPROVE_mean_prediction_rf', 'MT_pTuneos', 'MT_PRIME', 'MT_ImmuneApp', 'MT_deepHLApan', 'pool_netAffneg_top20']
# kind=fusion(12 法)/single(单工具对照=各维列); drop_frac=删除比例(0=满数据)
# seed=-1 表 0% 满数据确定性对照; 子采样 seed=0..29; fisherz_rho=DS2 per-patient Fisher-z 加权 rho
# 病人内随机删, 保每病人>=min_pep; 只删整行不碰标签
method,kind,drop_frac,seed,fisherz_rho,n_pat
geomean,fusion,0.1,1,0.317393959023363,9
median,fusion,0.1,1,0.3526923439753584,9
powmean,fusion,0.1,1,0.3260466973772977,9
max,fusion,0.1,1,0.25436650897930774,9
min,fusion,0.1,1,0.25008609513324154,9
weighted_mean_rank,fusion,0.1,1,0.31007766196189673,9
softmax_rank,fusion,0.1,1,0.24953519614258346,9
stacking,fusion,0.1,1,0.26003847608145464,9
constrained,fusion,0.1,1,0.17120388385938312,9
ridge,fusion,0.1,1,0.2636128766855974,9
gbdt,fusion,0.1,1,-0.018634976152094602,9
MT_PredIG,single,0.1,1,0.2787581865472359,9
MT_IMPROVE_mean_prediction_rf,single,0.1,1,0.21322264507164695,9
MT_pTuneos,single,0.1,1,0.18963652445994694,9
MT_PRIME,single,0.1,1,0.25330291500369495,9
MT_ImmuneApp,single,0.1,1,0.1592821820711533,9
MT_deepHLApan,single,0.1,1,0.26707080617814066,9
pool_netAffneg_top20,single,0.1,1,0.20316519294932323,9
mean_rank,fusion,0.1,2,0.35421680403136496,9
geomean,fusion,0.1,2,0.3679065570390852,9
median,fusion,0.1,2,0.35677757348901373,9
powmean,fusion,0.1,2,0.35453550568842174,9
max,fusion,0.1,2,0.312264614551636,9
min,fusion,0.1,2,0.2938661784458604,9
weighted_mean_rank,fusion,0.1,2,0.3571919943287976,9
softmax_rank,fusion,0.1,2,0.2854406403921611,9
stacking,fusion,0.1,2,0.26489373083961887,9
constrained,fusion,0.1,2,0.264892965114225,9
ridge,fusion,0.1,2,0.25686198051930026,9
gbdt,fusion,0.1,2,-0.04817589852714209,9
MT_PredIG,single,0.1,2,0.2856677149291556,9
MT_IMPROVE_mean_prediction_rf,single,0.1,2,0.2601139747957334,9
MT_pTuneos,single,0.1,2,0.13199548941536762,9
MT_PRIME,single,0.1,2,0.28312105001918414,9
MT_ImmuneApp,single,0.1,2,0.1534202211110422,9
MT_deepHLApan,single,0.1,2,0.27542480333808333,9
pool_netAffneg_top20,single,0.1,2,0.22625041562928294,9
mean_rank,fusion,0.1,3,0.3511539846928754,9
geomean,fusion,0.1,3,0.3620614579394681,9
median,fusion,0.1,3,0.33044669938498994,9
powmean,fusion,0.1,3,0.3432401152225759,9
max,fusion,0.1,3,0.2584222029552099,9
min,fusion,0.1,3,0.28145402808837816,9
weighted_mean_rank,fusion,0.1,3,0.34808036548909005,9
softmax_rank,fusion,0.1,3,0.2416767883214008,9
stacking,fusion,0.1,3,0.20823425038511534,9
constrained,fusion,0.1,3,0.20994262519061008,9
ridge,fusion,0.1,3,0.23634261156647215,9
gbdt,fusion,0.1,3,0.03476319678670892,9
MT_PredIG,single,0.1,3,0.25801238889966477,9
MT_IMPROVE_mean_prediction_rf,single,0.1,3,0.23630464089059247,9
MT_pTuneos,single,0.1,3,0.18856329625704427,9
MT_PRIME,single,0.1,3,0.28015569959743536,9
MT_ImmuneApp,single,0.1,3,0.15399926353667812,9
MT_deepHLApan,single,0.1,3,0.27251108209495606,9
pool_netAffneg_top20,single,0.1,3,0.224573036946,9
mean_rank,fusion,0.1,4,0.3798737414352648,9
geomean,fusion,0.1,4,0.3652740395838483,9
median,fusion,0.1,4,0.36041133236116607,9
powmean,fusion,0.1,4,0.3596889492778682,9
