# fusion_single_floor.csv
# 9工具直接用工具分预测 DS2 per-patient Spearman (无训练)
# tool=工具列名; n_patients/n_used=纳入Fisher-z聚合的患者数
# fisherz_rho=Fisher-z加权rho, ci_lo/ci_hi=95%CI, median=中位数
# rho_p{id}=该患者per-patient rho_i, n_p{id}=该患者肽数
tool,n_patients,fisherz_rho,ci_lo,ci_hi,median,n_used,n_dropped,rho_p101,n_p101,rho_p102,n_p102,rho_p104,n_p104,rho_p105,n_p105,rho_p106,n_p106,rho_p107,n_p107,rho_p108,n_p108,rho_p109,n_p109,rho_p110,n_p110
MT_DeepImmuno,9,0.012703,-0.215735,0.239822,-0.05,9,0,-0.05,9,0.142857,6,0.323433,14,-0.167647,16,-0.32967,13,0.119048,8,0.508772,12,-0.227011,10,-0.07978,13
MT_PredIG,9,0.230039,-0.001512,0.438178,0.291209,9,0,0.610257,9,0.028571,6,0.171617,14,0.420588,16,0.291209,13,0.47619,8,-0.063047,12,-0.539394,10,0.442917,13
MT_IMPROVE_mean_prediction_rf,9,0.24992,0.020488,0.454347,0.268427,9,0,0.050855,9,0.542857,6,0.268427,14,0.512519,16,0.505495,13,-0.190476,8,-0.122807,12,-0.055391,10,0.404402,13
MT_NeoTImmuML,9,0.032751,-0.193991,0.256171,0.057772,9,0,-0.284521,9,0.257143,6,-0.035204,14,0.07064,16,-0.021978,13,-0.166667,8,0.094737,12,0.34972,10,0.057772,13
MT_pTuneos,9,0.16955,-0.063007,0.384643,0.159183,9,0,0.203931,9,0.765037,6,0.386582,14,-0.180848,16,0.652799,13,0.098206,8,0.029389,12,-0.315864,10,0.159183,13
MT_PRIME,9,0.24815,0.016788,0.454289,0.385862,9,0,-0.135613,9,-0.1,6,0.525853,14,0.385862,16,0.43956,13,-0.333333,8,-0.270175,12,0.472428,10,0.453921,13
MT_ImmuneApp,9,0.173206,-0.06029,0.38873,0.186515,9,0,0.611794,9,0.371868,6,-0.241861,14,0.593129,16,0.186515,13,-0.245495,8,-0.067312,12,0.522958,10,-0.107375,13
MT_deepHLApan,9,0.251852,0.018774,0.458968,0.401651,9,0,0.811723,9,-0.428571,6,-0.088203,14,0.535714,16,0.401651,13,0.428571,8,-0.145455,12,0.757576,10,-0.245616,13
MT_HLAthena,9,-0.019384,-0.247857,0.211132,0.008801,9,0,0.152564,9,-0.8,6,0.008801,14,-0.296242,16,0.5,13,-0.547619,8,-0.192982,12,0.092319,10,0.283357,13
