epoch,image_id,severity,dataset,reid_rate,epsilon_beta0,success_rate,n_gaps,arm
10,test_01,Medium,chase,0.612167,99.5,0.638783,263,cnn
10,test_02,Medium,chase,0.365942,153.0,0.373188,276,cnn
10,test_03,Medium,chase,0.552381,133.5,0.6,210,cnn
10,test_04,Medium,chase,0.527473,87.5,0.549451,273,cnn
10,test_05,Medium,chase,0.409639,63.0,0.445783,249,cnn
10,test_06,Medium,chase,0.387755,45.0,0.397959,294,cnn
10,test_07,Medium,chase,0.541833,138.0,0.537849,251,cnn
10,test_08,Medium,chase,0.49187,139.0,0.5,246,cnn
20,test_01,Medium,chase,0.547529,84.5,0.558935,263,cnn
20,test_02,Medium,chase,0.405797,176.0,0.402174,276,cnn
20,test_03,Medium,chase,0.604762,228.5,0.633333,210,cnn
20,test_04,Medium,chase,0.52381,110.0,0.505495,273,cnn
20,test_05,Medium,chase,0.465863,74.0,0.485944,249,cnn
20,test_06,Medium,chase,0.333333,45.5,0.343537,294,cnn
20,test_07,Medium,chase,0.553785,182.0,0.517928,251,cnn
20,test_08,Medium,chase,0.552846,412.0,0.544715,246,cnn
30,test_01,Medium,chase,0.642586,94.0,0.676806,263,cnn
30,test_02,Medium,chase,0.507246,148.0,0.528986,276,cnn
30,test_03,Medium,chase,0.547619,81.0,0.557143,210,cnn
30,test_04,Medium,chase,0.556777,62.0,0.538462,273,cnn
30,test_05,Medium,chase,0.51004,46.5,0.534137,249,cnn
30,test_06,Medium,chase,0.397959,28.25,0.42517,294,cnn
30,test_07,Medium,chase,0.629482,89.0,0.621514,251,cnn
30,test_08,Medium,chase,0.50813,72.5,0.495935,246,cnn
40,test_01,Medium,chase,0.562738,52.5,0.581749,263,cnn
40,test_02,Medium,chase,0.427536,84.0,0.40942,276,cnn
40,test_03,Medium,chase,0.47619,37.0,0.490476,210,cnn
40,test_04,Medium,chase,0.512821,53.0,0.479853,273,cnn
40,test_05,Medium,chase,0.445783,36.5,0.441767,249,cnn
40,test_06,Medium,chase,0.370748,22.5,0.391156,294,cnn
40,test_07,Medium,chase,0.565737,75.0,0.52988,251,cnn
40,test_08,Medium,chase,0.455285,53.0,0.430894,246,cnn
