freematch_sat,fugc,0.10,0,adaptive,0.7242,0.5538,0.6390,25.87,48.28,37.08,50,450,300,100,3.44
freematch_sat,fugc,0.10,1,adaptive,0.7617,0.5380,0.6498,24.11,43.37,33.74,50,450,300,100,3.18
freematch_sat,fugc,0.10,2,adaptive,0.7143,0.5462,0.6303,30.09,41.15,35.62,50,450,300,100,3.07
freematch_sat,fugc,0.10,3,adaptive,0.6690,0.5565,0.6128,33.60,46.34,39.97,50,450,300,100,3.00
freematch_sat,fugc,0.10,4,adaptive,0.6941,0.5328,0.6134,30.31,48.66,39.48,50,450,300,100,2.98
fixmatch,fugc,0.10,0,0.70,0.7215,0.5469,0.6342,26.94,46.56,36.75,50,450,300,100,3.06
fixmatch,fugc,0.10,1,0.70,0.7575,0.5495,0.6535,25.17,46.97,36.07,50,450,300,100,2.94
fixmatch,fugc,0.10,2,0.70,0.6915,0.5155,0.6035,32.80,42.29,37.54,50,450,300,100,3.06
fixmatch,fugc,0.10,3,0.70,0.7151,0.5357,0.6254,29.51,45.99,37.75,50,450,300,100,2.98
fixmatch,fugc,0.10,4,0.70,0.6771,0.5684,0.6227,32.77,44.87,38.82,50,450,300,100,2.96
fixmatch,fugc,0.10,0,0.80,0.7172,0.5637,0.6405,26.54,46.52,36.53,50,450,300,100,3.06
fixmatch,fugc,0.10,1,0.80,0.7392,0.5235,0.6314,26.37,48.90,37.63,50,450,300,100,2.96
fixmatch,fugc,0.10,2,0.80,0.7185,0.5319,0.6252,28.60,40.70,34.65,50,450,300,100,2.94
fixmatch,fugc,0.10,3,0.80,0.6802,0.5780,0.6291,33.38,46.27,39.82,50,450,300,100,3.06
fixmatch,fugc,0.10,4,0.80,0.6892,0.5863,0.6378,31.82,42.36,37.09,50,450,300,100,2.98
fixmatch,fugc,0.10,0,0.90,0.7084,0.6000,0.6542,29.00,46.04,37.52,50,450,300,100,2.96
fixmatch,fugc,0.10,1,0.90,0.7615,0.5068,0.6341,22.63,46.78,34.71,50,450,300,100,3.10
fixmatch,fugc,0.10,2,0.90,0.7406,0.5477,0.6442,27.50,38.23,32.87,50,450,300,100,2.96
fixmatch,fugc,0.10,3,0.90,0.6978,0.5959,0.6469,30.76,44.14,37.45,50,450,300,100,2.99
fixmatch,fugc,0.10,4,0.90,0.6957,0.5654,0.6305,30.22,44.57,37.39,50,450,300,100,2.99
