code,method,rho_obs,tex_rho,p_val,ci_lo,ci_hi,n
A,EfficientNet-B3,-0.12340267142235546,-0.123,4.853059552967754e-11,-0.15958807580641,-0.08799576525928754,2820
H,Focal+LS,-0.05893249215607949,-0.059,0.0017429196359850583,-0.09509216545807452,-0.02255325048090179,2820
I,MC Dropout,-0.11367087528243033,-0.114,1.4191421596787072e-09,-0.1483052425727106,-0.07704479715047165,2820
J,Deep Ensemble,-0.12317546692181222,-0.123,5.2673659976555146e-11,-0.15565294002826385,-0.08764850910647909,2820
D,Std VIB,-0.15290609523870857,-0.153,3.2323161410432736e-16,-0.18849546820755442,-0.11688350950922859,2820
E,Adaptive Prior,-0.1913599430578222,-0.191,1.155700629259119e-24,-0.22644902813113302,-0.1565288387491383,2820
F,Q-VIB Full,-0.19245802185634606,-0.192,6.203588009688044e-25,-0.2296085868451147,-0.15752075788319728,2820
G,Q-VIB+TokFT,-0.27756106428202787,-0.278,4.7242003040777744e-51,-0.31172584465053904,-0.2420307942450214,2820
D+QCTS,Std VIB+QCTS,-0.24908067319028518,-0.249,3.847920856465676e-41,-0.2836426743585008,-0.21619370456812873,2820
