sample_id,group,final_norm,is_monotone,max_rebound,K,trained_S,extrapolated,sim_k1,sim_k2,sim_k3,sim_k4,sim_k5,sim_k6,sim_k7,sim_k8,sim_k9,sim_k10,sim_k11,sim_k12,sim_k13,sim_k14,sim_k15,sim_k16
nih_834,medium,105.49592590332031,True,0.0,16,16,False,0.7733687162399292,0.8980264067649841,0.9459438920021057,0.9752217531204224,0.9835039377212524,0.9864032864570618,0.9902679324150085,0.9929282069206238,0.9951854348182678,0.9964122772216797,0.997650146484375,0.9984787702560425,0.9990313053131104,0.999467134475708,0.9998089075088501,0.9999998807907104
nih_2540,medium,103.43777465820312,True,0.0,16,16,False,0.579598069190979,0.8208490610122681,0.9242619276046753,0.9540826678276062,0.966648519039154,0.9898689985275269,0.993170976638794,0.9948601722717285,0.9965821504592896,0.9975454211235046,0.9983566999435425,0.9990766048431396,0.9993631839752197,0.999710738658905,0.9999082684516907,1.0
nih_19827,medium,100.48882293701172,True,0.0,16,16,False,0.6808037161827087,0.8237309455871582,0.924239456653595,0.9759383201599121,0.9826213121414185,0.9861025810241699,0.9927423000335693,0.9938063621520996,0.9955810308456421,0.9972108602523804,0.997906506061554,0.9984966516494751,0.999226450920105,0.9996296167373657,0.9998832941055298,1.0
nih_3753,easy,107.8780517578125,True,0.0,16,16,False,0.8427308797836304,0.9084726572036743,0.9631463885307312,0.9801937341690063,0.9841534495353699,0.9869014620780945,0.9907053112983704,0.9951989650726318,0.9966166615486145,0.9975624680519104,0.9981087446212769,0.9985356330871582,0.9991165995597839,0.9996646046638489,0.999898374080658,1.0
nih_9086,medium,101.99761199951172,True,0.0,16,16,False,0.7764174342155457,0.8966695666313171,0.9326615929603577,0.9495102763175964,0.9831552505493164,0.9866206645965576,0.9903692007064819,0.9929810762405396,0.9949572682380676,0.9969198703765869,0.9978874921798706,0.9987020492553711,0.9992477297782898,0.9997296333312988,0.9998635053634644,1.0
nih_3818,medium,103.87191009521484,True,0.0,16,16,False,0.7704639434814453,0.8825931549072266,0.9132821559906006,0.9328582286834717,0.9530415534973145,0.9583464860916138,0.9745115041732788,0.9788079261779785,0.9924843311309814,0.9949081540107727,0.997037947177887,0.9980710744857788,0.9987202882766724,0.9991846084594727,0.9997203946113586,1.0000001192092896
nih_8401,medium,104.80829620361328,True,0.0,16,16,False,0.7457278966903687,0.8621789216995239,0.9267502427101135,0.9419874548912048,0.9728649258613586,0.9786522388458252,0.9816271662712097,0.9915525913238525,0.9929437637329102,0.994434118270874,0.9972371459007263,0.9981274604797363,0.998842716217041,0.9995886087417603,0.9997747540473938,1.0
nih_13416,medium,103.04017639160156,True,0.0,16,16,False,0.6479266285896301,0.8097505569458008,0.8485125303268433,0.9113129377365112,0.9613222479820251,0.9769235849380493,0.9785492420196533,0.9934372901916504,0.9948741793632507,0.9963708519935608,0.9971916079521179,0.9980020523071289,0.9984989166259766,0.9988764524459839,0.9997348785400391,1.0
nih_17859,medium,100.86372375488281,True,0.0,16,16,False,0.7181262969970703,0.8863595128059387,0.9388386011123657,0.9581528902053833,0.9814330339431763,0.9867864847183228,0.9902263283729553,0.9931195378303528,0.9945108294487,0.9960830807685852,0.9973284006118774,0.9983777403831482,0.9989592432975769,0.9994708299636841,0.9997828602790833,0.9999998807907104
nih_7819,medium,101.44658660888672,True,0.0,16,16,False,0.719852089881897,0.8721804618835449,0.9352132081985474,0.9586092829704285,0.9673155546188354,0.976671576499939,0.9861793518066406,0.990239143371582,0.9920068979263306,0.99417644739151,0.9973284006118774,0.9983396530151367,0.9989757537841797,0.9994743466377258,0.9998143911361694,1.0
