corruption,severity,qbar,auc_raw,ece_raw,ece_ts,ece_qcts,T0,alpha,T_ts
gaussian_noise,1,0.8,0.9821839655690121,0.14273670512251552,0.14206498587352376,0.14206498547011057,0.24464106953404063,0.05726123239638581,0.8293696294593063
gaussian_noise,2,0.6,0.9725753177860074,0.24964715529233217,0.249311829203486,0.24931182911305116,0.018202385885720235,0.5947278142343216,0.8293696294593063
gaussian_noise,3,0.4,0.9732759483535182,0.43449280660599476,0.4429777716003646,0.44297777457775356,0.19185831253884442,0.10705849140653549,0.8293696294593063
gaussian_noise,4,0.19999999999999996,0.9412471224101692,0.5004474705457688,0.5079939510773812,0.5079939494738627,-0.036671194793197054,0.36595601185915133,0.8293696294593063
gaussian_noise,5,0.0,0.9163246922230007,0.5057679563760757,0.5113953659720082,0.5113953664259551,0.1402696939360016,0.11582380552833599,0.8293696294593063
defocus_blur,1,0.8,0.9922930637573817,0.02834197005257011,0.032052014605729165,0.03205201546535614,0.24464106953404063,0.05726123239638581,0.8293696294593063
defocus_blur,2,0.6,0.9899909918927035,0.039610929437913,0.055823710261168294,0.05582371081899842,0.018202385885720235,0.5947278142343216,0.8293696294593063
defocus_blur,3,0.4,0.9780802722450205,0.05910406924784185,0.07973199872861723,0.07973200260742304,0.19185831253884442,0.10705849140653549,0.8293696294593063
defocus_blur,4,0.19999999999999996,0.9663697327594836,0.06789480699226261,0.07658485650585509,0.07658485369891792,-0.036671194793197054,0.36595601185915133,0.8293696294593063
defocus_blur,5,0.0,0.9570613552196977,0.07262285923585295,0.0802181168790525,0.08021811827843453,0.1402696939360016,0.11582380552833599,0.8293696294593063
brightness,1,0.8,0.9996997297567811,0.022189737921580664,0.014948159165014272,0.014948160299400928,0.24464106953404063,0.05726123239638581,0.8293696294593063
brightness,2,0.6,0.9983985587028326,0.02997049102559684,0.02019820117357023,0.02019820139767166,0.018202385885720235,0.5947278142343216,0.8293696294593063
brightness,3,0.4,0.994194775297768,0.0254166162200272,0.01951671569293746,0.019516712516847404,0.19185831253884442,0.10705849140653549,0.8293696294593063
brightness,4,0.19999999999999996,0.9906916224602142,0.04968890554271637,0.03848129014259626,0.03848129175381655,-0.036671194793197054,0.36595601185915133,0.8293696294593063
brightness,5,0.0,0.98818937043339,0.0698176153190434,0.06543356489865784,0.06543356324467416,0.1402696939360016,0.11582380552833599,0.8293696294593063
contrast,1,0.8,0.9776799119207287,0.04241410100832582,0.05627355445016038,0.056273559727139294,0.24464106953404063,0.05726123239638581,0.8293696294593063
contrast,2,0.6,0.9693724351916725,0.06732476919423791,0.07911398455073573,0.07911398518391072,0.018202385885720235,0.5947278142343216,0.8293696294593063
contrast,3,0.4,0.9486537884095686,0.07965989800170067,0.09643468080323192,0.096434686182853,0.19185831253884442,0.10705849140653549,0.8293696294593063
contrast,4,0.19999999999999996,0.8036232609348413,0.21755855587311085,0.22494543484045787,0.22494543114819637,-0.036671194793197054,0.36595601185915133,0.8293696294593063
contrast,5,0.0,0.49344409968972075,0.18491696745157243,0.2211517509637938,0.22115175431042222,0.1402696939360016,0.11582380552833599,0.8293696294593063
jpeg_compression,1,0.8,0.9957962165949354,0.04515858203172684,0.04724678919397678,0.04724679034646797,0.24464106953404063,0.05726123239638581,0.8293696294593063
jpeg_compression,2,0.6,0.9903913522169951,0.06989845745731146,0.07313624188932516,0.07313624211259254,0.018202385885720235,0.5947278142343216,0.8293696294593063
jpeg_compression,3,0.4,0.9947953157842059,0.05782913953997193,0.06055402541393467,0.060554026383089335,0.19185831253884442,0.10705849140653549,0.8293696294593063
jpeg_compression,4,0.19999999999999996,0.9810829746772094,0.04666545036248866,0.05038932441710003,0.050389322106406745,-0.036671194793197054,0.36595601185915133,0.8293696294593063
jpeg_compression,5,0.0,0.9709738764888399,0.05632934470660983,0.06381346627032818,0.06381346751229701,0.1402696939360016,0.11582380552833599,0.8293696294593063
