corruption,severity,qbar,auc_raw,ece_raw,ece_ts,ece_qcts,T0,alpha,T_ts
gaussian_noise,1,0.8,0.37040043290043284,0.08807483482360833,0.09243350422975818,0.0924344187782007,0.2907278886332655,0.8082268507819937,0.9447375881284529
gaussian_noise,2,0.6,0.25676406926406925,0.11385044479370121,0.11372475597770293,0.11372465614162719,0.38992470685977826,0.15611032989348966,0.9447375881284529
gaussian_noise,3,0.4,0.20441017316017318,0.11597704076766968,0.11597569803243457,0.11597569697589816,0.33617925537658583,0.1936503916855494,0.9447375881284529
gaussian_noise,4,0.19999999999999996,0.22835497835497837,0.11599985742568963,0.12400015079352385,0.12400015080004011,0.28376276399017564,0.21075891357498006,0.9447375881284529
gaussian_noise,5,0.0,0.5,0.11599999999999999,0.11600000026462365,0.11600000026463514,0.2384080778300697,0.21396218894379818,0.9447375881284529
defocus_blur,1,0.8,0.33495670995670995,0.16634068155288695,0.16728334325767846,0.1672840357225862,0.2907278886332655,0.8082268507819937,0.9447375881284529
defocus_blur,2,0.6,0.3249458874458874,0.2004571166038513,0.20110342893735195,0.20110393721137002,0.38992470685977826,0.15611032989348966,0.9447375881284529
defocus_blur,3,0.4,0.41585497835497837,0.1470996136665345,0.1522059143842644,0.15220608319184342,0.33617925537658583,0.1936503916855494,0.9447375881284529
defocus_blur,4,0.19999999999999996,0.5416666666666667,0.10897033357620234,0.10857789301142062,0.10857758728599132,0.28376276399017564,0.21075891357498006,0.9447375881284529
defocus_blur,5,0.0,0.7042748917748917,0.11052942037582401,0.11022449814606865,0.11022426194933561,0.2384080778300697,0.21396218894379818,0.9447375881284529
brightness,1,0.8,0.7481060606060607,0.1459279236793518,0.15510340683782076,0.1551059187913174,0.2907278886332655,0.8082268507819937,0.9447375881284529
brightness,2,0.6,0.7581168831168831,0.1042935538291931,0.13163119433084997,0.13163452984966467,0.38992470685977826,0.15611032989348966,0.9447375881284529
brightness,3,0.4,0.6352813852813852,0.03894203567504879,0.03500750100980894,0.03501359048859574,0.33617925537658583,0.1936503916855494,0.9447375881284529
brightness,4,0.19999999999999996,0.5311147186147186,0.050756839275360115,0.05096015258257917,0.05096172682875335,0.28376276399017564,0.21075891357498006,0.9447375881284529
brightness,5,0.0,0.6293290043290043,0.0709629945755005,0.07224974930175111,0.07224823200236609,0.2384080778300697,0.21396218894379818,0.9447375881284529
contrast,1,0.8,0.8003246753246753,0.10560428380966183,0.11403962868849893,0.11404035344190351,0.2907278886332655,0.8082268507819937,0.9447375881284529
contrast,2,0.6,0.7091450216450218,0.060705235958099374,0.10112779325792301,0.101127137062202,0.38992470685977826,0.15611032989348966,0.9447375881284529
contrast,3,0.4,0.4531926406926407,0.07962770652770997,0.08933954316514883,0.08934710872367185,0.33617925537658583,0.1936503916855494,0.9447375881284529
contrast,4,0.19999999999999996,0.25487012987012986,0.05069044828414916,0.0592453204440501,0.05925196568252113,0.28376276399017564,0.21075891357498006,0.9447375881284529
contrast,5,0.0,0.4334415584415584,0.03871046066284181,0.04633972003944612,0.04634562268348856,0.2384080778300697,0.21396218894379818,0.9447375881284529
jpeg_compression,1,0.8,0.8322510822510824,0.13834330177307125,0.15851604486152102,0.1585186927812377,0.2907278886332655,0.8082268507819937,0.9447375881284529
jpeg_compression,2,0.6,0.7859848484848485,0.1213188266754151,0.15600090092110686,0.15600363545960388,0.38992470685977826,0.15611032989348966,0.9447375881284529
jpeg_compression,3,0.4,0.7459415584415584,0.10233072137832637,0.1280106828431554,0.12801386481116747,0.33617925537658583,0.1936503916855494,0.9447375881284529
jpeg_compression,4,0.19999999999999996,0.8555194805194805,0.1715585036277771,0.1940018528563976,0.19400354257377428,0.28376276399017564,0.21075891357498006,0.9447375881284529
jpeg_compression,5,0.0,0.9012445887445887,0.17679048252105717,0.23667189020948642,0.23667306159663415,0.2384080778300697,0.21396218894379818,0.9447375881284529
