# R1_recomputed_rerun_8to11mer_dai_effN8.csv —— §3.1 图1 修正重算 (effN 门槛)
# 输入=pooled_dai_rerun_8to11mer.csv; DS2 9 患者; Elispot 连续 SFC; headline 零选择 <tool>_max
# fisherz_rho_effN=等权 Fisher-z (门槛改用有效覆盖 effN>=8, 非患者总行数 len(g))
# ci_*=cluster-bootstrap over 通过门槛患者 95%CI (n_boot=2000, seed=42, 2.5/97.5)
# n_full=effN>=8 的患者数; n_dropped_effN=2<=effN<8 被剔患者数 (原 bug 伪迹来源)
# coverage_fail=(n_full<3): 通过门槛患者不足 3 → 不入主排序; 排序: coverage_fail 后置 + rho 降序
# pending_DTU=True 为 DTU 受限工具 (结果照常算, 部署受 DTU 同意约束)
# rho_p<id>=各患者 per-patient rho (与 canonical spearman_np 可比); effN_p<id>=各患者有效覆盖点数
Tool,pending_DTU,fisherz_rho_effN,ci_lo,ci_hi,n_full,min_effN,max_effN,n_dropped_effN,coverage_fail,rho_p101,rho_p102,rho_p104,rho_p105,rho_p106,rho_p107,rho_p108,rho_p109,rho_p110,effN_p101,effN_p102,effN_p104,effN_p105,effN_p106,effN_p107,effN_p108,effN_p109,effN_p110
TransHLA,False,-0.08383601929660287,-0.30596024319146103,0.22213689536048195,8,8.0,16.0,1,False,0.2712254014483242,0.42857142857142855,-0.2838285545889597,-0.2991901194967565,-0.17582417582417584,0.6904761904761905,-0.35376586651086483,-0.338501600193165,-0.2904292186491681,9,6,14,16,13,8,12,10,14
NetTepi,True,-0.0896275939444707,-0.36685859159816536,0.29018319537088705,8,8.0,16.0,1,False,0.18646746349572288,0.08571428571428572,-0.34801762114537443,-0.4730292428880247,-0.21978021978021978,0.7619047619047619,-0.12959739664259406,-0.5723754330538972,-0.026402656240833464,9,6,14,16,13,8,12,10,14
MHCseqNet,False,-0.09335584434589901,-0.2759040390962967,0.11767342683438262,8,8.0,16.0,1,False,-0.2881769890388444,0.4857142857142857,-0.08140819007590318,-0.054532189267881725,-0.34065934065934067,0.38095238095238093,0.3047290137271806,-0.4862113893683643,-0.14521460932458405,9,6,14,16,13,8,12,10,14
Seq2Neo,True,-0.0977580865201052,-0.3147771998548427,0.2449696648852215,8,8.0,16.0,1,False,-0.22037063867676338,-0.02857142857142857,-0.3674369660182657,0.7413430054525543,-0.2032967032967033,0.023809523809523808,-0.44483430739484986,-0.3508107492910983,-0.10121018225652828,9,6,14,16,13,8,12,10,14
NeoTImmuML,False,-0.1253845203388163,-0.304606685208489,0.0038910888759332994,8,8.0,16.0,1,False,0.10170952554312156,0.08571428571428572,-0.14301438797118127,-0.591011024227583,-0.005494505494505495,0.047619047619047616,-0.19965004347642867,-0.10462776733243281,-0.022002213534027888,9,6,14,16,13,8,12,10,14
netMHCstabpan,True,-0.1338506467942882,-0.42728825927898867,0.19773017192722014,8,8.0,16.0,1,False,-0.6950150912113306,0.6571428571428571,0.0968097395497227,-0.27560863224578064,0.2032967032967033,0.6428571428571429,-0.12259213195921059,-0.5600662839559639,-0.24202434887430677,9,6,14,16,13,8,12,10,14
andy90,False,-0.1974153334170646,-0.3527312883170004,-0.033398006729806196,8,8.0,16.0,1,False,-0.35598333940092547,-0.08571428571428572,-0.20022014315965378,-0.2903470617776405,0.03296703296703297,-0.5238095238095238,-0.37478166056101525,0.09231861823449955,0.12321239579055616,9,6,14,16,13,8,12,10,14
netMHCpan_EL,True,-0.22128518488570148,-0.35639860996244455,-0.06488019135506366,8,8.0,16.0,1,False,-0.45769286494404704,-0.4857142857142857,0.04840486977486135,-0.10464284967620548,0.11538461538461539,-0.14285714285714285,-0.35376586651086483,-0.43697479297663117,-0.36523674466486294,9,6,14,16,13,8,12,10,14
CNNeo,False,-0.3149040521588598,-0.5715100228539453,0.0714557822872016,8,8.0,16.0,1,False,-0.7746434429904613,-0.550782483869826,-0.3428888522863071,-0.22387697598924383,-0.43956043956043955,0.7065994945288229,-0.65506972011172,-0.3015741528993652,-0.2951549010151056,9,6,14,16,13,8,12,10,14
ICERFIRE,True,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
IMPROVE,False,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
NeoaG,False,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
NeoaPred,False,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
pTuneos,False,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
