baseline,baseline_name,subset,n,auc,acc,f1,ece,mean_entropy,sensitivity_at_95spec,qcdi,rho
D+QCTS-softplus,D + QCTS (softplus),ITB-Diverse,1500,0.5767852091331582,0.484,0.476319350473613,0.4093520525519375,0.30233727316228876,0.11020408163265306,-0.015277030132559967,-0.24908067319028518
D+QCTS-softplus,D + QCTS (softplus),ITB-Edge,660,0.5959022038567493,0.8242424242424242,0.30120481927710846,0.06898138212748148,0.43494921567042394,0.26515151515151514,-0.015277030132559967,-0.24908067319028518
D+QCTS-softplus,D + QCTS (softplus),ITB-HQ,360,0.5798128858024691,0.8111111111111111,0.22727272727272727,0.062007210882275406,0.41135984726649444,0.2638888888888889,-0.015277030132559967,-0.24908067319028518
D+QCTS-softplus,D + QCTS (softplus),ITB-LQ,300,0.5628472222222223,0.7833333333333333,0.21686746987951808,0.04673018074971544,0.46227717430925785,0.13333333333333333,-0.015277030132559967,-0.24908067319028518
