tau,coverage,risk,n_kept,melanoma_miss_rate,method,key
0.1204805187880992,0.64,0.40625,32,0.3,Chow's rule (max-softmax),chow
0.12334351062774651,0.66,0.3939393939393939,33,0.3,Chow's rule (max-softmax),chow
0.12421701192855834,0.66,0.3939393939393939,33,0.3,Chow's rule (max-softmax),chow
0.12913300037384035,0.68,0.4117647058823529,34,0.3,Chow's rule (max-softmax),chow
0.13619656011462206,0.68,0.4117647058823529,34,0.3,Chow's rule (max-softmax),chow
0.14430216252803799,0.7,0.4,35,0.3,Chow's rule (max-softmax),chow
0.15306772530078885,0.7,0.4,35,0.3,Chow's rule (max-softmax),chow
0.1573329597711563,0.72,0.3888888888888889,36,0.3,Chow's rule (max-softmax),chow
0.15822294801473616,0.72,0.3888888888888889,36,0.3,Chow's rule (max-softmax),chow
0.16035160094499587,0.74,0.40540540540540543,37,0.3,Chow's rule (max-softmax),chow
0.16357599571347237,0.74,0.40540540540540543,37,0.3,Chow's rule (max-softmax),chow
0.16579503059387207,0.76,0.39473684210526316,38,0.2,Chow's rule (max-softmax),chow
0.16696681559085846,0.76,0.39473684210526316,38,0.2,Chow's rule (max-softmax),chow
0.17468354582786558,0.78,0.41025641025641024,39,0.2,Chow's rule (max-softmax),chow
0.1904327088594437,0.78,0.41025641025641024,39,0.2,Chow's rule (max-softmax),chow
0.2045690298080445,0.8,0.425,40,0.2,Chow's rule (max-softmax),chow
0.21636672973632823,0.8,0.425,40,0.2,Chow's rule (max-softmax),chow
0.23352613866329192,0.82,0.43902439024390244,41,0.2,Chow's rule (max-softmax),chow
0.2599196019768712,0.82,0.43902439024390244,41,0.2,Chow's rule (max-softmax),chow
0.28301302790641775,0.84,0.42857142857142855,42,0.2,Chow's rule (max-softmax),chow
0.29930012673139567,0.84,0.42857142857142855,42,0.2,Chow's rule (max-softmax),chow
0.3124108135700226,0.86,0.4186046511627907,43,0.2,Chow's rule (max-softmax),chow
0.31758047044277193,0.86,0.4186046511627907,43,0.2,Chow's rule (max-softmax),chow
0.3266084957122802,0.88,0.4090909090909091,44,0.2,Chow's rule (max-softmax),chow
0.34753315687179565,0.88,0.4090909090909091,44,0.2,Chow's rule (max-softmax),chow
0.37143081426620495,0.9,0.4222222222222222,45,0.2,Chow's rule (max-softmax),chow
0.40692315697670006,0.9,0.4222222222222222,45,0.2,Chow's rule (max-softmax),chow
0.4368076610565186,0.92,0.43478260869565216,46,0.2,Chow's rule (max-softmax),chow
0.4379519921541214,0.92,0.43478260869565216,46,0.2,Chow's rule (max-softmax),chow
0.4409067142009733,0.94,0.44680851063829785,47,0.2,Chow's rule (max-softmax),chow
0.4568359047174453,0.94,0.44680851063829785,47,0.2,Chow's rule (max-softmax),chow
0.47208088874816895,0.96,0.4583333333333333,48,0.2,Chow's rule (max-softmax),chow
0.47962854981422426,0.96,0.4583333333333333,48,0.2,Chow's rule (max-softmax),chow
0.48700668632984156,0.98,0.46938775510204084,49,0.2,Chow's rule (max-softmax),chow
0.49040099591016767,0.98,0.46938775510204084,49,0.2,Chow's rule (max-softmax),chow
0.4937953054904938,1.0,0.46,50,0.2,Chow's rule (max-softmax),chow
3.4619808767880994e-07,0.02,1.0,1,1.0,Deep Ensemble (3-seed),ensemble
7.113927156471406e-07,0.02,1.0,1,1.0,Deep Ensemble (3-seed),ensemble
1.0765873436154714e-06,0.02,1.0,1,1.0,Deep Ensemble (3-seed),ensemble
1.266097801778228e-06,0.04,1.0,2,1.0,Deep Ensemble (3-seed),ensemble
1.4481323378215985e-06,0.04,1.0,2,1.0,Deep Ensemble (3-seed),ensemble
1.5412236733269174e-06,0.06,0.6666666666666666,3,0.9,Deep Ensemble (3-seed),ensemble
1.626408946562187e-06,0.06,0.6666666666666666,3,0.9,Deep Ensemble (3-seed),ensemble
1.6739074813741708e-06,0.08,0.5,4,0.8,Deep Ensemble (3-seed),ensemble
1.71614740152244e-06,0.08,0.5,4,0.8,Deep Ensemble (3-seed),ensemble
1.7418809037571633e-06,0.1,0.6,5,0.8,Deep Ensemble (3-seed),ensemble
1.7643936415209504e-06,0.1,0.6,5,0.8,Deep Ensemble (3-seed),ensemble
1.7763807169045437e-06,0.12,0.5,6,0.7,Deep Ensemble (3-seed),ensemble
1.785668904498344e-06,0.12,0.5,6,0.7,Deep Ensemble (3-seed),ensemble
1.8815512529592128e-06,0.14,0.5714285714285714,7,0.7,Deep Ensemble (3-seed),ensemble
2.005518194133725e-06,0.14,0.5714285714285714,7,0.7,Deep Ensemble (3-seed),ensemble
2.0850820084441465e-06,0.16,0.625,8,0.7,Deep Ensemble (3-seed),ensemble
2.1468845720089308e-06,0.16,0.625,8,0.7,Deep Ensemble (3-seed),ensemble
2.348155952560687e-06,0.18,0.5555555555555556,9,0.6,Deep Ensemble (3-seed),ensemble
2.617048577712187e-06,0.18,0.5555555555555556,9,0.6,Deep Ensemble (3-seed),ensemble
3.052405601143391e-06,0.2,0.5,10,0.5,Deep Ensemble (3-seed),ensemble
3.5844193719628092e-06,0.2,0.5,10,0.5,Deep Ensemble (3-seed),ensemble
4.451994967145901e-06,0.22,0.45454545454545453,11,0.4,Deep Ensemble (3-seed),ensemble
5.550992510166015e-06,0.22,0.45454545454545453,11,0.4,Deep Ensemble (3-seed),ensemble
6.2040109194564065e-06,0.24,0.5,12,0.4,Deep Ensemble (3-seed),ensemble
6.493638923485537e-06,0.24,0.5,12,0.4,Deep Ensemble (3-seed),ensemble
6.711721591143352e-06,0.26,0.5384615384615384,13,0.4,Deep Ensemble (3-seed),ensemble
6.861120735884705e-06,0.26,0.5384615384615384,13,0.4,Deep Ensemble (3-seed),ensemble
7.388868194608328e-06,0.28,0.5,14,0.3,Deep Ensemble (3-seed),ensemble
8.344313747398865e-06,0.28,0.5,14,0.3,Deep Ensemble (3-seed),ensemble
1.1087131144817527e-05,0.3,0.5333333333333333,15,0.3,Deep Ensemble (3-seed),ensemble
1.621311100174038e-05,0.3,0.5333333333333333,15,0.3,Deep Ensemble (3-seed),ensemble
2.008960446391427e-05,0.32,0.5625,16,0.3,Deep Ensemble (3-seed),ensemble
2.1993224671221346e-05,0.32,0.5625,16,0.3,Deep Ensemble (3-seed),ensemble
2.471048227698789e-05,0.34,0.5882352941176471,17,0.3,Deep Ensemble (3-seed),ensemble
2.8959292632795713e-05,0.34,0.5882352941176471,17,0.3,Deep Ensemble (3-seed),ensemble
3.482066331914545e-05,0.36,0.6111111111111112,18,0.3,Deep Ensemble (3-seed),ensemble
4.43371707547236e-05,0.36,0.6111111111111112,18,0.3,Deep Ensemble (3-seed),ensemble
5.4299266452345386e-05,0.38,0.5789473684210527,19,0.3,Deep Ensemble (3-seed),ensemble
6.549529887562674e-05,0.38,0.5789473684210527,19,0.3,Deep Ensemble (3-seed),ensemble
7.437762126404422e-05,0.4,0.6,20,0.3,Deep Ensemble (3-seed),ensemble
7.526712716838675e-05,0.4,0.6,20,0.3,Deep Ensemble (3-seed),ensemble
7.603726535112007e-05,0.42,0.6190476190476191,21,0.3,Deep Ensemble (3-seed),ensemble
7.627688032670139e-05,0.42,0.6190476190476191,21,0.3,Deep Ensemble (3-seed),ensemble
7.828809978541838e-05,0.44,0.6363636363636364,22,0.3,Deep Ensemble (3-seed),ensemble
9.092894614294927e-05,0.44,0.6363636363636364,22,0.3,Deep Ensemble (3-seed),ensemble
0.00010368860882606842,0.46,0.6521739130434783,23,0.3,Deep Ensemble (3-seed),ensemble
0.00011749385517436338,0.46,0.6521739130434783,23,0.3,Deep Ensemble (3-seed),ensemble
0.00013180999096223505,0.48,0.6666666666666666,24,0.3,Deep Ensemble (3-seed),ensemble
0.00015395976482362054,0.48,0.6666666666666666,24,0.3,Deep Ensemble (3-seed),ensemble
0.00017645164643064225,0.5,0.64,25,0.2,Deep Ensemble (3-seed),ensemble
0.0002153646998282155,0.5,0.64,25,0.2,Deep Ensemble (3-seed),ensemble
0.0002542777532257887,0.5,0.64,25,0.2,Deep Ensemble (3-seed),ensemble
0.00025552378849268045,0.52,0.6153846153846154,26,0.1,Deep Ensemble (3-seed),ensemble
0.0002559850942151831,0.52,0.6153846153846154,26,0.1,Deep Ensemble (3-seed),ensemble
0.0002599683535559274,0.54,0.6296296296296297,27,0.1,Deep Ensemble (3-seed),ensemble
0.0002641813055239483,0.54,0.6296296296296297,27,0.1,Deep Ensemble (3-seed),ensemble
0.00028709612789195926,0.56,0.6428571428571429,28,0.1,Deep Ensemble (3-seed),ensemble
0.00031213616280542335,0.56,0.6428571428571429,28,0.1,Deep Ensemble (3-seed),ensemble
0.00038637090259405286,0.58,0.6206896551724138,29,0.1,Deep Ensemble (3-seed),ensemble
0.0004688047598618771,0.58,0.6206896551724138,29,0.1,Deep Ensemble (3-seed),ensemble
0.000496067309352417,0.6,0.6333333333333333,30,0.1,Deep Ensemble (3-seed),ensemble
