model,mode,psnr_perimg,ssim,dAUC,dAUC_ci_lo,dAUC_ci_hi,consistency,kl,dKL,dKL_ci_lo,dKL_ci_hi,dangerous_flip,mcnemar_enh_ref_p,mcnemar_b,mcnemar_c,mcnemar_p,n_pos,mel_salvage,mel_damage,mel_salvage_rate,mel_damage_rate,mel_net_change,mel_psnr_mean
mirnetv2_ft_r1,r1,29.39,0.8984,-0.0646,-0.0776,-0.0517,0.7872,0.5676,0.5678,0.5453,0.5909,0.0541,0.0,2162.0,153.0,0.0,,,,,,,
mirnetv2_ft_r1 [mel_perclass],r1,,,,,,,,,,,,,,,,351.0,78.0,12.0,0.2222,0.0342,66.0,27.39
