baseline,stratum,label,n,n_pos,qbar_mean,qbar_median,ece_10bins,ece_15bins,n_lq,n_hq,ece_lq_10,ece_hq_10,qcdi_10,ece_lq_15,ece_hq_15,qcdi_15,entropy_vs_qbar_rho,entropy_vs_qbar_rho_p,note
Std VIB,nine_partition,benign dermal,69,0,0.5397194202898551,0.54732,,,34,35,,,,,,,-0.24432752400393085,0.04304890499795253,
Std VIB,nine_partition,benign epidermal,62,0,0.546568064516129,0.5538000000000001,,,31,31,,,,,,,0.0737579008335222,0.5688622221094938,
Std VIB,nine_partition,benign melanocyte,17,0,0.5177670588235294,0.5349200000000001,,,8,9,,,,,,,,,n<30 — QCDI unreliable (small sample)
Std VIB,nine_partition,genodermatoses,67,0,0.5229692537313433,0.5319200000000001,,,33,34,,,,,,,0.025979727033282784,0.8346929773701148,
Std VIB,nine_partition,inflammatory,667,0,0.5339671364317841,0.5400600000000001,,,333,334,,,,,,,-0.020968077876117836,0.5888022967886715,
Std VIB,nine_partition,malignant cutaneous lymphoma,18,0,0.5553955555555555,0.57668,,,9,9,,,,,,,,,n<30 — QCDI unreliable (small sample)
Std VIB,nine_partition,malignant dermal,11,0,0.5028363636363636,0.52538,,,5,6,,,,,,,,,n<30 — QCDI unreliable (small sample)
Std VIB,nine_partition,malignant epidermal,93,0,0.5434709677419354,0.5508599999999999,,,46,47,,,,,,,-0.15533763293367345,0.13706695277467862,
Std VIB,nine_partition,malignant melanoma,496,490,0.5584057661290323,0.57071,0.2585703001644899,0.26150058304999896,248,248,0.2819034032929208,0.2306836329028761,0.05121977039004469,0.2826925971500215,0.22271097390048744,0.059981623249534044,-0.23578881438024277,1.0776911616360265e-07,
Std VIB,three_partition,benign,148,0,0.5400668918918919,0.54876,,,74,74,,,,,,,-0.07517188213287368,0.36385868607526817,
Std VIB,three_partition,malignant,618,490,0.5550815210355987,0.5662100000000001,0.34933500757220903,0.349196190572823,309,309,0.39357425419246017,0.30224606915434354,0.09132818503811663,0.3944043420393828,0.3003581499961178,0.09404619204326498,-0.19685564597180033,8.131380857155447e-07,
Std VIB,three_partition,non-neoplastic,734,0,0.532963242506812,0.53996,,,367,367,,,,,,,-0.013548754761594419,0.714021883375066,
Std VIB,malignant_binary,malignant,618,490,0.5550815210355987,0.5662100000000001,0.34933500757220903,0.349196190572823,309,309,0.39357425419246017,0.30224606915434354,0.09132818503811663,0.3944043420393828,0.3003581499961178,0.09404619204326498,-0.19685564597180033,8.131380857155447e-07,
Std VIB,malignant_binary,non-malignant,882,0,0.534155238095238,0.5403899999999999,,,441,441,,,,,,,-0.024668702809543926,0.46435446341449493,
Std VIB,fitzpatrick,I,386,119,0.5688023316062176,0.5900799999999999,0.5170961973616862,0.5196467722980838,193,193,0.5685267188475308,0.4480517057079456,0.1204750131395852,0.5715687773166311,0.4416293443006903,0.12993943301594085,-0.09250200188550503,0.06946616853368898,
Std VIB,fitzpatrick,II,504,171,0.5619970634920635,0.5751,0.4559353725487618,0.45199865540988476,252,252,0.5200233246118481,0.38677340184360565,0.13324992276824243,0.5156966981899349,0.3811359583522149,0.13456073983772,-0.10136049821211833,0.02286090380702267,
Std VIB,fitzpatrick,III,252,80,0.5424088888888888,0.55083,0.4134939377610054,0.4006261742407722,126,126,0.4505636180558848,0.36458365901535944,0.08597995904052536,0.45051446681221324,0.35169183615122057,0.09882263066099267,-0.16102501344143474,0.010460799578615936,
